PED-DISC-45-01	BLD-DISC-45-01	Fuzz	Colorsound Supa Tonebender
PED-DISC-45-02	BLD-DISC-45-01	Fuzz	Colorsound Tone Bender Jumbo
PED-DISC-45-03	BLD-DISC-45-01	Overdrive	Colorsound Power Boost
PED-DISC-45-04	BLD-DISC-45-01	Overdrive	Colorsound Overdriver
PED-DISC-45-05	BLD-DISC-45-01	Fuzz	Colorsound Fuzz Box
PED-DISC-45-06	BLD-DISC-45-01	Fuzz	Colorsound Fuzz 4
PED-DISC-45-07	BLD-DISC-45-01	Fuzz	Colorsound Tone Bender Distortion
PED-DISC-45-08	BLD-DISC-45-01	Fuzz	Colorsound Wow Fuzz
PED-DISC-45-09	BLD-DISC-45-01	Fuzz	Colorsound Wah Fuzz
PED-DISC-45-10	BLD-DISC-45-01	Fuzz	Colorsound Wah plus Fuzz
PED-DISC-45-11	BLD-DISC-45-01	Fuzz	Colorsound Supa Wah-Fuzz
PED-DISC-45-12	BLD-DISC-45-01	Fuzz	Colorsound Supa Wah-Fuzz-Swell
