MOD-0021	Fender	Pugilist Distortion V2	Distortion	2026-present
MOD-0022	Fender	Santa Ana Overdrive V2	Overdrive	2026-present
MOD-0023	Fender	The Pelt Fuzz V2	Fuzz	2026-present
MOD-0024	DOD	Overdrive Preamp 250-X	Overdrive	2025-present
MOD-0025	DOD	Overdrive Preamp 250 50th Anniversary Edition	Overdrive	2024-2025
MOD-0026	REVV Amplification	G2 V2	Overdrive	2025-present
MOD-0027	REVV Amplification	G3 V2	Distortion	2025-present
MOD-0028	REVV Amplification	G4 V2	Distortion	2025-present
MOD-0029	JHS Pedals	Kilt V2	Overdrive / Fuzz / Distortion	modern production
MOD-0030	JHS Pedals	Kilt 10 Year Anniversary Edition	Overdrive / Fuzz / Distortion	2025
