record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-156	BOSS	MT-2 Metal Zone	Original compact era	1991-present	Model / chronology	BOSS officially dates the MT-2 Metal Zone to 1991 and describes it as a long-running high-gain distortion model.	VERIFIED	https://www.boss.info/global/products/mt-2/articles/	Use the official introduction date as the chronology anchor.
REC-157	BOSS	DS-1 Distortion	1994 redesign state	1994	Generation / service-manual	Historical DS-1 documentation identifies a substantial redesign in 1994, with the service manual naming the revised state DS-1A.	RESEARCH	https://stompboxelectronics.com/2022/12/09/history-of-the-boss-ds-1/	Record as a service-document generation marker; avoid universal specimen assumptions.
REC-158	BOSS	MZ-2 Digital Metalizer	Digital compact state	1987-1992	Digital / model	BOSS official anniversary chronology places the MZ-2 Digital Metalizer in production from 1987 to 1992.	VERIFIED	https://www.boss.info/us/promos/40th_anniversary_compact_pedals/	Keep separate from analog HM/MT families.
REC-159	Ibanez	TS9 Tube Screamer	1993 reissue state	1993-1996	Reissue / chronology	Analog Man documents the return of the TS9 around 1993 and a later 1996 revision marked by CE certification.	RESEARCH	https://www.analogman.com/tshist.htm	Distinguish first reissue from later CE-marked state.
REC-160	Ibanez	TS9 Tube Screamer	2002+ reissue state	2002-present	Reissue / generation	Analog Man documents a later TS9 reissue generation beginning around 2002 with Ibanez-branded board and battery-cover identifiers.	RESEARCH	https://www.analogman.com/tshist.htm	Use external identifiers only in the public archive.
REC-161	DOD	FX56 American Metal	Early high-gain FX state	1986-1988	Model / lineage	The DOD field guide identifies FX56 American Metal as the first FX-series pedal using the later box-style graphics, placing it at an important visual transition.	RESEARCH	https://americaspedals.net/fxguide.html	Visual-generation clue, not a circuit-family claim.
REC-162	DOD	FX66 Flashback Fuzz	Final FX-series fuzz	1999	Model / chronology	AmericasPedals documents FX66 as the final FX-series pedal introduced, announced at Winter NAMM 1999, with U.S. first-run and later China-made examples reported.	RESEARCH	https://americaspedals.net/fx66.html	Country is specimen-level; keep the early U.S. run distinct from later Chinese examples.
REC-163	DigiTech	DSP-128	Early digital DSP processor	Late 1980s-1990s	Digital / rack	DigiTech history identifies the DSP-128 as an early digital signal processor in the company’s transition toward programmable multi-effects systems.	RESEARCH	https://digitech.com/history/	Treat as digital-platform context rather than a dedicated distortion pedal.
REC-164	Roland	GP-16 Digital Guitar Effects Processor	1989 rack state	1989	Digital / rack	BOSS historical chronology dates the Roland GP-16 to 1989 and describes its 16 digital effects and programmable multi-effect architecture.	VERIFIED	https://www.boss.info/ca/boss-50th-anniversary/	Useful successor context to the 1987 GP-8.
REC-165	DigiTech	PDS 8000	Programmable delay/looper state	1980s	Digital / programmable	DigiTech history identifies the PDS 8000 as an early programmable pedal and later describes it as a foundational digital looping product with eight seconds of delay/looping.	RESEARCH	https://digitech.com/dp/jamman-delay/	Context record; not counted as a dedicated dirt model.
