MOD-0544	Wampler Pedals	Black '65	Original	2010	Overdrive	Amp-in-a-box overdrive around mid-1960s blackface tones, released August 2010.	VERIFIED	https://www.premierguitar.com/wampler-pedals-releases-black-65-overdrive-pedal	Dated press release establishes 2010 anchor.
MOD-0545	Wampler Pedals	Ecstasy Drive	Original	2010	Overdrive	Flexible overdrive from Wampler's early production period.	RESEARCH	https://www.effectsdatabase.com/model/wampler/ecstasydrive	Early demo evidence provides chronology.
MOD-0546	Wampler Pedals	Paisley Drive	Original	2010	Overdrive	Brad Paisley signature drive developed through prototypes and used on the 2010 H20 world tour.	VERIFIED	https://www.wamplerpedals.com/products/distortion-overdrive/brad-paisley-paisley-drive/	Artist/prototype chronology anchor.
MOD-0547	Wampler Pedals	Pinnacle	Original	2010	Overdrive / distortion	Brown-sound-oriented amp-in-a-box gain platform.	RESEARCH	https://www.wamplerpedals.com/downloads/	Separate early Pinnacle state.
MOD-0548	Wampler Pedals	Plextortion	Original	2010	Distortion	British high-gain amp-style distortion in Wampler's early catalog.	RESEARCH	https://www.wamplerpedals.com/downloads/	Early product identity preserved.
MOD-0549	EarthQuaker Devices	Hoof Reaper	Limited Edition	2010	Fuzz	Original limited-run combination of Hoof and Tone Reaper fuzzes with analog octave up.	VERIFIED	https://www.earthquakerdevices.com/hoof-reaper	EQD states approximately 25 were made for Tone Factor's 2010 Black Friday sale.
MOD-0550	EarthQuaker Devices	Hoof	Original	2010	Fuzz	Early flagship hybrid Germanium/Silicon fuzz loosely based on Green Russian Muff territory.	VERIFIED	https://www.earthquakerdevices.com/hoof	EQD identifies Hoof as one of its earliest production pedals.
MOD-0551	EarthQuaker Devices	Tone Reaper	Original	2010	Fuzz	Vintage-style bender-family fuzz in EQD's early production line.	RESEARCH	https://www.earthquakerdevices.com/hoof-reaper	Companion fuzz in the 2010 Hoof Reaper.
MOD-0552	Catalinbread	Formula No. 5	Original	2010	Overdrive	Amp-style overdrive from Catalinbread's early Portland catalog.	RESEARCH	https://www.effectsdatabase.com/model/catalinbread/formulano5	Builder-era family record.
MOD-0553	Catalinbread	Dirty Little Secret	Original	2010	Overdrive	Marshall Super Lead/Super Bass style foundation drive.	RESEARCH	https://catalinbread.com/products/dirty-little-secret	Long production continuity preserved.
MOD-0554	Fulltone	OCD V4	V4	2010	Overdrive	Fourth-generation OCD state in the early-2010s era.	RESEARCH	https://www.effectsbay.com/2011/01/ultimate-overdrive-pedal-shootout-new-klon-premier/	Keep generation state separate from OCD family.
MOD-0555	Fulltone	Fulldrive 2 MOSFET	Variant	2010	Overdrive	MOSFET-era Fulldrive 2 variant active in 2010-era catalogs.	RESEARCH	https://www.effectsbay.com/2011/01/ultimate-overdrive-pedal-shootout-new-klon-premier/	Preserve MOSFET label as specimen clue.
MOD-0556	ZVEX	Box of Rock	Original	2010	Overdrive / boost	Dual-section gain/boost pedal from ZVEX's early boutique line.	RESEARCH	https://www.effectsbay.com/2011/01/ultimate-overdrive-pedal-shootout-new-klon-premier/	Treat boost and drive sections as one product object.
