record_id	brand	model_name	variant_or_state	production_period	kind	differences	status	source_url	notes
REC-250	D*A*M	Meathead	Original silicon state	2004-2008	Model / chronology	D*A*M dates its true birth as October 25 2004, and specialist documentation places the Meathead in the early catalog with a one-control silicon fuzz identity.	VERIFIED	https://www.effectsdatabase.com/model/dam	Separate later Meathead Deluxe and other specimen variants.
REC-251	D*A*M	Fuzz Sound MkIII	Early boutique Tone Bender-family state	2004-2010	Model / lineage	D*A*M’s catalog documents a Fuzz Sound MkIII alongside its early Tone Bender-family reproductions, placing the builder within the mid-2000s revival wave.	RESEARCH	https://www.effectsdatabase.com/model/dam	Exact first-sale date remains unpinned; retain family-level chronology.
REC-252	Effector 13	Truly Beautiful Disaster	Original production state	2005-2008	Model / chronology	Effects Database published the original Effector 13 Truly Beautiful Disaster on September 22 2005 and separately lists the later OohLaLa manufacturing version, establishing a pre-license retail state.	VERIFIED	https://www.effectsdatabase.com/model/effector13/tbdisaster	Keep original Effector 13 state separate from later OohLaLa version.
REC-253	Effector 13	Tri-Fuzz	Original production state	2005-2008	Model / chronology	Effects Database published the Effector 13 Tri-Fuzz on September 24 2005 and separately relates it to later Krackle and Disaster variants.	VERIFIED	https://www.effectsdatabase.com/model/effector13/trifuzz	Use publication date as documentary anchor, not exact first-sale date.
REC-254	Effector 13	Synth Mangler	Original joystick-fuzz state	2007	Model / chronology	Effects Database published Synth Mangler on May 24 2007 and describes the original Effector 13 version before later OohLaLa manufacturing variants.	VERIFIED	https://www.effectsdatabase.com/model/effector13/synthmangler	Strong marker for the experimental-control era.
REC-255	Effector 13	Shoe Gazer	Original production state	2007	Model / lineage	Effects Database published the Effector 13 Shoe Gazer on May 24 2007 and relates it to later Devi Ever and Hand Gazer variants.	VERIFIED	https://www.effectsdatabase.com/model/effector13/shoegazer	Preserve early Effector 13 branding separately.
REC-256	Orion Effekte	Motor Fuzz	Early production state	2006	Model / chronology	Orion’s builder timeline records an official start in winter 2005, and Effects Database published the handmade German Motor Fuzz on March 20 2006 as a germanium fuzz/distortion.	VERIFIED	https://www.effectsdatabase.com/model/orion/motorfuzz	Strong European boutique chronology marker.
REC-257	Orion Effekte	Gold Fuzz	Limited first-state production	2006	Edition / chronology	Effects Database published Gold Fuzz on March 20 2006 and documents it as a handmade German germanium fuzz limited to 100 units; later Fabrik Fuzz is retained as a related renamed state.	VERIFIED	https://www.effectsdatabase.com/model/orion/goldfuzz	100-unit limit makes this an edition object.
REC-258	T-Pedals	T-Fuzz	Prototype / early development state	Late 2002-2006	Model / chronology	Alberto Dani’s builder timeline records late 2002 T-Fuzz prototypes, 2003-2004 fuzz/distortion experimentation, and a 2006 transition to full-time pedal work.	RESEARCH	https://www.effectsdatabase.com/model/tpedals	Prototype chronology remains distinct from later retail specimens.
REC-259	T-Pedals	Hi-Fuzz	Designer-to-brand state	2005-2006	Model / chronology	T-Pedals’ timeline states Hiwatt UK asked Alberto Dani in 2005 to design and build the Hiwatt Hi-Fuzz, providing a documented designer/manufacturer bridge before T-Pedals became full time in 2006.	VERIFIED	https://www.effectsdatabase.com/model/tpedals	Treat as a Hiwatt-branded relationship rather than a generic T-Pedals retail model.
REC-260	Keeley Electronics	Time Machine Boost	Early two-channel boost state	2004-2005	Model / chronology	Contemporary documentation published in 2005 references the Time Machine Boost on Peter Frampton’s 2004 tour and describes a two-channel preamplifier/booster with Vintage and Modern sides.	VERIFIED	https://www.effectsdatabase.com/model/keeley/tmb	Context-only boost record; do not count as dirt.
