MOD-0280	Crazy Tube Circuits	Heatseeker	Original	2024	Marshall-style preamp / distortion	Enhanced full-stack Marshall-style preamp with multiple voicings and active tone shaping.	VERIFIED	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Preserve as a distinct Crazy Tube amp-preamp product; external controls and voicing selection are key identification fields.
MOD-0281	Colombo Audio Electronics	Eruption	Original	2024	EVH-style variac distortion	EVH-oriented distortion with variable-voltage/variac-inspired character.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Model name and EVH/variac identity are primary catalog clues.
MOD-0282	Hangman FX	Tyrannosaur MegaDriver	Original	2024	High-gain distortion	High-gain distortion included in the 2024 GPX field.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Preserve builder/model identity pending primary-source enrichment.
MOD-0283	JHS Pedals	The Violet	Signature	2024	Lario Basilio signature distortion	Lario Basilio signature high-gain distortion product.	VERIFIED	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Artist signature, model artwork and control layout are major specimen identifiers.
MOD-0284	Krozz Devices	RoyalBreaker Extended	Extended	2024	Rat-style distortion	Extended Rat-style distortion platform with expanded controls and voicing.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Extended designation is a product-generation/feature marker and should remain searchable.
MOD-0285	Leprechaun FX	Paddy Whacker	Original	2024	Distortion	2024 GPX longlist distortion product.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Preserve as distinct builder/product record pending primary-source reconciliation.
MOD-0286	Mattoverse Electronics	Tremstortion	Original	2024	Tremolo / distortion combination	Combined tremolo and distortion pedal appearing in the 2024 GPX distortion field.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Dual-effect identity is the principal external identifier.
MOD-0287	OneControl	Fluorescent Orange AIAB	Original	2024	Amp-in-a-box distortion	Compact amp-in-a-box product in OneControl's related 2024 color-named gain range.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Preserve separately from Anodized Brown and Rebel Red; color/model naming is itself an identification surface.
MOD-0288	OneControl	Rebel Red Distortion	Original	2024	Distortion	Compact OneControl distortion in the related 2024 color-named gain range.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Keep separate from the other OneControl color-named products.
MOD-0289	Oneder Effects	Red Ryder Extended	Extended	2024	Rat-style distortion	Extended Rat-style distortion from Oneder Effects.	RESEARCH	https://www.guitarpedalx.com/news/2024-best-new-distortion-pedals-of-the-year	Extended naming and expanded control set are identification clues.
