name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Anarchy Audio	Builder	Australia	2010s-present	Baa Bzz; Deadwoods and other fuzz/drive products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Major Australian boutique builder; complete catalog census needed.
Bondi Effects	Builder	Australia	2010s-present	Del Mar Overdrive; Breaker; Sick As Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian builder; strong historical production note for Del Mar.
Crowther Audio	Builder	New Zealand	1990s-present	HotCake; Bluesberry; Prunes & Custard	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Major New Zealand builder; long-running product lineage.
Flux Effects	Builder	New Zealand	2010s-present	Liquid Ambience and related effects	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	New Zealand effects maker; dirt relevance may be narrower than overall catalog.
MC Systems	Builder	Australia	2010s	BWI Dynamic Fuzz; LHR Dynamic Distortion; NKM Dynamic Drive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Distinctive Australian boutique maker.
Midnight Amplification	Builder	Australia	2000s-2010s	Drive/fuzz/distortion products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Defunct Australian maker; complete historical catalog required.
Own Horn Effects	Builder	Australia	2010s	Brokeman Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small Australian fuzz builder.
Red Sun Music	Builder	Australia	2000s-2010s	Interplanetary Fuzz; Quadrafuzznia; Soundbox Workshop 22/7 Ge-Si Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian effects maker with broad fuzz catalog.
Sherlock Amplifiers	Builder	Australia	2000s-present	V3 2-Channel Tube Distortion	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian amplifier maker with dedicated pedal product.
Silverpistol Effects	Builder	New Zealand	2010s	Orion Fuzz; Bronson Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	New Zealand boutique builder.
Aphek Guitar	Builder	Australia	2010s	Peanut Butter Model T Overdrive; Sunday Driver	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small Australian amp/effects maker.
Auxiliary Workshop	Builder	Australia	2010s	Devils Handshake Fuzz+Overdrive; AWOD35 Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small Australian builder; separate discontinued/custom products later.
Big White Monkey	Builder	Australia	2010s	Curly Fuzz; Spider 808 Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small Australian maker.
Chapter 4 Effects	Builder	Australia	2010s	Prof. Plum Fuzz; Bespoke Overdrive; 019 2 Channel Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small Australian builder with social-first documentation.
ClinchFX	Builder	Australia	2010s-present	Blue Classic Overdrive and preamp products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian builder; catalog census needed.
Crowella Effects	Builder	Australia	2010s	Defector Overdrive; bass distortion products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian bass/effects builder with guitar-compatible dirt.
Doom In Analog Effects	Builder	Australia	2010s	Electric Blanket Overdrive; Evil Gypsy Octave Fuzz; Silver Wizard Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Social-first small Australian builder.
Dr. Acid Effects	Builder	Australia	2010s	LS Drive; NASA Acid Overdrive; SkateFuzz; Three Day Bender	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian boutique fuzz/drive maker.
Dvk Technologies	Builder	Australia	2010s	GoldTop Fuzz/Vibe; HairBall Overdrive/Boost; SilverTop Overdrive/Vibe	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian small builder.
Earthling Designs	Builder / repair shop	Australia	2010s	Overdrive Special MKII; Red Llama Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Separate proprietary products from repair/modification services.
Firehorse FX	Builder	New Zealand	2010s	Fuzzkill 70; Granulator; Rekage Doom Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	New Zealand builder.
Fryer Guitars / Greg Fryer	Builder / designer	Australia	2000s-present	Mayday; Mayhem; Purple Maze Fuzz; Treble Booster family	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Important Brian May-associated builder; preserve designer/artist relationship separately.
JD Analog	Builder	New Zealand	2010s	JD Distortion; JD Screamer; Tone of the Gods Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	New Zealand drive specialist.
Lovell Music Lab	Builder	Australia	2010s	808 Classic; Atrum Diurum; Hot Rats; Pi Classic Fuzz; Marsha Crunchy Drive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian amp/effects maker.
Mach Analog Tone	Builder	New Zealand	2010s	Morph Dual Fuzz; custom effects	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small New Zealand maker.
McPherson Stompboxes	Builder	New Zealand	2010s	White Fuzz; Antique/Evolution Overdrives	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Artisan New Zealand builder.
Pepers' Pedals	Builder	New Zealand	2000s-present	RAD-X; Russian Doom Machine; Satanist Distortion; Dirty Tree Boost	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	New Zealand builder; full historical/current catalog census needed.
PN Electronics	Builder	Australia	2010s	Peter Nessfield Bluezer Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Small Australian builder.
Red Witch Effects	Builder	New Zealand	2000s-present	Fuzz God I/II/III; Famulus Overdrive/Distortion; Scarlet Overdrive; Zeus Bass Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Major New Zealand builder; broad historical catalog.
Selah Effects	Builder	Australia	2010s	Feather Drive; Misty Mountain Gated Fuzz; Scarlett Love Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-australian-and-new-zealander-guitar-pedals-and-pedal-builders	Australian builder with broader control products.
KATO / Kàtode	Builder	Chile	2000s-present	Overdrive, fuzz and distortion products / DIY pedal ecosystem	CENSUS_ONLY	https://www.katode.cl/118-distorsion-overdrive-fuzz ; https://www.katode.cl/17-pcb-pedales-diy	Chilean shop/builder candidate. Separate commercial pedal manufacture from PCB/DIY distribution during verification.
NIG / NIG Pedals	Brand / manufacturer candidate	Chile	2010s	FZD Signature Andy Timmons multi-fuzz/distortion	DISCOVERED	https://factorysound.cl/pedales-guitarras/3791-N-FZD-AT.html	Chilean-market evidence confirms product, but physical manufacturer attribution needs primary verification.
Richón	Builder	Chile	2000s-present	Ketchup Overdrive; Mustard Distortion; BBQ Boost/Distortion; fuzz products	DISCOVERED	https://www.biobiochile.cl/noticias/2015/10/25/richon-los-amplificadores-y-pedales-de-guitarra-chilenos-hechos-a-la-medida.shtml	Local Chilean amplifier and pedal builder; article documents seven-pedal line in 2015.
MUSA	Builder	Peru	2020s-present	ChavinScream Overdrive; Inkadist Distortion; WankaFuzz	DISCOVERED	https://www.musa-e.com/pedales-y-reparaciones-de-guitarra-y-bajo/	Peruvian handmade pedal maker; current catalog visible on own shop.
Darta Effects	Builder	Brazil	2010s-present	Fuzzmaker; Bloody Opera; Rampage; Blackheart; multiple overdrive/distortion/fuzz products	DISCOVERED	https://dartaeffects.com.br/quem-somos/ ; https://dartaeffects.com.br/categoria-produto/overdrive-distortion-fuzz/	Brazilian handmade builder; began with clones in 2010 and moved to own projects in 2017.
Iannucci Audio	Builder	Argentina	2010s-present	Ratucci; Torch; Karn; Haze Silicon/Germanium; Lemon Tone MkII	DISCOVERED	https://www.iannucciaudio.com/ ; https://www.iannucciaudio.com/en-intl/about	Argentine boutique fuzz builder; own site confirms handwired small-batch production and current fuzz catalog.
Vntage Tone	Builder	Mexico	2010s-present	Elite Einheit-13; Bifurcator; The 82; Octagrapher-Fuzz	DISCOVERED	https://www.vntagetone.com/	Mexican pedal manufacturer; own site states products are designed and manufactured in Mexico.
Apollo Approved Audio Devices	Builder	Indonesia	2010s-present	Buckartie-Boo; Thurston Drive; Skyscraper; overdrive/fuzz/distortion products	DISCOVERED	https://equipboard.com/brands/apollo-approved	Indonesian boutique builder; primary website verification should follow.
AMTECH-HANDWIRED	Builder	Indonesia	2000s-present	Destroyer distortion and custom fuzz/overdrive builds	DISCOVERED	https://www.amtechhandwired.com/?page_id=732 ; https://www.amtechhandwired.com/?page_id=97	Jakarta-area handmade workshop; distinguish repeatable product catalog from custom commissions.
Watonefx	Builder	Indonesia	2000s-present	Overdrive/fuzz/distortion/custom effects	DISCOVERED	https://watonefx.com/	Yogyakarta handmade builder; own site says since 2007 and that work is not outsourced.
