Builder,Pedal,Type
"Pigdog Pedals","GO","Overdrive"
"ReevesElectro","2n2FACE Silicon FuzzFace","Fuzz"
"ReevesElectro","ZO Zonk Machine MK2","Fuzz"
"ReevesElectro","Leo Twelve","Overdrive"
"Universal Amplifier Corp","Astrotone","Fuzz"
"Universal Amplifier Corp","Fuzzz Boxx","Fuzz"
"Dan Drive Pedal Solutions","Secret Machine","Fuzz"
"BAE Audio","Royaltone Fuzz","Fuzz"
"Union Tube & Transistor","Sone Bender","Fuzz"
"Union Tube & Transistor","Tour Bender","Fuzz"
"Union Tube & Transistor","Swindle","Overdrive"
"Union Tube & Transistor","Swindle","Fuzz"
"Union Tube & Transistor","Tsar Bomba","Fuzz"
"Union Tube & Transistor","Beelzebuzz","Distortion"
"Union Tube & Transistor","Tone Druid","Overdrive"
"Union Tube & Transistor","Tone Druid+","Overdrive"
