record_id	brand	model_name	variant_or_state	production_period	kind	differences	status	source_url	notes
REC-269	T-Pedals	BassTard Fuzz	Early production state	November 2006 onward	Model / chronology	Effects Database published the BassTard Fuzz on November 29, 2006 as a hand-built Italian bass fuzz with two selectable distortion voices.	VERIFIED	https://www.effectsdatabase.com/model/tpedals/basstard	Dedicated bass-dirt identity; keep separate from later T-Pedals fuzz models.
REC-270	T-Pedals	Buggy Fuzz	Early production state	January 2010	Model / chronology	Effects Database published the Buggy Fuzz on January 8, 2010, documenting a hand-built Italian germanium/silicon hybrid fuzz with a three-way voice control.	VERIFIED	https://www.effectsdatabase.com/model/tpedals/buggyfuzz	Publication date is a documentary anchor, not necessarily first-sale day.
REC-271	Orion Effekte	Silver Drive	Early production state	2006-2007	Model / chronology	Effects Database published the Silver Drive on March 20, 2006; Orion describes it as a handmade German overdrive for guitar and bass with treble and bass controls.	VERIFIED	https://www.effectsdatabase.com/model/orion/silverdrive	Useful early Orion drive anchor alongside Motor Fuzz and Gold/Fabrik Fuzz.
REC-272	Orion Effekte	Western Drive	Early production state	2009	Model / chronology	Effects Database published the Western Drive on April 6, 2009 as a handmade German overdrive capable of distortion and fuzzy textures, with Volume, Tone and Drive controls.	VERIFIED	https://www.effectsdatabase.com/model/orion/westerndrive	Keep distinct from the later Western Drive 2, which uses a smaller case and added clipping switch.
REC-273	Orion Effekte	Mufflon Fuzz	Original production state	2010	Model / chronology	Effects Database published the Mufflon Fuzz on October 12, 2010 and identifies it as an Orion Ram’s Head Big Muff-based fuzz with a three-position mode switch.	VERIFIED	https://www.effectsdatabase.com/model/orion/mufflon	Later Ramlon renaming and modified variants should remain separate when documented.
REC-274	HomeBrew Electronics	ParaDrive Overdrive/Boost	Early production state	2008	Model / chronology	Effects Database published the ParaDrive on July 7, 2008 as a multi-control overdrive/boost with independent OD and boost footswitches.	VERIFIED	https://www.effectsdatabase.com/model/hbe/paradrive	Retain the dual-function retail identity; boost function does not move the object outside the overdrive catalog.
REC-275	HomeBrew Electronics	Germacide	Discontinued early state	2005-2006	Model / chronology	Contemporary February 2006 forum discussion records a user who had bought one of the last Germacides shortly beforehand, providing period evidence that the Germacide was already in closeout territory by early 2006.	RESEARCH	https://forum.seymourduncan.com/threads/fuzz-boxes.3016/	Use as a specimen/closeout anchor only; exact first-sale date remains unresolved.
REC-276	D*A.M	Red Rooster	Early production state	2004-2008	Model / chronology	Effects Database published the Red Rooster on September 30, 2005 and links it to a 2004-2008 D*A.M production period; it is a dedicated germanium booster descended conceptually from the Dallas Rangemaster family.	VERIFIED	https://www.effectsdatabase.com/model/dam/redrooster	Keep separate from later RR09/RR10 specimen naming when documented.
REC-277	D*A.M	Sonic Titan	ST-07 early production state	2007-2008	Generation / chronology	Effects Database published the Sonic Titan on April 8, 2007 and separately indexes a 2004-2008 state and a later 2009-on state; the early ST-07 designation provides a useful specimen anchor.	VERIFIED	https://www.effectsdatabase.com/model/dam/sonictitan	Retain ST-07 as an early production clue; do not collapse documented later 2009-on examples into the same state.
REC-278	D*A.M	Sonic Titan	2009-on later production state	2009-on	Generation / chronology	Effects Database explicitly links the Sonic Titan to a separate 2009-on production state and period demonstrations document multiple later specimen designations.	RESEARCH	https://www.effectsdatabase.com/model/dam/sonictitan	Exact transition date and physical changes remain unresolved; preserve as a later-family state rather than inventing a hard cutoff.
