builder	model	category	light_description	photo_source	status
UMBRELLA COMPANY	Hitchhike Drive	Overdrive	Japanese-made overdrive/preamp inspired by vintage American tweed amplifiers; official product documentation describes three amp-type modes plus Saturate for broader drive behavior.	https://umbrella-company.jp/brand/umbrella-company/ ; https://umbrella-company.jp/contents/smhinode_drive/	CENTRAL
UMBRELLA COMPANY	#24	Distortion	Japanese-made hard-drive distortion with three gain-range modes and extensive EQ/pressure controls; official Umbrella Company documentation treats it as a core distortion pedal.	https://umbrella-company.jp/brand/umbrella-company/ ; https://umbrella-company.jp/contents/smhinode_drive/	CENTRAL
UMBRELLA COMPANY	Mayonaise Fuzz	Fuzz Distortion	Japanese-made fuzz/distortion with DOPING mid emphasis and 1979 gain-structure switching; official product page provides extensive exterior photography and product history/context.	https://umbrella-company.jp/products/mayonaise-fuzz/ ; https://store.ishibashi.co.jp/view/item/000000065471	CENTRAL
CHOCOLATE ELECTRONICS	Chocolate Drive	Overdrive	Original Chocolate Electronics overdrive with punchy mids, strong low end and wide Treble/Bass controls; official documentation traces it to the builder's earlier award-winning DIY work.	https://shop.chocolateelectronics.com/ ; https://en.chocolateelectronics.com/product_chocolatedrive.html	CENTRAL
CHOCOLATE ELECTRONICS	Velvet Driver	Overdrive	All-discrete FET/bipolar light-gain overdrive with broad Treble/Bass shaping and strong response to picking and guitar-volume changes.	https://shop.chocolateelectronics.com/	CENTRAL
CHOCOLATE ELECTRONICS	Chocolate Crunch	Overdrive	Current white-panel overdrive with switchable character and mid/bottom tonal emphasis; official shop provides detailed controls and product photography.	https://shop.chocolateelectronics.com/ ; https://store.ishibashi.co.jp/view/item/000000162833	CENTRAL
CHOCOLATE ELECTRONICS	Melty Overdrive	Overdrive	Discrete MOSFET/bipolar overdrive designed for a warm, glossy amplifier-like response with three-position bottom-tone switching.	https://shop.chocolateelectronics.com/	CENTRAL
CHOCOLATE ELECTRONICS	Fuzzy Overdrive	Fuzz Distortion	Hybrid overdrive/fuzz with normal and +1 octave modes, developed from a Big Muff/Rams Head-inspired prototype but differentiated into an original product with strong mid presence.	https://shop.chocolateelectronics.com/items/150308247 ; https://store.ishibashi.co.jp/view/item/000000168944	CENTRAL
CHOCOLATE ELECTRONICS	transistripper	Fuzz	High-gain fuzz with Fuzz and Insane controls that alter saturation, harmonic behavior, gating and noise characteristics; official shop identifies it as a completely new circuit design.	https://shop.chocolateelectronics.com/	CENTRAL
FLYING TEAPOT	088 Over Drive	Overdrive	TS-family-inspired overdrive with Vintage/Fat/Bright modes; official builder interview documents the design intent, naming origin and true-bypass implementation.	https://www.flyingteapot.jp/special/interview/	CENTRAL
FLYING TEAPOT	Omega Drive	Overdrive	Gain/bright-focused drive that the builder describes as closer to a booster but capable of substantial saturation; official interview documents AMP/Saturation behavior and guitar-tone interaction.	https://www.flyingteapot.jp/special/interview/	CENTRAL
FLYING TEAPOT	FUZZ	Fuzz	Three-transistor fuzz with switchable Fuzz Face-like two-transistor mode and Tone Bender-like three-transistor mode, plus HP and gate controls; official interview provides historical design documentation.	https://www.flyingteapot.jp/special/interview/	CENTRAL
FLYING TEAPOT	Rum and Coke	Fuzz	Late-Rams-Head-style fuzz developed from a specific reference specimen; official interview documents the reference concept, tonal behavior and transistor selection approach.	https://www.flyingteapot.jp/special/interview/	CENTRAL
FLYING TEAPOT	Monolith Fuzz	Fuzz	Compact Flying Teapot fuzz model with surviving Japanese dealer specimens and exterior photography; retained as a distinct retail product record.	https://www.digimart.net/cat13/shop1484/DS08300281/ ; https://store.ishibashi.co.jp/search?limit=24&ph=59999&pl=0&q=F	CENTRAL
WEST TOKYO WAVES	Brutalist Fuzz	Fuzz	Handmade Tokyo fuzz with independent front-end boost, shelving tone filter, bias control and concrete enclosure; builder history traces the design back to an earlier Void Fuzz prototype.	https://www.westtokyowaves.com/product-page/brutalist-fuzz ; https://www.westtokyowaves.com/about	CENTRAL
WEST TOKYO WAVES	Structures	Overdrive/Fuzz	Seven-transistor overdrive/fuzz model documented by the builder with multiple individually finished rusted exterior variants; homepage provides repeated exterior photography.	https://www.westtokyowaves.com/	CENTRAL
WEST TOKYO WAVES	Noise Swash	Distortion/Fuzz	Experimental chaotic dirt device documented by West Tokyo Waves with exterior photographs and a distinct identity within the builder's 2026 catalog.	https://www.westtokyowaves.com/	CENTRAL
ROSHI PEDALS	ELF FUZZ SUSTAINER	Fuzz	RoShi Pedals' first pedal, built around Japanese triangle-fuzz history; official documentation provides extensive exterior photography and historical product notes.	https://roshipedals.com/en/products/elf	CENTRAL
ROSHI PEDALS	GRUFF V1	Fuzz	Triangle V1-inspired fuzz reproduction developed from a surviving reference specimen; official product page provides multiple exterior photographs and identifies the historical reference lineage.	https://roshipedals.com/en/products/gruffv1	CENTRAL
ROSHI PEDALS	GRUFF result	Fuzz	Compact evolution of RoShi's early Triangle-family work with three-way EQ/voicing switching; official page provides a full exterior image set.	https://roshipedals.com/en/products/gruffresult	CENTRAL
