builder	model	category	light_description	photo_source	status
Bob Burt Cabinets & Pedals	Overdrive	Overdrive	Hand-built boutique overdrive designed for transparent, dynamic response with a full low end and broad dark-to-bright tonal range.	https://www.effectsdatabase.com/model/bobburt/overdrive	INVENTORY
Bob Burt Cabinets & Pedals	AH-1 Allen Hinds Signature Distortion	Overdrive / Distortion	Compact signature drive derived from the GR8T concept, offering open dynamic overdrive and a more compressed sustaining distortion voice.	https://www.effectsdatabase.com/model/bobburt/ah1	INVENTORY
Bob Burt Cabinets & Pedals	GR8T Distortion	Distortion	Hand-built multi-voice distortion with an eight-position compression control, ranging from raw rock crunch to compressed, warmer high-gain drive.	https://www.effectsdatabase.com/model/bobburt/gr8t	INVENTORY
Rockbox Electronics	Baby Blues	Overdrive	Overdrive voiced for blues-oriented amplifier breakup, with a responsive gain range suited to clean push through thicker drive.	https://www.effectsdatabase.com/model/rockbox	INVENTORY
Rockbox Electronics	Boiling Point	Overdrive / Boost	Three-voice drive offering clean boost, symmetrical overdrive and a Plexi-style mode, with strong output and volume-knob cleanup.	https://www.effectsdatabase.com/model/rockbox/boilingpoint	INVENTORY
Rockbox Electronics	Brown Sugar	Distortion	Rock-oriented distortion with a broad gain range for crunchy breakup through more saturated drive.	https://www.effectsdatabase.com/model/rockbox	INVENTORY
Rockbox Electronics	Dragonstone	Distortion	High-gain distortion voiced for powerful rock tones with a flexible drive response.	https://www.effectsdatabase.com/model/rockbox	INVENTORY
Rockbox Electronics	Face Off	Fuzz	Dedicated fuzz pedal offering saturated, harmonically rich fuzz textures with a direct high-gain character.	https://www.effectsdatabase.com/model/rockbox	INVENTORY
Rockbox Electronics	Red Dog	Distortion	Responsive distortion ranging from tweed-like overdrive to aggressive punch, designed to react to picking dynamics and guitar volume.	https://www.effectsdatabase.com/model/rockbox/reddog	INVENTORY
Rockbox Electronics	Super 763	Preamp / Overdrive	Preamp-style drive designed to add amplifier-like coloration and overdrive to the signal path.	https://www.effectsdatabase.com/model/rockbox	INVENTORY
One Control (designed by BJF)	Anodized Brown Distortion	Distortion	Compact distortion designed around a focused, articulate gain character with flexible tone shaping.	https://www.effectsdatabase.com/model/onecontrol	INVENTORY
