Builder,Pedal,Type
Canned Monsters,Frenzy Moss Fuzz,Fuzz
Canned Monsters,Moonbark Overdrive MK2,Overdrive
Canvas Analog Devices,The Metamorphosis,Overdrive
Captain FX,Crown Jr. Overdrive / Boost,Overdrive
Captain FX,Yeti Fuzz,Fuzz
Captain FX,Overdriver,Overdrive
Captain FX,War Pig,Fuzz
Case Study Effects,Aspen Overdrive,Overdrive
Case Study Effects,Lastlight Transistor Based Boost & Overdrive,Overdrive
Case Study Effects,Studio Compressor,Distortion
Celestial Effects,Capricorn Rock Distortion,Distortion
Celestial Effects,Aries Beast Distortion,Distortion
Celestial Effects,Aquarius Fuzz,Fuzz
Celestial Effects,Taurus Blues Overdrive,Overdrive
Celestial Effects,Cancer Wah the Fuzz?,Fuzz
Celestial Effects,Virgo Rock Overdrive,Overdrive
Celestial Effects,Sagittarius Overdrive Boost,Overdrive
