pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3411	front	https://www.effectsdatabase.com/model/mojohand/buzzaround		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Buzzaround front-image lead retained for identification; not cleared for republication.
DISC-3422	front	https://www.effectsdatabase.com/model/mojohand/elguapo		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Fuzz product visual lead.
DISC-3445	front	https://www.effectsdatabase.com/model/mojohand/onetonbee		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Fuzz product visual lead.
DISC-3450	front	https://www.effectsdatabase.com/model/mojohand/rook		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Overdrive product visual lead.
DISC-3466	front	https://www.effectsdatabase.com/model/dentone/900poundviolin		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	High-value cult fuzz reference.
DISC-3471	front	https://www.effectsdatabase.com/model/dentone/buzzaround		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Buzzaround identification reference.
DISC-3475	front	https://www.effectsdatabase.com/model/dentone/fuzzrite		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Vintage-fuzz lineage reference.
DISC-3476	front	https://www.effectsdatabase.com/model/dentone/fy2		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Companion Fuzz visual reference.
DISC-3486	front	https://www.effectsdatabase.com/model/erafuzz/buzzaround		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Early Erafuzz Buzzaround lead.
DISC-3487	front	https://www.effectsdatabase.com/model/erafuzz/civilwar		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Erafuzz historical fuzz lead.
DISC-3494	front	https://www.effectsdatabase.com/model/erafuzz/italianv		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Tone Bender-derived historical reference.
DISC-3496	front	https://www.effectsdatabase.com/model/ghost/buzzaround		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Buzzaround visual reference.
DISC-3498	front	https://www.effectsdatabase.com/model/ghost/doombender/mk1		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Doom Bender lineage reference.
DISC-3501	front	https://www.effectsdatabase.com/model/ghost/ghostbender/mk1		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Ghost Bender MkI reference.
DISC-3502	front	https://www.effectsdatabase.com/model/ghost/ghostbender/mk2		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Ghost Bender MkII reference.
DISC-3513	front	https://www.effectsdatabase.com/model/ghost/zonk		Source uploader	Effects Database	Reference-only		Effects Database / source uploader	pending	2026-09-14	Zonk Machine historical-fuzz reference.
