canonical_builder	model	alias_or_variant	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
Nisshin Onpa / Maxon	D&S	Maxon D&S; Ibanez-associated D&S lineage	FUZZ/DISTORTION	1970s	VERIFIED_ANCHOR	Core early Maxon dirt product; preserve Maxon marketing identity separately from Ibanez-branded counterparts	Maxon 1978 catalog; Maxon official FAQ
Nisshin Onpa / Maxon	D&S II	D&S II Distortion Sustainer; Ibanez-associated D&S II lineage	DISTORTION	1970s	VERIFIED_ANCHOR	Core early Maxon dirt product; 1978 catalog documents D&S and D&S II	Maxon 1978 catalog; 1978 Mix product directory
Nisshin Onpa / Maxon	OD-801	Maxon D&S domestic model designation	FUZZ/DISTORTION	1970s	INDEXED_SECONDARY	Secondary historical sources associate OD-801 with the Maxon D&S; retain as an identity/rebrand relationship rather than a separate core family without primary confirmation	Gerlt Technologies; community historical cross-reference
Nisshin Onpa / Maxon	OD-802	Maxon D&S II domestic model designation	DISTORTION	1970s	INDEXED_SECONDARY	Secondary historical sources associate OD-802 with the Maxon D&S II; retain as an identity/rebrand relationship rather than a separate core family without primary confirmation	Community historical cross-reference
Nisshin Onpa / Maxon	OD-850	Ibanez Overdrive	DISTORTION	1974-1978+ corridor	VERIFIED_ANCHOR	Ibanez-branded early overdrive; physical builder relationship should remain distinct from marketed Ibanez identity	1976 Ibanez catalog; 1978 Ibanez catalog; secondary historical sources
Nisshin Onpa / Maxon	OD-855	Ibanez Overdrive II / Deluxe Overdrive II	DISTORTION	1974-1970s	VERIFIED_ANCHOR	Ibanez-branded early overdrive family with multiple historical states; do not collapse all OD-855 specimens into one production state	1976 Ibanez catalog; 1978 Ibanez catalog; secondary historical sources
Nisshin Onpa / Maxon	OD-880	Maxon Overdrive	OVERDRIVE	1978	VERIFIED_ANCHOR	Maxon catalog documents OD880 as an early Maxon overdrive; later OOD9 is explicitly described by Maxon as an updated version	1978 Maxon catalog; Maxon documentation
Nisshin Onpa / Maxon	SD-5	Double Sound	FUZZ	1970s	VERIFIED_ANCHOR	Combination wah/fuzz retail product; keep as its own model despite shared historical platform context	1978 Mix product directory; 1978 Maxon catalog
Nisshin Onpa / Maxon	OD-808	Overdrive Pro	OVERDRIVE	1979 onward lineage	VERIFIED_ANCHOR	Maxon-branded counterpart to the Ibanez TS808 relationship; preserve both retail identities and the OEM/manufacturing relationship	GuitarPlayer interview with Susumu Tamura; Maxon/Ibanez historical sources
Nisshin Onpa / Maxon	TS808 Tube Screamer Overdrive Pro	Ibanez TS808	OVERDRIVE	1979 onward lineage	VERIFIED_ANCHOR	Ibanez-marketed sibling/brand identity to Maxon OD808; do not merge the retail identities into one catalog item	Susumu Tamura interview; Ibanez support/catalog history
Nisshin Onpa / Maxon	OD-9	Maxon Overdrive	OVERDRIVE	1980s onward lineage	VERIFIED_ANCHOR	Successor-line Maxon overdrive designed by Susumu Tamura; retain separate retail model from OD808	Susumu Tamura interview; Maxon product history
Nisshin Onpa / Maxon	TS9 Tube Screamer	Ibanez TS9	OVERDRIVE	1980s onward lineage	VERIFIED_ANCHOR	Ibanez-marketed successor in the same designed-by-Maxon lineage; preserve brand/OEM distinction	Susumu Tamura interview; Ibanez catalogs
Nisshin Onpa / Maxon	SD-9	Sonic Distortion	DISTORTION	1980s onward	VERIFIED_ANCHOR	Major Maxon distortion model; belongs in the nine-series dirt catalog	Maxon official FAQ; Maxon product history
Nisshin Onpa / Maxon	DS830	Distortion Sustainer	DISTORTION	1980s onward	VERIFIED_ANCHOR	Maxon distortion/overdrive family member with distinct retail identity; preserve separately from SD-9	Maxon official FAQ
Nisshin Onpa / Maxon	SM9	Super Metal	DISTORTION	1980s	INDEXED_SECONDARY	High-gain Maxon nine-series candidate for historical dirt census; requires period catalog/page-level corroboration before promotion to verified anchor	Maxon/Ibanez nine-series secondary records
Nisshin Onpa / Maxon	ST-9	Pro+ / Super Tube Screamer lineage	OVERDRIVE/DISTORTION	1980s	INDEXED_SECONDARY	Ibanez-branded dirt model in the Maxon-designed nine-series corridor; retain as separate Ibanez retail identity	Ibanez historical catalog references; secondary historical records
Nisshin Onpa / Maxon	OOD9	Organic Overdrive	OVERDRIVE	2007	VERIFIED_ANCHOR	Modern update of the early Maxon OD880; Maxon documentation explicitly identifies the lineage relationship	Maxon documentation; Maxon manual
Nisshin Onpa / Maxon	OSD9	Overdrive Soft Distortion	DISTORTION	2000s	INDEXED_SECONDARY	Modern Maxon nine-series dirt model; verify original introduction date from primary product literature	Maxon nine-series documentation
Nisshin Onpa / Maxon	DS830 reissue/current		DISTORTION	modern lineage	CANDIDATE	Current/reissue state should be separated from historical DS830 specimens when cataloged; exact production periods need primary catalog audit	Maxon current/product documentation
Nisshin Onpa / Maxon	Fuzz Elements series	Air / Ether / etc.	FUZZ	2010s-2020s	VERIFIED_ANCHOR	Modern modeled-fuzz family; archive as a modern Maxon family separate from vintage OEM-era products	MaxonFX Fuzz Elements collection
Nisshin Onpa / Maxon	OD9M / OD808X / OD808X2	modern high-output variants	OVERDRIVE	modern lineage	CANDIDATE	Modern variants belong in later model-generation work after vintage catalog census; do not back-project them into original 1980s identities	Maxon current product literature
