builder	model	category	light_description	photo_source	status
Sinvertek	No. 5 Distortion	Distortion	Hong Kong boutique high-gain distortion with discrete circuitry, four-band EQ, multiple gain levels and independent boost functions.	https://www.effectsdatabase.com/model/sinvertek/no5	INVENTORY
Sinvertek	Drive N5	Overdrive / Distortion	Hong Kong amp-style FET drive with high-gain and ultra-gain modes plus mid-range voicing controls.	https://www.effectsdatabase.com/model/sinvertek/n5	INVENTORY
Sinvertek	Drive N5+	Overdrive / Distortion	Hong Kong expanded N5 platform with extensive frequency shaping and analog FET preamp architecture.	https://www.effectsdatabase.com/model/sinvertek/n5/plus	INVENTORY
Sinvertek	Dark Fire	Distortion	Hong Kong modern high-gain analog distortion with three distortion types, active EQ and selectable gain or volume boost.	https://www.effectsdatabase.com/model/sinvertek/darkfire	INVENTORY
Sinvertek	Tiger Attack	Distortion	Hong Kong high-gain distortion machine with dual channels and four core distortion voices derived from modern high-gain amplifier concepts.	https://www.effectsdatabase.com/model/sinvertek/tigerattack	INVENTORY
CKK Electronic	Q Cat Overdrive	Overdrive	Beijing analog-focused overdrive from the CKK Electronic line developed by Wu Nan after the Sinvertek period.	https://www.effectsdatabase.com/model/ckkelectronic	INVENTORY
CKK Electronic	Scream Drive	Overdrive	Beijing analog overdrive in the CKK catalog, part of the brand's broader stompbox range.	https://www.effectsdatabase.com/model/ckkelectronic	INVENTORY
CKK Electronic	Gambler	Overdrive / Distortion	Beijing CKK gain pedal from the brand's analog stompbox lineup.	https://www.effectsdatabase.com/model/ckkelectronic	INVENTORY
CKK Electronic	Lunar OD Special	Overdrive	Beijing analog-focused overdrive from CKK Electronic's named drive range.	https://www.effectsdatabase.com/model/ckkelectronic	INVENTORY
MOEN	MO-OD Over Drive	Overdrive	Early Chinese MOEN vintage-series overdrive documented from a 2006 prototype and production-era catalog.	https://www.effectsdatabase.com/model/moen/vintage/mood	INVENTORY
MOEN	MO-DB Deep Blue	Overdrive / Distortion	Early Chinese MOEN JFET drive designed for smooth overdrive through higher-gain territory.	https://www.effectsdatabase.com/model/moen/vintage/modb	INVENTORY
Ravenstone	APOLLO V2	Overdrive / Distortion	Taiwan boutique overdrive with multiple amp-style voicings, compression switching and boost/EQ utility.	https://reverb.com/item/60365273-ravenstone-apollo-v2-custom-white	INVENTORY
Ravenstone	1959 Distortion	Distortion / Overdrive	Taiwan boutique distortion covering low-gain JTM45/Bluesbreaker, high-gain Plexi and #34 JCM800-style modes.	https://reverb.com/item/77348129-ravenstone-1959-distortion	INVENTORY
