name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Fredric Effects	Builder	UK	2000s-present	Liquid Fox distortion; other fuzz/drive products	DISCOVERED	https://www.effectsdatabase.com/model/fredric/liquidfox	British boutique builder appearing in Effects Database's MXR Distortion+ lineage tree. Full dirt catalog should be enumerated in Queue B.
GuitarSlinger Effects	Builder	Germany	2000s-present	Blizzard; Dario Lorina Custom Tube Tone Overdrive; Double-Dealer; Fireball MkII; Highway Star; RB-1011; Stargazer; Stormbringer	DISCOVERED	https://www.effectsdatabase.com/model/guitarslinger	Run by Alex Beyrodt. Effects Database documents first pedals in 2008-2009 and German production from 2010, with ten indexed products.
HomeRecords	Builder	Unknown	2000s-2010s	Distortion; Fuzz; Tube Screamer	DISCOVERED	https://www.effectsdatabase.com/model/homerecords	Small builder/brand with three dedicated dirt products in Effects Database. Geographic and manufacturing attribution require follow-up.
Montreux	Builder / Japanese brand	Japan	2000s-present	Retrovibe '73 Distortion; Retrovibe Boutique Distortion; Retrovibe British Distortion; Retrovibe Classic Overdrive	DISCOVERED	https://www.effectsdatabase.com/model/montreux/retrovibe	Japanese brand with a compact Retrovibe line explicitly covering distortion and overdrive. Manufacturing relationship should be separated from marketed brand identity.
Pigdog	Builder	UK	2000s-present	Dirty 8; Driver; Fuzz 1.5; Fuzzbound; Heavy Load; JuJu; Loony; Loony II; Low Pro MkII; MkI; Professional MkII; Spectrafuzz; Supa Pro; Tin Pan; custom/mod work	DISCOVERED	https://www.effectsdatabase.com/model/pigdog ; https://www.effectsdatabase.com/model/pigdog/fuzz15	Steve Williams, based in Surrey/London. Started in 2006 with first pedals in 2007. Strong custom/modification lineage plus standard dirt products.
Ross	Historical brand / manufacturer	USA	1970s-1980s	Ross R-50 Distortion and other original gain effects	DISCOVERED	https://www.effectsdatabase.com/model/ross ; https://www.effectsdatabase.com/model/ross/r50	Historical Kustom/Ross lineage. Preserve Ross as marketed historical manufacturer/brand while separately mapping Kustom Electronics ownership and JHS-era revival.
Tym Guitars	Builder	Australia	1990s-present	Large fuzz/overdrive/distortion catalog including Cerberus, Big Mud, D-Stort, Creation Fuzz, Dead Meadow, Lemon Sournote, Mini Mud, Mini Tymexar, Savage Toecutter, Tripletone, TYMEXAR and others	DISCOVERED	https://www.effectsdatabase.com/model/tym ; https://www.effectsdatabase.com/model/tym/odp666	Brisbane company run by Tim Brennan. Founded 1997; first pedals 1998. Effects Database currently indexes 76 products, making this a high-priority Queue B catalog-completion target.
Whirlwind	Builder / manufacturer	USA	2000s-present	Gold Box Distortion and other Rochester-series effects	DISCOVERED	https://www.effectsdatabase.com/model/whirlwind/rochester/gold	Effects Database documents handwired Rochester-series pedals including a dedicated Gold Box distortion. Clarify historical versus modern production and complete dirt catalog later.
Black Snake	Builder / brand	Unknown / Brazil-linked	2000s-2010s	Black Snake Distortion	CENSUS_ONLY	https://www.effectsdatabase.com/model/blacksnake/distortion	Effects Database indexes a dedicated distortion and links it to the Brazilian Guitar Museum. Treat as candidate until builder identity, geography and manufacturing are independently verified.
Vintage Pedal Workshop	Builder	UK	2010s	Fuzz Sound; Supa Fuzz; Tone Bender MkI; Mk1.5; MkII; Zonk Machine; Exel Shatterbox; F.E.T. Guitar Pre-Amplifier	DISCOVERED	https://www.effectsdatabase.com/model/vpw	Modern British builder founded in 2010 by Steve Giles and Richard Henry; included because related-model trees establish a broader historical reproduction lineage that deserves canonical census treatment.
