canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Shin-Ei / Companion	PHYSICAL_BUILDER_LINEAGE	Japan	1970-1979	Companion FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	House-brand FY-2 family; dedicated model index includes early 1970 Germanium and later 1977 Silicon specimen references; modern reproduction is a separate revival state	https://www.effectsdatabase.com/model/shinei/companion/fy2 ; https://shin-ei.com/COMPANION-FY2-FUZZ-BOX ; https://guitarrestos.com/effects/1970-shin-ei-germanium-companion-fy-2-fuzz-earliest-version/
J.H. Experience	MARKETED_EXPORT_ENTITY	Canada/Japan	1970s	FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	Model-specific Effects Database record identifies a Japanese OEM edition of the Shin-Ei FY-2	https://www.effectsdatabase.com/model/jhexperience/fy2
Kimbara	MARKETED_EXPORT_ENTITY	Japan/Export	Late 1960s-1970s	FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	Directly indexed beneath the Companion FY-2 family; surviving dealer evidence describes late-1960s/early-1970s example with original box/manual	https://www.effectsdatabase.com/model/kimbara/fy2 ; https://soundgas.com/products/kimbara-fy-2-fuzz-box
Suzuki	MARKETED_EXPORT_CANDIDATE	Mexico/Japan	1970s	FY-2 Fuzz	fuzz	DISCOVERY	Effects Database records a Suzuki-branded FY-2 sold in Mexico during the 1970s; specimen owner calls it unusually obscure and confirms Japanese parts	https://www.effectsdatabase.com/model/suzuki/fy2
Tele-Star	MARKETED_IMPORT_ENTITY	USA/Japan	1970s	FY-2 Fuzz Box	fuzz	DISCOVERY	Tele-Star entity page explicitly lists an FY-2 and describes the company as a distributor/importer of Japanese-made effects; exact FY-2 OEM remains unresolved	https://www.effectsdatabase.com/model/telestar
Zenta	MARKETED_EXPORT_ENTITY	Japan/Export	Late 1960s-1970s	FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	Dedicated model page identifies Zenta as an OEM-branded Shin-Ei Companion FY-2	https://www.effectsdatabase.com/model/zenta/fy2
Avora	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-2 Fuzz Box	fuzz	DISCOVERY	Listed directly under the Companion FY-2 family; exact period supplier/date state remains to be corroborated	https://www.effectsdatabase.com/model/shinei/companion/fy2
Jax	MARKETED_EXPORT_ENTITY	USA/Japan	1970s	FY-2 Fuzz Box	fuzz	DISCOVERY	Family index lists JAX FY-2; exact model-specific period sourcing still requires a dedicated evidence pass	https://www.effectsdatabase.com/model/shinei/companion/fy2
Tempo	MARKETED_EXPORT_ENTITY	USA/Japan	1970s	TR-2 Fuzz	fuzz	DISCOVERY	Family index lists Tempo TR-2; exact manufacturing and date corridor remain unresolved	https://www.effectsdatabase.com/model/shinei/companion/fy2
Thomas	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-2 Fuzz Box	fuzz	DISCOVERY	Family index and Tonehome identify Thomas among FY-2 brandings; dedicated period evidence still needed	https://www.effectsdatabase.com/model/shinei/companion/fy2 ; https://www.tonehome.de/shin-ei/fuzz-box-fy-2/
Shin-Ei	PHYSICAL_BUILDER_LINEAGE	Japan	1970s	FY-2 Fuzz Box	fuzz	INDEXED_RELATIONSHIP	Tonehome documents a Shin-ei FY-2 specimen dated 1977; use as a production-state anchor rather than a blanket start date	https://www.tonehome.de/shin-ei/fuzz-box-fy-2/
Avora	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970s	FY-6 Super Fuzz	octave fuzz	INDEXED_RELATIONSHIP	Dedicated Effects Database page identifies Avora FY-6 as a Japanese-OEM Super Fuzz variant	https://www.effectsdatabase.com/model/avora/fy6
Mica-Tone	MARKETED_EXPORT_CANDIDATE	Japan/Export	1960s-1970s	Fuzz Master	octave fuzz	INDEXED_RELATIONSHIP	Dedicated Effects Database page identifies Mica-Tone as a rebranded FY-6 Super Fuzz made by a Japanese OEM	https://www.effectsdatabase.com/model/micatone/superfuzz
Oscar	MARKETED_EXPORT_CANDIDATE	Japan/Export	1960s-1970s	FY-6 Fuzz Master	octave fuzz	INDEXED_RELATIONSHIP	Dedicated Effects Database page identifies Oscar as part of the OEM-built Super Fuzz family	https://www.effectsdatabase.com/model/oscar/fy6
Hohner	MARKETED_BRAND_ENTITY	Germany/Japan	1973-1974+	MF-50 Master Fuzz Control	octave fuzz	INDEXED_RELATIONSHIP	Effects Database model page is categorized as Hohner by Shin-Ei; Tone Machines Blog reports a March 1974 Music Trades announcement and late-1973/early-1974 introduction corridor	https://www.effectsdatabase.com/model/hohner/shinei/masterfuzzcontrol ; https://www.tonemachinesblog.com/2023/05/super-identity-crisis.html
Mayfair	MARKETED_EXPORT_CANDIDATE	Japan/Export	1970-1972 specimen	Model 9540 Fuzz Master	fuzz	DISCOVERY	Current specimen listing gives 1970-72 and Made in Japan; single-specimen evidence is not treated as a full production chronology	https://reverb.com/item/95527426-shin-ei-mayfair-9540-fuzz-distortion-pedal-japan-rare
