record_id	brand	model_name	variant_or_state	production_period	kind	differences	status	source_url	notes
REC-291	Effector 13	Rocket	Original Effector 13 release	2007	Lineage / chronology	Effects Database published the Effector 13 Rocket on May 25, 2007 and explicitly identifies it as the original release that later became the Devi Ever Rocket.	VERIFIED	https://www.effectsdatabase.com/model/effector13/rocket	Critical brand-lineage anchor; keep the Effector 13 label distinct from later Devi Ever-branded Rocket specimens.
REC-292	Devi Ever FX	Rocket	Post-Effector 13 branded state	2007 onward	Lineage / chronology	Effects Database published the Devi Ever FX Rocket on May 24, 2007 and links it directly to the earlier Effector 13 Rocket; the later brand state retains the Rocket identity while the Effector 13 name moved under Ooh La La licensing.	VERIFIED	https://www.effectsdatabase.com/model/deviever/rocket	Do not merge Effector 13 and Devi Ever label states when specimen branding is visible.
REC-293	Effector 13	Shoe Gazer	Original Effector 13 release	May 2007	Lineage / chronology	Effects Database published the Effector 13 Shoe Gazer on May 24, 2007 and links it to the later Devi Ever FX Shoe Gazer.	VERIFIED	https://www.effectsdatabase.com/model/effector13/shoegazer	Use the Effector 13 label as the primary generation clue; later brand states remain separate.
REC-294	Devi Ever FX	Shoe Gazer	Later Devi Ever branded state	2007 onward	Lineage / chronology	Effects Database published the Devi Ever FX Shoe Gazer on May 24, 2007 and explicitly relates it to the earlier Effector 13 model; a June 2008 period article describes the Devi Ever branded Shoe Gazer during the Effector 13/Ooh La La transition.	VERIFIED	https://www.effectsdatabase.com/model/deviever/shoegazer	Useful transition-era specimen; retain Effector 13 and Devi Ever labels as separate states.
REC-295	Ooh La La Manufacturing	Synth Mangler	Ooh La La manufactured specimen, serial 45	2008	Manufacturing / specimen	A documented 2008 Effector 13/Ooh La La Synth Mangler specimen carries serial number 45 and identifies the pedal as hand-painted, with the Effector 13 design manufactured during the licensed period.	RESEARCH	https://reverb.com/item/94268467-effector-13-devi-ever-ooh-la-la-synth-mangler-fuzz-2008	Serial 45 is specimen evidence, not proof of total production; keep manufacturing attribution separate from design authorship.
REC-296	Ooh La La Manufacturing	Truly Beautiful Disaster	Ooh La La manufactured licensed state	2008-2010	Manufacturing / chronology	Contemporary and later documentary sources identify Truly Beautiful Disaster as a Devi Ever-designed pedal manufactured by Ooh La La during the licensed Effector 13 period; one low-serial documented specimen is explicitly described as Ooh La La manufactured and hand-painted.	RESEARCH	https://www.matrixsynth.com/2012/03/low-sn-devi-ever-ooh-la-la-truly.html	Two-year licensed window is anchored by Devi Ever’s own account; exact unit-level transition dates remain unresolved.
REC-297	HomeBrew Electronics	UFO Ultimate Fuzz Octave	Early production state	October 2004 onward	Model / chronology	Effects Database published the HBE UFO on October 18, 2004 as a hand-built analog octave fuzz with independently switchable octave and Vintage/Modern voicing.	VERIFIED	https://www.effectsdatabase.com/model/hbe/ufo	Strong early HBE dirt anchor; preserve finish and control-layout differences as specimen clues when documented.
REC-298	HomeBrew Electronics	Germania	Early production state	September 2005 onward	Model / chronology	Effects Database published the HBE Germania on September 9, 2005 as a boost/preamp with Gain and Hi-Fi/Lo-Fi controls. The HBE catalog separately lists the Germania 44 as a related variant.	VERIFIED	https://www.effectsdatabase.com/model/hbe/germania	Keep Germania 44 separate from the standard Germania model family state.
REC-299	HomeBrew Electronics	Germania 44	OC44 limited variant state	2005 onward	Edition / chronology	HBE catalog records the Germania 44 as a related model to Germania, while period dealer documentation identifies the 44 as the variant using a European OC44 transistor and a three-position low-frequency selection.	RESEARCH	https://www.effectsdatabase.com/model/hbe/germania	Treat Germania 44 as a distinct variant/edition; exact launch boundary is unresolved.
REC-300	T-Pedals	Daytona Fuzz	Early documented retail state	2006 onward	Model / chronology	T-Pedals identifies Daytona Fuzz as a hand-built Italian fuzz with two selectable distortion voices, a dual-range tone control, NOS germanium transistors, and point-to-point construction. The builder timeline places T-Pedals as a full-time activity from 2006.	RESEARCH	https://t-pedals.com/en/daytonafuzz.html	Builder timeline supplies the earliest defensible window; exact Daytona first-sale date remains unresolved.
