name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
A.Y.A	Builder	Japan	2000s-present	Bass Fuzz; BM-Fuzz 70; BM-Fuzz 80; Drivesta; Frontgate Bass Drive	DISCOVERED	https://www.effectsdatabase.com/model/aya	Tokyo builder associated with Makoto Kawai; complete catalog needed.
Dazatronyx	Builder	Australia	2010s-present	Muff-Fuzz and related fuzz/gain products	DISCOVERED	https://www.effectsdatabase.com/model/dazatronyx	Melbourne handmade builder; compact catalog worth preserving.
Elite Tone	Builder	USA	2000s-2010s	Fillmore Thunder; Fusion-Drive; Fuzz Monster; Fuzz Monster II; Octane Boost; Smooth Boost	DISCOVERED	https://www.effectsdatabase.com/model/elitetone	David Nelson lineage; multiple gain/fuzz products.
Mellowtone	Builder	USA	2000s-2010s	Melx Fuzz 2; Melxowtone; Supra Fuzz; Trumpet Fuzz; Wolf Computer variants	DISCOVERED	https://www.effectsdatabase.com/model/mellowtone	Eric Edvalson; substantial fuzz catalog.
VL Effects	Builder	France	1980s-present	Bullitt OD-One; Tone Invaders Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/vl	Vincent Loret; early French boutique continuity.
Master Effects	Builder	Canada	2000s-present	Happy Trails Overdrive; Teh Brootz; Wolfy	DISCOVERED	https://www.effectsdatabase.com/model/master	Calgary builder; compact gain catalog.
Cause & Effect Pedals / CE Pedals	Builder	Canada	2000s-2010s	FET Dream	DISCOVERED	https://www.effectsdatabase.com/model/cepedals	Keep as canonical Cause & Effect entity; FET Dream first commercial shipments documented in 2009.
Audio Monk / Nina Electronics	Successor lineage	USA	2000s-2010s	Fuzzbeard; Fuzzpotion; Rubie Drive	DISCOVERED	https://www.effectsdatabase.com/model/audiomonk	Nina Electronics is predecessor name and Audio Monk successor; one builder lineage.
J&H	Micro-builder	USA	2015-2017	Hella Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/jnh/hellafuzz	Effects Database records a 49-unit historical run.
SynthRestore	Builder	UK	2010s	Model OC8 Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/synthrestore/fuzz	One-product historical builder; preserve despite tiny catalog.
Bautner	Historical brand/manufacturer	Brazil	1980s?	DB-1 Distortion; MB-1 Heavy Metal; ODB-1 Over-Drive	DISCOVERED	https://www.effectsdatabase.com/model/bautner	Brazilian historical brand; factory relationship requires further archival work.
Asama Engineering	Brand/OEM family	Japan	1970s-1980s	Over Drive	DISCOVERED	https://www.effectsdatabase.com/model/asama/overdrive	Preserve as branded node; Coron Musical Instrument relationship retained separately.
Seiwa	Brand/OEM family	Japan	1970s-1980s	Over Drive	DISCOVERED	https://www.effectsdatabase.com/model/seiwa/overdrive	Japanese overdrive brand in documented Coron OEM family.
Storm by Coron	Brand/OEM family	Japan	1970s-1980s	Over Drive	DISCOVERED	https://www.effectsdatabase.com/model/storm/coron/overdrive	Storm marketed product, Coron manufacturing relationship.
FBT	Historical brand/manufacturer	Italy	1960s-1980s	A-608-B Distorsion; Fuzz FF III	DISCOVERED	https://www.effectsdatabase.com/model/fbt	Italian manufacturer/brand node; later ownership should stay separate.
Bob Burt Cabinets & Pedals	Builder	USA	2000s-2010s	Overdrive; AH-1 distortion; GR8T Distortion	DISCOVERED	https://www.effectsdatabase.com/model/bobburt	Milton, Florida; cabinet and pedal builder.
PedalWorX	Builder	USA	2000s-2010s	Bender-Over-Under; Dirty Angel; HellBilly Hybrid Fuzz; McFuzz; McFuzz Hot; Neo-Drive; New York Over Driver; Octabooty; SRV-808; Tejas; Texas Two Step; ZZT-808	DISCOVERED	https://www.effectsdatabase.com/model/pedalworx	Bob McBroom and George Blekas partnership; dirt-heavy catalog.
DB Design	Micro-builder	USA?	2000s	Lemon Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/dbdesign/lemonfuzz	Hand-built germanium fuzz; geography needs follow-up.
Earth Sound Research	Historical builder	USA	1970s-1980s	Graphic Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/earthsound	Historical amplifier/effects manufacturer.
Chicago Stompworks	Builder	USA	2000s-2010s	Fuzz/OD/distortion	DISCOVERED	https://www.effectsdatabase.com/model/chicagostompworks	Related maker names Podals and Van Houten Custom Shop require identity reconciliation.
Montgomery Appliances	Micro-builder	USA	2007-2010s	Fuzz/boost/drive catalog	DISCOVERED	https://www.effectsdatabase.com/model/montgomeryappliances	Large one-person fuzz catalog; high-value preservation target.
Abraxas Sound	Micro-builder	Unknown	2000s-2010s	4 indexed fuzz products	DISCOVERED	https://www.effectsdatabase.com/model/abraxas	Identity/geography remain to be corroborated.
Ed Sanner / Sanner Electronics	Revival builder	USA	1990s	FuzzRite reissue	DISCOVERED	https://www.effectsdatabase.com/model/sanner	Historical revival/reissue builder.
Theremaniacs / Chuck Collins	Lineage	USA	2000s-present	Harmonic Percolator	DISCOVERED	https://www.effectsdatabase.com/model/theremaniacs	One builder lineage across brand/person labels.
Pigeon FX	Builder	United Kingdom	2010s-present	Rangemaster; Fuzz Face; Tone Bender families	DISCOVERED	https://www.effectsdatabase.com/model/pigeonfx	Current handmade English maker with vintage-family dirt catalog.
O.C.E. Pedals	Builder	USA (California)	2021-2026	Hardware Fuzz; Wrench Fuzz; Wrench Fuzz V2; They Don't Compare	DISCOVERED	builder-identity-reconciliation-02.tsv	Wrench V1/V2 are generations, not duplicate builders.
Colortone Pedals	Builder	Australia	2000s-present	Parasite Overdrive and other dirt	DISCOVERED	builder-identity-reconciliation-02.tsv	Colortone is canonical entity; shortened-name duplicates should not be created.
Colombo Audio Electronics	Micro-builder	Italy	2020s-present	Broad OD/distortion/fuzz	DISCOVERED	https://www.effectsdatabase.com/model/colombo	Large current Italian catalog; full enumeration pending.
Pecked Audio	Micro-builder	Italy	2021-present	Distortion/overdrive; analog octaver fuzz	DISCOVERED	https://www.effectsdatabase.com/model/peckedaudio	Primary product archive needed.
Monochrome	Micro-builder	Italy	2025-present	Fuzz One	DISCOVERED	https://www.effectsdatabase.com/model/monochrome	Current one-person builder candidate.
Sunhaus	Micro-builder	Unknown	2021-present	Loei; Kong Ra; Rama; Jubilee	DISCOVERED	builder-census-34.tsv	Geography and full chronology still unresolved.
