pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3101	front	https://www.effectsdatabase.com/model/klinger/bender/mk1		Klinger Custom Pedals / Burgerman666	Effects Database	Reference-only		Verify photographer/uploader and permission	Do not republish pending rights review	2026-09-14	Multiple historical visual references including manufacturer video.
DISC-3103	front	https://www.effectsdatabase.com/model/klinger/chromazone		Klinger Custom Pedals / Burgerman666	Effects Database	Reference-only		Verify photographer/uploader and permission	Do not republish pending rights review	2026-09-14	Purple and black Chroma Zone visual references help distinguish documented versions.
DISC-3104	front	https://www.effectsdatabase.com/model/klinger/buzzfuzz		eBay seller / Klinger Custom Pedals	Effects Database	Reference-only		Verify specimen photographer and permission	Research reference only	2026-09-14	Buzz Fuzz specimen and video references useful for enclosure/artwork identification.
DISC-3106	front	https://www.effectsdatabase.com/model/klinger/psychedelicfuzzmachine		Klinger Custom Pedals	Effects Database	Reference-only		Verify photographer/uploader and permission	Do not republish pending rights review	2026-09-14	Visual lead for Klinger Foxx Tone Machine derivative.
DISC-3117	front	https://www.effectsdatabase.com/model/kma/fuzzlybear		KMA Audio Machines	Effects Database	Reference-only		Verify source rights	Do not republish pending rights review	2026-09-14	Manufacturer catalog image/video lead.
DISC-3125	front	https://www.effectsdatabase.com/model/kma/queequeg		PedalOfTheDay / KMA Audio Machines	Effects Database	Reference-only		Verify photographer/uploader and permission	Do not republish pending rights review	2026-09-14	Several historical demo-video image references.
DISC-3133	front	https://www.effectsdatabase.com/model/kma/wurm		KMA Audio Machines	Effects Database	Reference-only		Verify source rights	Do not republish pending rights review	2026-09-14	Core Wurm visual identity for later Wurm/Wurhm/Guardian comparison.
DISC-3141	front	https://www.effectsdatabase.com/model/kittycaster/mohair		Kittycaster FX	Effects Database	Reference-only		Verify source rights	Do not republish pending rights review	2026-09-14	Manufacturer demo/image lead.
DISC-3142	front	https://www.effectsdatabase.com/model/kittycaster/meerkat		Kittycaster FX	Effects Database	Reference-only		Verify source rights	Do not republish pending rights review	2026-09-14	Manufacturer demo/image lead.
DISC-3143	front	https://www.effectsdatabase.com/model/kittycaster/kittyface		Kittycaster FX	Effects Database	Reference-only		Verify source rights	Do not republish pending rights review	2026-09-14	Manufacturer demo/image lead; useful for FXCORE identification.
