builder	product	category	light_info	source	photo_source	collection_status
Apollo	6-Tr Fuzz-Wah	Fuzz	Fuzz and wah combination pedal.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	FOUND
Apollo	Crier	Overdrive	Apollo gain pedal.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	FOUND
Apollo	no. 843 Buzz Box & Volume Expander	Fuzz	Fuzz pedal combined with volume expansion.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	FOUND
Apollo	no. 843 Distorter	Distortion	Distortion pedal.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	FOUND
Apollo	no. 843 Fuzz King	Fuzz	Fuzz pedal.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	FOUND
Apollo	no. 846 Deluxe Fuzz Tone Expander	Fuzz	Deluxe fuzz and tone-expansion pedal.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	FOUND
Apollo	Treble-Bass Booster	Overdrive/Boost	Treble and bass booster; keep as dirt-boundary record until scope review.	https://www.effectsdatabase.com/model/apollo	https://www.effectsdatabase.com/model/apollo	BOUNDARY
Dreadbox	Disorder v1	Fuzz	Analog fuzz combining heavy saturation with resonant filtering and synth-like textures.	https://www.effectsdatabase.com/model/dreadbox/disorder	https://www.effectsdatabase.com/model/dreadbox/disorder	FOUND
Dreadbox	Disorder v2	Fuzz	Expanded analog fuzz with filter, resonance and gated/sputtery operation.	https://www.effectsdatabase.com/model/dreadbox/disorder	https://www.effectsdatabase.com/model/dreadbox/disorder	FOUND
D*A*M	1965	Fuzz	Tone Bender MkI-style fuzz replica.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	1966	Fuzz	Tone Bender-style fuzz replica.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Drag'n'Fly	Fuzz	Hybrid fuzz tones.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Ezekiel 25:17	Distortion	Low-frequency distortion generator.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Fleshhead	Fuzz	Fuzz pedal in the D*A*M catalog.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	FS-75 Fuzz Sound Jr.	Fuzz	Compact fuzz sound pedal.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Fuzz Sound MkIII	Fuzz	MkIII fuzz sound pedal.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Fuzz Sound MkIV	Fuzz	MkIV fuzz sound pedal.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Fuzzaround	Fuzz	Fuzz pedal based on the Fuzzaround concept.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	FUZZrong	Fuzz	Fuzz pedal in the D*A*M catalog.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	FZ-673	Fuzz	Fuzz pedal in the D*A.M catalog.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Grease Box	Overdrive	Solid-state pre-amplified germanium overdrive.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Head Buzz	Fuzz	Fuzz pedal in the D*A.M catalog.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Meathead	Fuzz	Silicon fuzz machine.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Meathead Deluxe	Fuzz	Expanded silicon fuzz machine.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Professional MKII	Fuzz	Tone Bender MkII-style replica.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Ram Head	Fuzz	Ram Head-style fuzz pedal.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Sonic Titan	Distortion	Power-amp-style distortion pedal.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	Super Bee	Fuzz	Germanium fuzz tones.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
D*A*M	TB-00 Tone Bender	Fuzz	Tone Bender-related fuzz pedal.	https://www.effectsdatabase.com/model/dam	https://www.effectsdatabase.com/model/dam	FOUND
