builder	model	category	light_description	photo_source	status
Kasleder FX	Dirty Little Thing	Overdrive	Hungarian boutique overdrive built as Kasleder's take on the classic vintage overdrive format.	https://kaslederfx.com/dirty-little-thing/	INVENTORY
Kasleder FX	Sweet Little Thing	Overdrive	Refined successor to the Dirty Little Thing family with a more contemporary voiced overdrive presentation.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Vintage King	Fuzz / Overdrive	Two-transistor gain/fuzz pedal covering boost, treble-boost, overdrive, distortion, and fuzz territory.	https://kaslederfx.com/vintage-king/	INVENTORY
Kasleder FX	GE Vintage King	Fuzz / Overdrive	Germanium version of the Vintage King family using a vintage-fuzz approach.	https://kaslederfx.com/	INVENTORY
Kasleder FX	The Toad	Fuzz / Boost	Combined treble-booster and Fuzz Face-style fuzz product in one enclosure.	https://kaslederfx.com/	INVENTORY
Kasleder FX	JellyFish	Bass Overdrive	Bass-focused overdrive designed around a transparent, dynamic gain response.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Freaky Stone	Bass Overdrive / Fuzz	Limited-run bass preamp, overdrive, and fuzz using germanium coloration.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Mean Bone	Distortion	Kasleder distortion product in the current boutique catalog.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Sparkle Chili	Distortion	Rock-oriented distortion pedal from the Kasleder catalog, documented in black/white variants.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Pelion	Overdrive	Klon Centaur-inspired overdrive presented as Kasleder's interpretation of the format.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Albatross	Overdrive / Distortion	Gain product in the historical/current Kasleder dirt catalog.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Toxic Twins	Dual Overdrive / Distortion	Dual-channel gain product in the Kasleder catalog.	https://kaslederfx.com/	INVENTORY
Kasleder FX	White Boy	Overdrive	Kasleder overdrive model retained as a historical catalog state.	https://kaslederfx.com/	INVENTORY
Kasleder FX	Black Boy	Overdrive / Distortion	Kasleder gain model retained as a historical catalog state.	https://kaslederfx.com/	INVENTORY
SviSound	GeFuzz	Fuzz / Overdrive	Bulgarian boutique germanium fuzz-overdrive family with multiple documented version states.	https://svisound.com/reviews-artists	INVENTORY
SviSound	FuzzoZoid	Fuzz / Overdrive	Bulgarian original fuzz-overdrive designed around a broad range from overdrive texture into fuzz.	https://svisound.com/reviews-artists	INVENTORY
SviSound	RetroZoid SF	Fuzz	Silicon fuzz model in the RetroZoid family.	https://svisound.com/reviews-artists	INVENTORY
SviSound	RetroZoid GF	Fuzz	Germanium fuzz model in the RetroZoid family.	https://svisound.com/reviews-artists	INVENTORY
SviSound	SiMosFuzz	Fuzz	Compact silicon fuzz product documented by SviSound and independent reviewers.	https://svisound.com/reviews-artists	INVENTORY
SviSound	OverZoid oz01	Overdrive	Core Bulgarian overdrive model with a broad dynamic gain range.	https://svisound.com/reviews-artists	INVENTORY
SviSound	OverZoid oz01+	Overdrive / Boost	Expanded OverZoid version adding boost-oriented gain options.	https://svisound.com/reviews-artists	INVENTORY
SviSound	OverZoid oz02	Overdrive	Higher-headroom OverZoid generation with multiple clipping states.	https://svisound.com/reviews-artists	INVENTORY
SviSound	OverZoid MOS	Overdrive / Boost	MOSFET-based OverZoid gain model documented in the SviSound catalog.	https://svisound.com/reviews-artists	INVENTORY
SviSound	DistoZoid	Distortion	Compact Bulgarian distortion pedal capable of serving as a preamp-style gain stage.	https://svisound.com/reviews-artists	INVENTORY
SviSound	DistoZoid 2.0	Distortion	Later DistoZoid state retaining the compact high-gain concept.	https://svisound.com/reviews-artists	INVENTORY
SviSound	Techno-OV	Overdrive	Germanium overdrive model from the SviSound catalog.	https://svisound.com/reviews-artists	INVENTORY
SviSound	Si Fuzz	Fuzz / Overdrive	Silicon fuzz-overdrive model documented in SviSound's review archive.	https://svisound.com/reviews-artists	INVENTORY
SviSound	FuzzOZoid-D	Fuzz / Distortion	SviSound fuzz/distortion family model retained as a named catalog state.	https://svisound.com/reviews-artists	INVENTORY
SviSound	FuzzOZoid-DS	Fuzz / Distortion	SviSound fuzz/distortion family model retained as a named catalog state.	https://svisound.com/reviews-artists	INVENTORY
SviSound	Metal Genetic 2.0	Distortion	High-gain Bulgarian distortion model documented in SviSound's review archive.	https://svisound.com/reviews-artists	INVENTORY
