builder	model	category	light_description	photo_source	status
GUPtech	Saguenay Drive	Overdrive	Canadian-built overdrive from GUPtech, presented as its SD-1 tribute and manufactured in Saguenay, Quebec.	https://guptech.ca/	INVENTORY
GUPtech	DOnut Distortion-Overdrive	Overdrive / Distortion	Hot Cake tribute offering overdrive and distortion-style gain in GUPtech's current catalog.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Queen of Crow Dual Overdrive	Dual Overdrive	Dual-channel overdrive tribute designed around two gain voices in one enclosure.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Horsie Overdrive	Overdrive	Klon Centaur-inspired overdrive in GUPtech's current catalog.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Angel Honker Overdrive	Overdrive	Blues Breaker-style overdrive with switchable clipping and added output/presence shaping.	https://guptech.ca/products/copy-of-angel-honker-overdrive-blues-breaker-tribute	INVENTORY
GUPtech	Nashville Nood Tube Honker	Overdrive	Tube-Honker-style overdrive represented in GUPtech's current OD catalog.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Dude Screamer	Overdrive	High-flexibility Tube Screamer-family overdrive in the current GUPtech range.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Honker Hot Rod	Overdrive	Modified TS-808-style overdrive with additional tonal and gain options.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Mad Honker	Overdrive	GrindR-to-TS-808 style drive combining distinct gain voicings.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	The Clowntaur	Overdrive	Centaur-family tribute overdrive in GUPtech's current catalog.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
GUPtech	Blades of Steel Triple Overdrive - Fuzz	Overdrive / Fuzz	Three-section gain pedal combining overdrive voices with a fuzz stage.	https://guptech.ca/collections/pedals-od-distorsion	INVENTORY
