record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-178	BOSS	OD-2R TURBO OverDrive	1994-1999 official-era state	1994-1999	Model / chronology	BOSS official anniversary chronology dates OD-2R TURBO OverDrive to 1994-1999, distinguishing it from the earlier OD-2.	VERIFIED	https://www.boss.info/us/promos/40th_anniversary_compact_pedals/	Retained as a distinct retail generation.
REC-179	ProCo	Deucetone RAT	Dual-channel RAT state	2001-2005	Model / lineage	Historical ProCo references identify Deucetone as a dual-RAT-format product from the early 2000s, preceding the standalone You Dirty RAT.	RESEARCH	https://jhspedals.info/blogs/news/proco-rat-pedal-myths-history-and-timeline	Keep dual-channel context separate from single RAT models.
REC-180	ProCo	RAT 2	2003 sloped-enclosure state	2003-present	Generation / enclosure	Historical RAT documentation identifies a sloped small-box enclosure conversion around 2003 after the earlier flat RAT 2 state.	RESEARCH	https://www.griffineffects.com/files/articles/rathistory/rat2.php	Strong external generation marker for specimen identification.
REC-181	BOSS	MT-2 Metal Zone	1991 introduction anchor	1991	Model / chronology	BOSS officially dates the MT-2 Metal Zone to 1991 and identifies it as a long-running high-gain distortion model.	VERIFIED	https://www.boss.info/global/products/mt-2/articles/	Official introduction date is preferred.
REC-182	Ibanez	TS5 Tube Screamer	Soundtank generation	1990s	Model / enclosure	Effects Database identifies TS5 as a Soundtank-era Tube Screamer in a molded plastic enclosure, distinct from TS10.	RESEARCH	https://www.effectsdatabase.com/model/ibanez/soundtank/ts5	Use enclosure family as the principal external discriminator.
REC-183	Ibanez	TS7 Tube Screamer	Tone-Lok generation	1999-present	Model / generation	Effects Database identifies TS7 as a later Tone-Lok Tube Screamer with a selectable Hot mode, distinct from TS5/TS10.	RESEARCH	https://www.effectsdatabase.com/model/ibanez/tonelok/ts7	Public record emphasizes product identity.
REC-184	BOSS	OS-2 OverDrive/Distortion	Late-1980s compact hybrid	1988-present	Model / lineage	BOSS maintains OS-2 as a combined overdrive/distortion compact pedal, making it a distinct hybrid lineage.	VERIFIED	https://www.boss.info/us/products/os-2/	Do not collapse into OD or DS families.
REC-185	BOSS	DS-2 TURBO Distortion	Japan to Taiwan corridor	1987-1990s	Production / regional	DS-2 was released in 1987, with historical evidence documenting Japan and subsequent Taiwan production states.	RESEARCH	https://www.effectsdatabase.com/model/boss/compact/ds2	Country and exact changeover should remain specimen-led.
REC-186	BOSS	FZ-2 HYPER Fuzz	1993-1997 official state	1993-1997	Model / chronology	BOSS official anniversary chronology places FZ-2 HYPER Fuzz in production from 1993 to 1997.	VERIFIED	https://www.boss.info/us/promos/40th_anniversary_compact_pedals/	Keep separate from earlier FZ models.
REC-187	DOD	FX66 Flashback Fuzz	1999 launch state	1999	Model / chronology	AmericasPedals documents FX66 as the final FX-series introduction, with Winter NAMM 1999 announcement evidence and later regional production examples.	RESEARCH	https://americaspedals.net/fx66.html	Country remains specimen-level.
REC-188	Roland	GP-16 Digital Guitar Effects Processor	1989 rack state	1989	Digital / rack	BOSS historical chronology dates the Roland GP-16 to 1989 and describes its programmable multi-effect architecture.	VERIFIED	https://www.boss.info/ca/boss-50th-anniversary/	Useful successor context to GP-8.
REC-189	DigiTech	DSP-128	Early digital DSP context	Late 1980s-1990s	Digital / rack	DigiTech history identifies DSP-128 as an early digital signal processor in the move toward programmable multi-effects systems.	RESEARCH	https://digitech.com/history/	Context record; not a dedicated distortion pedal.
