builder	model	category	light_description	photo_source	status
ORGANIC SOUNDS	Organic Booster Kerberos	Fuzz	Organic Sounds' first original fuzz; three-position rotary gain control, developed as a compact vintage-oriented fuzz/booster. Official product page carries multiple exterior images.	https://organic-sounds.com/products/kerberos	CENTRAL
ORGANIC SOUNDS	Kerberos Custom Limited Edition	Fuzz	Limited Kerberos variant adding Master Volume and vintage-part selection; retained as a substantive edition relationship because controls and parts presentation differ from the one-control Kerberos.	https://organic-sounds.com/products/organic-booster-kerberos-custom-with-master-volume	RELATIONSHIP_ONLY
ORGANIC SOUNDS	Orthros	Fuzz	Organic Sounds fuzz built to pursue the feel of a vintage Fuzz Face; surviving dealer documentation provides exterior imagery and identifies separate germanium and silicon variants.	https://store.ishibashi.co.jp/view/item/000000029807	CENTRAL
ORGANIC SOUNDS	Orthros Germanium Ver.	Fuzz	Germanium-transistor Orthros production variant; retained as a generation/component variant because surviving documentation explicitly identifies it as a distinct version.	https://store.ishibashi.co.jp/view/item/000000029807	RELATIONSHIP_ONLY
ORGANIC SOUNDS	Orthros Silicon Ver.	Fuzz	Silicon-transistor Orthros production variant; retained separately from the germanium version for specimen identification.	https://store.ishibashi.co.jp/view/item/000000029947	RELATIONSHIP_ONLY
ORGANIC SOUNDS	Small Tower	Fuzz	Compact Organic Sounds fuzz based on the builder's vintage Big Muff Ram's Head reference work; official overseas page supplies six exterior photographs and detailed product information.	https://organic-sounds-overseas-sales-division.com/products/small-tower	CENTRAL
ORGANIC SOUNDS	ORGAROUND	Fuzz	Organic Sounds reconstruction of the Burns BUZZAROUND based on the builder's own vintage specimen and distinctive enclosure; official overseas catalog provides product imagery and historical context.	https://organic-sounds-overseas-sales-division.com/	CENTRAL
ORGANIC SOUNDS	ORGA TONE	Fuzz	Organic Sounds reconstruction of the ELKA DIZZY TONE based on the builder's own original; official overseas catalog preserves the model as part of its vintage series.	https://organic-sounds-overseas-sales-division.com/	CENTRAL
ORGANIC SOUNDS	ORGA FACE 66	Fuzz	Organic Sounds vintage-series Fuzz Face-oriented model family; current overseas catalog includes germanium and silicon-labeled variants with exterior imagery.	https://organic-sounds-overseas-sales-division.com/	CENTRAL
ORGANIC SOUNDS	SUPE FUZZ / OC75	Fuzz	Organic Sounds vintage-style fuzz using OC75 germanium transistors; current product catalog provides exterior product imagery and product identity.	https://organic-sounds.com/collections/all	CENTRAL
ALBIT	GFD-1	Distortion	Good Feeling Drive, a guitar/bass distortion using FET stages rather than an IC; official documentation gives launch date, controls and exterior product presentation.	https://www.albit.jp/effectors_distortion_booster.html	CENTRAL
ALBIT	GW-1	Distortion	ALBIT distortion/booster model documented in the official effectors catalog; retained as a named dirt product pending deeper historical chronology.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	GW-1B	Distortion	Bass-oriented ALBIT distortion/booster model documented in the official effectors catalog; retained as a separate model identity.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	GW-2	Distortion	ALBIT distortion/booster model documented in the official effectors catalog; retained pending deeper historical and specimen reconciliation.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	CB-1G	Distortion	ALBIT guitar-oriented custom booster/distortion family record documented in the official catalog.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	CB-1B	Distortion	ALBIT bass-oriented custom booster/distortion family record documented in the official catalog.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	TB-1	Overdrive	TubeSound Booster / overdrive booster using six FETs to approximate tube characteristics; official page documents 2015 release, controls and enclosure dimensions.	https://www.albit.jp/effectors_distortion_booster.html	CENTRAL
ALBIT	TB-1B	Overdrive	Bass version of the TubeSound Booster family documented in ALBIT's official effectors catalog.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	MP-1	Distortion	ALBIT distortion/booster model appearing in the official current/historical effectors catalog; retained as a named product record pending chronology and specimen reconciliation.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	OD-1B	Overdrive	Bass overdrive designed around two gain controls and two filter paths, with low/high-gain operation; official documentation identifies it as discontinued.	https://www.albit.jp/effectors_distortion_booster.html	CENTRAL
ALBIT	MG-1	Distortion	ALBIT named distortion/booster model preserved from the official catalog; deeper historical and photo reconciliation remains queued.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	MS-1	Distortion	ALBIT named distortion/booster model preserved from the official catalog; deeper historical and photo reconciliation remains queued.	https://www.albit.jp/effectors.html	CENTRAL_PENDING
ALBIT	GWF-1	Fuzz	Germanium Diode Fuzz for Guitar, introduced in 2021; official page documents germanium-diode construction, controls, dimensions and product imagery.	https://www.albit.jp/effectors_fuzz.html	CENTRAL
ALBIT	GWF-1B	Fuzz	Bass version of the Germanium Diode Fuzz family; official page documents the bass model separately with the same named control architecture.	https://www.albit.jp/effectors_fuzz.html	CENTRAL
ALBIT	FZ-2B	Fuzz	Bass fuzz with separate high/low gain controls and a frequency-balancing design target; official page documents its 2012 release and discontinued status.	https://www.albit.jp/effectors_fuzz.html	CENTRAL
ALBIT	MF-1	Fuzz	Micro FUZZ from the SKULL series with Gate and Master-style controls; official page documents its 2012 release, compact enclosure and discontinued status.	https://www.albit.jp/effectors_fuzz.html	CENTRAL
ALBIT	FZ-1A	Fuzz	Historical OverDrive Fuzz / fuzz-driver documented in an ALBIT manual, combining fuzz and drive behavior with a multi-control switching layout; retained as a historical catalog record.	https://www.albit.jp/manual/BS-2A_M.pdf	CENTRAL_PENDING
