pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3502	front	https://item.rakuten.co.jp/guitarplanet/arcane-analog-buzzsaw/		Rakuten / Guitar Planet	Rakuten	Reference-only		Guitar Planet / source photographer	Do not republish pending permission	2026-09-14	Clear Buzzsaw front specimen useful for Buzzaround-style enclosure and control identification.
DISC-3508	front	https://www.effectsdatabase.com/model/arcaneanalog		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Arcane Analog builder page has multimedia and product image leads.
DISC-3514	front	https://www.effectsdatabase.com/model/creepyfingers		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Builder page provides a catalog-level visual lead for the 23-product Creepy Fingers lineup.
DISC-3521	front	https://www.effectsdatabase.com/model/creepyfingers/harakirifuzz		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Harakiri Fuzz page has historical/new-version image and video references.
DISC-3523	front	https://www.effectsdatabase.com/model/creepyfingers/hornskewer		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Hornskewer visual lead; explicitly useful for Zonk-family identification research.
DISC-3525	front	https://www.effectsdatabase.com/model/creepyfingers/magnabender		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Magna Bender page includes product imagery/video references.
DISC-3548	front	https://www.effectsdatabase.com/model/sabbadius		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Builder page contains multimedia references and a 16-product historical snapshot.
DISC-3548	front	https://coolguitarshop.us/collections/sabbadius-pedals		Cool Guitar Shop	Cool Guitar Shop	Reference-only		Cool Guitar Shop	Do not republish pending permission	2026-09-14	Current Sabbadius retail imagery is useful for comparing older and newer enclosure/artwork eras.
DISC-3551	front	https://www.chicagomusicexchange.com/products/stone-deaf-fig-fumb-v2-1390551		Chicago Music Exchange	Chicago Music Exchange	Reference-only		Chicago Music Exchange	Do not republish pending permission	2026-09-14	Clear Fig Fumb V2 specimen photograph with distinctive faceplate and control layout.
DISC-3551	front	https://massstreetmusic.com/products/stone-deaf-fig-fumb-fuzz		Mass Street Music	Mass Street Music	Reference-only		Mass Street Music	Do not republish pending permission	2026-09-14	Older Fig Fumb specimen useful for generation/artwork comparison.
DISC-3554	front	https://www.premierguitar.com/gear/stone-deaf-fx-pdf-1-parametric-distortion-filter-pedal-review		Premier Guitar	Premier Guitar	Reference-only		Premier Guitar	Do not republish pending rights review	2026-09-14	Period PDF-1 product imagery and review context.
