name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Celmo	Builder	France	2000s-2010s	Sardine Pimento analog overdrive with amp-sag emulator	DISCOVERED	https://www.effectsdatabase.com/model/celmo/pimento	French boutique maker with documented manufactured overdrive. Preserve design/brand identity separately from any later ownership.
Cluster Effects	Builder	Argentina	2000s-present	Dragon-71 distortion/sustain; Ithaca-25; Ithaca-26; Tsunami-9 overdrive	DISCOVERED	https://www.effectsdatabase.com/model/cluster/dragon71 ; https://www.effectsdatabase.com/model/cluster/ithaca/25 ; https://www.effectsdatabase.com/model/cluster/ithaca/26 ; https://www.effectsdatabase.com/model/cluster/tsunami9	Argentine builder with multiple distinct dirt families. Important regional builder to catalog in depth later.
Effects Bakery	Builder / Japanese brand	Japan	2010s-present	An Butter Coppe Drive; Suguru's Big Katsu Distortion; Bagel Overdrive; Croissant Distortion; Kamome Distortion; New Ginger Fuzz; Sandwich Fuzz; Mecha-Bagel Overdrive; Mecha-Croissant Distortion	DISCOVERED	https://www.effectsdatabase.com/model/effectsbakery ; https://www.effectsdatabase.com/model/effectsbakery/kamome	Large Japanese dirt catalog. Production/manufacturing relationship needs separate attribution research.
Heptode	Builder	France	2010s	Heavy Tone high-gain overdrive/preamp; Deep Crunch overdrive/preamp	DISCOVERED	https://www.effectsdatabase.com/model/heptode/heavytone ; https://www.effectsdatabase.com/model/heptode/deepcrunch	French builder with analog amp-voiced gain pedals that also operate as preamps. Scope classification should distinguish pedal/preamp usage.
Human Gear	Builder	Japan	1990s-present	Fine DS; Fine Fat OD; Fine OD; Fine OD Special	DISCOVERED	https://www.effectsdatabase.com/model/humangear	Run by Hiroshi Yagi in Japan. Multiple documented gain products justify canonical builder status.
JMB.Experience	Builder	France	2000s-2010s	NitroGen 21 Fuzz; Classic 70's Fuzz; Money For Nothing's Sound overdrive/filter	DISCOVERED	https://www.effectsdatabase.com/model/jmbexperience/nitrogen21 ; https://www.effectsdatabase.com/model/jmbexperience/classic70s ; https://www.effectsdatabase.com/model/jmbexperience/moneyfornothing	French boutique builder with documented fuzz and overdrive products and collaboration lineage with Judge Fredd Customworks.
LNA Guitar Effects	Builder	France	2000s-2010s	Ultimate Distortion, combining Fuzz/Overdrive/Distortion channels; Patrick Rondat Signature Distortion	DISCOVERED	https://www.effectsdatabase.com/model/lna/ultimatedistortion ; https://www.effectsdatabase.com/model/lna/distortionrondat	Hand-wired French manufacturer with multi-channel dirt and signature distortion products. Strong historical boutique record.
Leqtique	Builder / designer lineage	Japan	2010s-present	9/9; CLD Caeruleum Lightdrive; MAR Maestro Antique Revised; MAT Maestoso	DISCOVERED	https://www.effectsdatabase.com/model/leqtique ; https://www.effectsdatabase.com/model/leqtique/mar ; https://www.effectsdatabase.com/model/leqtique/mat	Japanese gain builder closely linked with Shun Nokina Design. Preserve separate maker/brand/designer roles during reconciliation.
Mazzette	Builder	France	2000s-2010s	Lowerdrive/Robert Overdrive; Jose Phuzz fuzz	DISCOVERED	https://www.effectsdatabase.com/model/mazzette ; https://www.effectsdatabase.com/interviews/brands/mazzette ; https://www.effectsdatabase.com/model/mazzette/josephuzz	French one-company operation started from Nico's self-built Lowerdrive. Effects Database documents a 2007 origin and later company formation.
Ovaltone	Builder	Japan	2010s-present	Alchemy Driver; Black Tortoise; Fountain Overdrive; FU?/ZZ? Fuzz; GD-013; Gray Ghost; MAGS; OD-Five 2 Cross; OD-Five 2 eXplosion; Shachihoko; Terminus; Vermillion Bird Fuzz; White Tiger Overdrive	DISCOVERED	https://www.effectsdatabase.com/model/ovaltone ; https://www.effectsdatabase.com/model/ovaltone/gd013 ; https://www.effectsdatabase.com/model/ovaltone/odfive2explosion	Japanese builder run by Ryohei Tanaka and Yusuke Tanaka with a substantial documented dirt catalog.
ProXON Custom Analog Effects	Builder	France	2000s-2010s	Buzz fuzz; FuzzBy fuzz; Road overdrive; Tonix distortion; Typo distortion; Vortech distortion; Tube Box distortion	DISCOVERED	https://www.effectsdatabase.com/model/proxon ; https://www.effectsdatabase.com/model/proxon/buzz ; https://www.effectsdatabase.com/model/proxon/tonix ; https://www.effectsdatabase.com/model/proxon/road ; https://www.effectsdatabase.com/model/proxon/tubebox	Effects Database documents a broad French analog catalog spanning fuzz, OD, distortion and tube-based dirt. Queue B should enumerate the full historical product list.
Providence	Brand / manufacturer lineage	Japan	1990s-present	Stampede OD SOV-1; Sonic Drive; Brick Drive and gain-related Providence products	DISCOVERED	https://www.effectsdatabase.com/model/providence ; https://www.effectsdatabase.com/model/providence/standard/sdr4	Providence is a Pacifix brand founded in Japan. Effects Database documents the first Providence overdrive in 1998 and its later relationship to Free The Tone. Treat as separate marketed entity connected in the lineage graph.
Shigemori	Builder	Japan	2000s-present	Ruby Stone Overdrive; Mighty Stone Distortion; Muse Overdrive	DISCOVERED	https://www.effectsdatabase.com/model/shigemori/rubystone ; https://www.effectsdatabase.com/model/shigemori/mightystone ; https://www.effectsdatabase.com/model/shigemori/muse	Japanese boutique builder with multiple dirt designs. Finish changes should not automatically be treated as circuit revisions.
Sobbat	Builder	Japan	1990s-present	DB-1 Drive Breaker; DB-3 Drive Breaker; DB-4R Drive Breaker Four; ODB-1S Over Drive Breaker	DISCOVERED	https://www.effectsdatabase.com/model/sobbat/db1 ; https://www.effectsdatabase.com/model/sobbat/db3 ; https://www.effectsdatabase.com/model/sobbat/db4r ; https://www.effectsdatabase.com/model/sobbat/odb1/s	Kyoto handmade builder with a long Drive Breaker product lineage and multiple distinct OD/DS designs.
SP Custom Pickups	Builder / pickup maker	France	2000s-2010s	Green Overdrive; SBGO Black Widow overdrive	DISCOVERED	https://www.effectsdatabase.com/model/spcustom ; https://www.effectsdatabase.com/model/spcustom/green ; https://www.effectsdatabase.com/model/spcustom/blackwidow	Pickup maker that also produced documented overdrive pedals. Preserve pickup-manufacturer role separately from effects-builder role.
TheBlueArk	One-person builder	Singapore	2000s-2010s	Hand-built effects; dirt relevance requires product-level confirmation	CENSUS_ONLY	https://www.effectsdatabase.com/interviews/brands/theblueark	Effects Database interview documents Singapore-made hand-built pedals and later retirement. Retain as candidate until a specific dirt model is tied down.
GoosoniqueWorx	One-person builder	Singapore	2000s-2010s	MangoJuice FET distortion; Pixie hybrid fuzz; Rapture Overdrive; Fudge 73 fuzz; Seventheaven/7thvn; Kult high-gain	DISCOVERED	https://www.effectsdatabase.com/model/goosonique ; https://www.effectsdatabase.com/interviews/brands/goosonique	Strong historical Singapore boutique record with documented timeline and multiple dirt products.
