name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Aclam	Builder	Spain	2010s-present	Cinnamon Drive; Dr Robert; overdrive/distortion products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Major Spanish builder; complete catalog census needed.
Decibelics	Builder	Spain	2010s-present	Golden Horse Mini; Angry Swede HM-2	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Active Spanish boutique builder; catalog census needed.
Thermion	Builder	Spain	2010s-present	Breakthru and dirt/preamp products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Active Spanish builder; enumerate full catalog.
Don Poniz FX	Builder	Spain	2010s-present	Fuzztotum series; Fuzzy Face; distortion/drive products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Small Spanish fuzz specialist; catalog may depend on social-media records.
Effectivy Wonder Pedals	Builder / custom maker	Spain	2010s	Doomsday Machine Stereo Fuzz; Stranger Germanium Fuzz; Terminator Distortion	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Custom-order builder; distinguish repeatable models from one-off customer graphics.
El Músico Loco	Builder	Spain	2010s	Wee Beaver Fuzz; 74 Overdrive; 83 Fuzz; Tone Bender MKII	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Defunct Spanish-based builder; strong historical catalog candidate.
ThunderTomate	Builder	Spain	2000s-2010s	Cow Fuzz; Muffin' Man V2; Ram's Head Fuzz; Studio Distortion; overdrive/preamp products	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Defunct but prolific; source reports more than 6,000 pedals shipped. High-priority historical catalog census.
MegaBeat Audio	Builder	Spain	2010s	Darth Fader and utility effects	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Small Spanish maker; dirt relevance limited but retain census record if own fuzz/drive products are confirmed.
BrickTone	Builder	Spain	2010s	Dr Fuzz; Dr Screamer Drive; Purple Face Vintage Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Fledgling/small Spanish builder candidate.
DAGPedals	Builder	Spain	2010s	Aguila Fuzz; Maximum Overdrive; Republica Fuzz; RocketDriver	DISCOVERED	https://www.guitarpedalx.com/news/gpx-blog/best-of-spanish-guitar-pedals-and-pedal-builders	Fuzz/drive specialist; full catalog census needed.
