Builder,Pedal,Type
"Tallon Electric","The Hog","Overdrive"
"Tallon Electric","The Hog","Distortion"
"Tallon Electric","ABR-OD","Overdrive"
"TONECAT","Luna Overdrive","Overdrive"
"TONECAT","Ziggy Fuzz","Fuzz"
"TONECAT","Hugo Overdrive","Overdrive"
"TONECAT","Lola Drive","Overdrive"
"TONECAT","Lola Drive","Distortion"
"TONECAT","Sir Fuzzington","Overdrive"
"TONECAT","Sir Fuzzington","Fuzz"
"TONECAT","Fuzz a l’Huile Silicon Fuzz","Fuzz"
"TONECAT","Brutus","Overdrive"
"TONECAT","Cutthroat Kitty Distortion","Distortion"
"Alameda Guitars","Fuzzoo","Fuzz"
"Revv Amplification","G2","Overdrive"
"Revv Amplification","G3","Distortion"
"Revv Amplification","G4","Distortion"
"DryBell","The Engine","Overdrive"
"DryBell","The Engine","Distortion"
