name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Dedalo	Builder	Argentina	2000s-present	Maquina del Tiempo; overdrive/fuzz families	DISCOVERED	builder-census-early-foundational.tsv	Important Argentine boutique builder; complete catalog pending.
Onerr	Builder	Brazil	2000s-present	Carbon X; distortion/fuzz/OD families	DISCOVERED	builder-census-early-foundational.tsv	Brazilian builder with substantial regional importance.
Umbrella Company	Builder	Brazil	2000s-present	Drive/fuzz/distortion products	DISCOVERED	builder-census-early-foundational.tsv	Preserve as distinct Brazilian builder entity.
EXAR	Builder	Poland	2000s-present	Bass/distortion/overdrive/fuzz families	DISCOVERED	builder-census-early-foundational.tsv	Polish builder and importer/manufacturer history needs separation.
Fjord Fuzz	Builder	Norway	2010s-present	Fuzz and drive catalog	DISCOVERED	builder-census-early-foundational.tsv	Norwegian boutique fuzz builder.
VS Audio	Builder	Brazil	2010s-present	Royal Flush; Angra; multiple OD/distortion products	DISCOVERED	builder-census-early-foundational.tsv	Brazilian builder with notable modern gain catalog.
Tsakalis AudioTube	Builder	Greece	2010s-present	Six B.O.D.; OD/distortion/fuzz	DISCOVERED	builder-census-early-foundational.tsv	Greek boutique builder; catalog completion pending.
Blue Pedals	Builder	Brazil	2010s-present	Fuzz/OD/distortion	DISCOVERED	builder-census-early-foundational.tsv	Brazilian micro-builder.
Jamés Pedals	Builder	Sweden	2010s-present	Fuzz/OD/distortion	DISCOVERED	builder-census-early-foundational.tsv	Keep distinct from Greek JAM Pedals; similar name is not same builder.
Fuchs Audio Technology	Builder	USA	1990s-present	Overdrive Supreme-derived pedals; distortion/OD	DISCOVERED	builder-census-early-foundational.tsv	American builder tied to Dumble-inspired gain ecosystem.
Fortin Amplification	Builder	USA	2000s-present	Zuul-adjacent dirt; high-gain OD/distortion	DISCOVERED	builder-census-early-foundational.tsv	High-gain builder; complete dirt catalog pending.
Does It Doom?	Builder	USA	2010s-present	Doom fuzz/OD catalog	DISCOVERED	builder-census-early-foundational.tsv	Genre-specific builder with significant modern fuzz relevance.
1981 Inventions	Builder	USA	2010s-present	DRV-style distortion	DISCOVERED	builder-census-early-foundational.tsv	Boutique distortion builder; version and run history worth later archaeology.
CMAT Mods	Builder	USA	2000s-present	Overdrive/distortion/fuzz and modded classics	DISCOVERED	builder-census-early-foundational.tsv	Separate modified vintage-product lineage from original designs.
Stone Deaf FX	Builder	United Kingdom	2010s-present	PDF-2; Fig Fumb; distortion/overdrive	DISCOVERED	builder-census-early-foundational.tsv	British boutique builder with active dirt line.
Mojo Hand FX	Builder	USA	2000s-present	Rook Royale; Iron Bell; fuzz/OD catalog	DISCOVERED	builder-census-early-foundational.tsv	Long-running boutique builder.
Greer Amps	Builder	USA	2010s-present	Lightspeed; Southland; 390 and additional gain products	DISCOVERED	builder-census-27.tsv	Earlier census listed 390; full catalog still pending.
Mythos Pedals	Builder	USA	2010s-present	Golden Fleece; Mjolnir; overdrive/fuzz catalog	DISCOVERED	builder-census-early-foundational.tsv	Nashville-area boutique builder.
Silktone	Builder	USA	2010s-present	Fuzz; Fuzz+; Expander	DISCOVERED	builder-census-early-foundational.tsv	Modern boutique builder; multiple fuzz generations.
Beetronics FX	Builder	USA	2010s-present	Swarm; Octahive; Royal Jelly; fuzz/OD catalog	DISCOVERED	builder-census-early-foundational.tsv	California builder; keep distinct from Third Man Hardware collaborations.
Cornerstone Music Gear	Builder	Italy	2010s-present	Gladio; Nero; Antique; drive families	DISCOVERED	builder-census-early-foundational.tsv	Italian builder with growing dirt catalog.
Benson Amps	Builder	USA	2010s-present	Germanium Fuzz; Preamp and drive	DISCOVERED	builder-census-early-foundational.tsv	Builder/amp relationship should distinguish true dirt products from preamps.
Great Eastern FX Co.	Builder	United Kingdom	2010s-present	Focus Fuzz Deluxe and other fuzz products	DISCOVERED	builder-census-early-foundational.tsv	UK builder with modern fuzz line.
Manson Guitar Works	Builder	United Kingdom	2010s-present	Supermassive Black Fuzz	DISCOVERED	builder-census-early-foundational.tsv	Guitar-maker/builder crossover entity.
Mattoverse Electronics	Builder	USA	2010s-present	AirTrash; fuzz/experimental dirt	DISCOVERED	builder-census-early-foundational.tsv	Experimental boutique builder.
Dirty Boy Jr. Fuzz	Builder/brand	USA	2020s-present	Dirty Boy Jr Fuzz	DISCOVERED	builder-census-early-foundational.tsv	Preserve as distinct modern builder/brand node until company relationship is clarified.
Buzzing Bugs	Builder	Unknown	2020s-present	Bolster and fuzz/gain products	DISCOVERED	builder-census-early-foundational.tsv	Small modern builder; geography and catalog need corroboration.
Redbeard Effects	Builder	USA	2010s-present	Bearded Vulture and dirt catalog	DISCOVERED	builder-census-early-foundational.tsv	Keep distinct from ThorpyFx; collaborations should remain relationship nodes.
Kasleder FX	Builder	Austria	2000s-present	The Toad and gain/fuzz products	DISCOVERED	builder-census-early-foundational.tsv	Austrian builder.
Awestruck Effects	Builder	USA	2010s-present	Highland Discrete Overdrive	DISCOVERED	builder-census-early-foundational.tsv	Small modern builder; catalog completion pending.
Vntage Tone	Builder	USA	2010s-present	Octagrapher-Fuzz II and related products	DISCOVERED	builder-census-early-foundational.tsv	Modern vintage-oriented builder.
DOPHIX	Builder	Italy	2000s-present	Medici More Fuzz and other dirt	DISCOVERED	builder-census-early-foundational.tsv	Italian boutique builder; preserve modern products and chronology.
Funny Little Boxes	Builder	United Kingdom	2010s-present	Caught by the Fuzz and other vintage-family dirt	DISCOVERED	builder-census-early-foundational.tsv	UK builder focused on vintage-family fuzz products.
Warm Audio	Builder/brand	USA	2010s-present	Fluff Drive and modern dirt collaborations	DISCOVERED	builder-census-early-foundational.tsv	Commercial audio brand with pedal collaborations; distinguish its own products from licensed/partner products.
Seward Park Electric	Builder	USA	2000s-present	Arabica; fuzz/overdrive	DISCOVERED	builder-census-early-foundational.tsv	Seattle-area boutique builder.
