builder	model	category	light_description	photo_source	status
OVALTONE	GD-013	Overdrive/Distortion	Original Ovaltone drive introduced in 2014; documented three-mode DISTORTION/VINTAGE/OVERDRIVE operation and a three-position mid emphasis selector on the full version.	https://ovaltone.net/discontinued-2/gd-013/	CENTRAL
OVALTONE	GD-013 PROTO LOOK	Overdrive/Distortion	Reduced-function production version of GD-013 with simplified controls and fixed HONK/DIST behavior; retained as a meaningful production state rather than a new conceptual family.	https://ovaltone.net/discontinued-2/gd-013/	RELATIONSHIP_ONLY
OVALTONE	GD-013 Version 2.0	Overdrive/Distortion	2017 successor to GD-013 with revised response, increased gain/fat range and DIST/VIN/O.D. modes; official discontinued page provides extensive exterior photography and controls.	https://ovaltone.net/discontinued-2/gd-013-version2/	CENTRAL
OVALTONE	OD-FIVE 2 eXplosion	Distortion	Dual-channel Ovaltone high-gain drive/distortion platform with extensive documented artist use; retained as a central historical dirt model.	https://ovaltone.net/discontinued-2/od-five-2-explosion/	CENTRAL
OVALTONE	OD-FIVE 2 eXplosion CUSTOM for PRO	Distortion	2021 professional custom development based on OD-FIVE 2 eXplosion, with independent low/mid/high-gain modes on each channel; later discontinued in 2023.	https://ovaltone.net/discontinued-2/od-five-2-explosion-custom-for-pro/ ; https://ovaltone.net/news/od-five-2-explosion-custom-for-pro-discontinue/	CENTRAL
OVALTONE	34-Xtreme	Overdrive/Distortion	2016 British-amplifier-oriented drive/distortion with three-way VOICE and three-way channel selection; official page documents gain behavior and exterior product presentation.	https://ovaltone.net/discontinued-2/34-xtreme/	CENTRAL
OVALTONE	Fountain	Overdrive	Original 2016 Fountain overdrive; later replaced by a 2025 redesigned generation. Historical production should remain distinct from the current version.	https://ovaltone.net/products/ ; https://ovaltone.net/2023/	CENTRAL
OVALTONE	Fountain (2025 ver.)	Overdrive	2025 redesign of Fountain with increased headroom and clarity plus PRE GAIN/FAT/CLIP controls; official page gives release date, controls and production details.	https://ovaltone.net/products/	CENTRAL
OVALTONE	Fountain HS-model	Overdrive	2025 signature variant based on Fountain 2025 ver. with an additional hard-clipping stage and more distortion-oriented response; retained as a distinct signature edition relationship.	https://ovaltone.net/	RELATIONSHIP_ONLY
OVALTONE	Fat Plexi	Overdrive	2025 compact British-style drive derived from the 34-Xtreme target but completely redesigned; official page documents gain, EQ and narrow-mid boost control.	https://ovaltone.net/products/	CENTRAL
OVALTONE	old SanoRa+	Distortion	2024 Ovaltone recreation/modification of a black metal enclosure distortion reference, with dual amplification and revised tone/clipping behavior; official page provides product photos and detailed description.	https://ovaltone.net/discontinued-2/ ; https://ovaltone.net/products/	CENTRAL
OVALTONE	ECTOPLASM FUZZ MK I	Fuzz/Distortion	2026 fuzz/distortion with GAIN, VOLUME, TONE, POST BASS, BASS CUT and MORE controls; official product page and current shop provide exterior photographs.	https://ovaltone.net/products/ ; https://ovaltone.shop/items/69a1a6f73e0c0673026a09d2	CENTRAL
OVALTONE	Heavy Blow Bass-Overdrive	Overdrive	2025 first Ovaltone design explicitly dedicated to bass, ranging from subtle saturation through blended drive to fuzz-like gain; official page documents 30V internal operation and product imagery.	https://ovaltone.net/products/	CENTRAL
OVALTONE	TM4086+	Overdrive/Distortion	2023 drive based on the sound target of a 1990s amplifier head, combining drive and booster sections; revision 1.2 became the standard from February 2024.	https://ovaltone.net/products/	CENTRAL
OVALTONE	Ovalized Screamer-9	Overdrive	Ovaltone modified Tube Screamer platform with broader dynamic response and lowered-drive range; official historical page places it in the 2022 product line.	https://ovaltone.net/products/ ; https://ovaltone.net/2023/	CENTRAL
OVALTONE	Ovalized Screamer-10	Overdrive	Paired Ovaltone Tube Screamer modification with its own documented response tuning; retained separately from -9 as a named product.	https://ovaltone.net/products/	CENTRAL
OVALTONE	Ovalized Screamer 808ts	Overdrive	2024 Shimamura-limited collaboration with Susumu Tamura, centered on a modified 808 design and documented as a distinct product model.	https://ovaltone.net/products/	CENTRAL
OVALTONE	Forty 5 DRIVE GEAR	Overdrive	2022 mini drive with simple DRIVE/VOLUME controls, intentionally spanning low to medium gain and designed as a compact member of Ovaltone's reduced-enclosure series.	https://ovaltone.net/products/driver/forty-5-drive-gear/	CENTRAL
OVALTONE	MERKAVA OVERDRIVE	Overdrive	2023 return to the original Merkava concept with revised controls and upgraded enclosure/parts, combining booster behavior with standalone overdrive use.	https://ovaltone.net/products/	CENTRAL
LIMETONE AUDIO	JACKAL	Overdrive/Distortion	Japanese handmade high-gain drive introduced in 2021; official page documents Level/Gain/3EQ, BITE and PLEXI modes plus exterior image set.	https://limetoneaudio.com/prd_jackal.html ; https://limetoneaudio.com/news.html	CENTRAL
LIMETONE AUDIO	JACKAL MIDNIGHT	Overdrive/Distortion	Drive/preamp version of the Jackal family with NORMAL and PREAMP modes, three-band EQ and bright switching; official page provides product photography and detailed controls.	https://limetoneaudio.com/prd_jackalmidnight.html	CENTRAL
LIMETONE AUDIO	JACKAL MIDNIGHT ADD CBF	Overdrive/Distortion	JACKAL MIDNIGHT variant with Clean Blend, clean LPF and clean volume controls; retained as a substantive product variant but not a separate conceptual family.	https://limetoneaudio.com/prd_jackalmidnightaddcbf.html	RELATIONSHIP_ONLY
LIMETONE AUDIO	fuzzhog proto	Fuzz	Modern Japanese fuzz tuned for fast response and usable low-end shaping, with GAIN/VOLUME/WEIGHT controls and a bypassable weight circuit; official page provides full exterior photos and specs.	https://limetoneaudio.com/prd_fuzzhog.html	CENTRAL
LIMETONE AUDIO	funther	Overdrive	Historical Limetone Audio overdrive product; first-party news records its production ending January 2021. Retained as a historical dirt model even though its product page is no longer in the current catalog.	https://limetoneaudio.com/news.html	CENTRAL
