builder	model	category	light_description	photo_source	status
Black Cat	Bass Octave Fuzz	Octave Fuzz	Bass-voiced octave-up fuzz combining a dense fuzz core with adjustable octave and filtered harmonic content.	https://www.effectsdatabase.com/model/blackcat/bassoctavefuzz	INVENTORY
Black Cat	D&S	Fuzz / Distortion	Vintage-style fuzz and distortion based around the 1970s D&S character, with a refined tone network for tighter low end and broader EQ control.	https://www.effectsdatabase.com/model/blackcat/ds	INVENTORY
Black Cat	D-II Distortion	Distortion	Boutique distortion pedal built for saturated amplifier-style gain with a broad, aggressive response.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
Black Cat	Fuzz Platform	Fuzz	Flexible fuzz pedal designed around a broad fuzz range and tonal control for classic through heavier saturated textures.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
Black Cat	Monster K-Fuzz	Fuzz	High-gain fuzz with a large, saturated response aimed at thick sustaining textures and aggressive harmonic character.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
Black Cat	N-Fuzz	Fuzz	Boutique fuzz with a dense, saturated voice and strong harmonic texture.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
Black Cat	OD-Boost	Boost / Overdrive	Combined boost and overdrive designed to push an amplifier from clean level lift into driven gain.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
Black Cat	OD-1 Freddy Fuzz	Fuzz / Distortion	Responsive gain pedal moving from clean and light crunch into saturated distortion, with strong guitar-volume and pick-attack interaction.	https://www.effectsdatabase.com/model/blackcat/od1	INVENTORY
Black Cat	OD-Fuzz	Overdrive / Fuzz	Two-channel pedal combining an OD-1 drive section with a silicon fuzz section, usable independently or stacked for a wide gain range.	https://www.effectsdatabase.com/model/blackcat/odfuzz	INVENTORY
Black Cat	OD-Fuzz CME Edition	Overdrive / Fuzz	Updated two-channel OD/fuzz pairing with a modified fuzz stage and bias range capable of open to gated, compressed textures.	https://www.effectsdatabase.com/model/blackcat/odfuzz/cme	INVENTORY
Black Cat	Psychedelic Machine	Fuzz	Experimental fuzz designed around saturated, psychedelic gain textures and extended tonal manipulation.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
Black Cat	RGDP - Really Great Dirt Pedal	Overdrive / Distortion / Fuzz	All-purpose dirt pedal intended to span overdrive, distortion and fuzz territory in one compact design.	https://www.effectsdatabase.com/model/blackcat	INVENTORY
