builder	model	category	light_description	photo_source	status
Kink Guitar Pedals	Scratchie Fuzz / Boost	Fuzz / Boost	Melbourne-made collaboration pedal with The Chats combining fuzz and boost functions.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Charlie Fuzz	Fuzz	One-knob Colorsound-inspired fuzz from Kink's Melbourne catalog.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Atomic Spaghetti	Overdrive / Tremolo	Zen Drive-inspired overdrive combined with optical tremolo.	https://kinkguitarpedals.com/product/atomic-spaghetti/	INVENTORY
Kink Guitar Pedals	Atomic Spaghetti Plus	Overdrive / Tremolo / Reverb	Expanded Atomic Spaghetti variant adding reverb to the overdrive/tremolo combination.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Jackalope Fuzz	Fuzz	Current Kink fuzz model in the Melbourne-made catalog.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Dozer Fuzz	Fuzz	Ross Knight's D13 collaboration fuzz pedal.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Monks Fuzz	Fuzz	Earthbong collaboration fuzz model.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Stab Zone	Distortion	High-gain distortion inspired by the Danelectro Fab Tone/Fab Zone family and substantially reworked by Kink.	https://kinkguitarpedals.com/product/stab-zone/	INVENTORY
Kink Guitar Pedals	Retribution Fuzz	Fuzz	Current Kink fuzz model in the Melbourne catalog.	https://kinkguitarpedals.com/	INVENTORY
Kink Guitar Pedals	Oath Of The Goat	Distortion	HM-2-inspired Swedish-death-metal distortion pedal.	https://kinkguitarpedals.com/product/oath-of-the-goat/	INVENTORY
Kink Guitar Pedals	Femtaur	Overdrive	Klon-style transparent overdrive with internal 18V operation.	https://kinkguitarpedals.com/product/femtaur/	INVENTORY
Kink Guitar Pedals	Straya Drive	Overdrive / Distortion	Dual drive combining mid-forward overdrive and Marshall Gov'nor-inspired distortion.	https://kinkguitarpedals.com/product/straya-drive-marshall-overdrive-distortion/	INVENTORY
Tate FX	Raise The Dead	Fuzz	Single-knob 1960s-inspired fuzz with a built-in pickup simulator.	https://www.tatefx.co.uk/product-page/raise-the-dead-fuzz	INVENTORY
Tate FX	Raise The Dead - Germanium Edition	Fuzz	Germanium-edition state of the Raise The Dead fuzz family.	https://www.tatefx.co.uk/	INVENTORY
Tate FX	Rodent 308	Distortion	RAT-family distortion model in Tate FX's UK-built catalog.	https://www.tatefx.co.uk/	INVENTORY
Tate FX	Sirens Scream	Distortion / Overdrive / Fuzz	Three-voice clipping design ranging from open overdrive to compressed distortion and thick fuzz-like gain.	https://www.tatefx.co.uk/product-page/sirens-scream	INVENTORY
Tate FX	Antares Overdrive	Overdrive	Mid-pushed overdrive using a FET-based Burr Brown operational amplifier and clean blend control.	https://www.tatefx.co.uk/product-page/antares-overdrive	INVENTORY
Tate FX	Hot Coals Germanium Rangemaster	Treble Boost / Overdrive	Germanium Rangemaster-style booster in the Tate FX catalog.	https://www.tatefx.co.uk/	INVENTORY
Tate FX	Germanium Fuzz	Fuzz	Dedicated Germanium fuzz model in the UK-built Tate FX range.	https://www.tatefx.co.uk/fuzz	INVENTORY
Tate FX	Booster (Skull)	Boost	Gain-adjacent booster retained as a boundary record for Tate FX.	https://www.tatefx.co.uk/	INVENTORY
Brady Tone Electronics	Bedrock Bass Fuzz	Fuzz	Bass-oriented fuzz in Brady Tone's small-batch handcrafted catalog.	https://www.bradytone.com/category/fuzzdistortion	INVENTORY
Brady Tone Electronics	Fox Box Vintage Octave Fuzz	Octave Fuzz	Vintage-style octave fuzz in Brady Tone's fuzz/distortion catalog.	https://www.bradytone.com/category/fuzzdistortion	INVENTORY
Brady Tone Electronics	Sweet Cream Fuzz Distortion	Fuzz / Distortion	Muff-family fuzz/distortion model in the Brady Tone catalog.	https://www.bradytone.com/category/fuzzdistortion	INVENTORY
Brady Tone Electronics	Sweet Cream Triangle Fuzz Sustainer	Fuzz	Triangle-family fuzz/sustainer in the Brady Tone catalog, also represented as a V1 Muff-series state.	https://www.bradytone.com/category/muff-series-collection	INVENTORY
Brady Tone Electronics	Sweet Cream Droplet Fuzz Distortion V2	Fuzz / Distortion	V2 Muff-series fuzz/distortion state in the Brady Tone collection.	https://www.bradytone.com/category/muff-series-collection	INVENTORY
Brady Tone Electronics	The Sauce Fuzz Distortion	Fuzz / Distortion	Muff-series fuzz/distortion model in Brady Tone's current lineup.	https://www.bradytone.com/category/muff-series-collection	INVENTORY
Brady Tone Electronics	Royal Tea Overdrive	Overdrive	Current Brady Tone overdrive model in the Ohio builder's catalog.	https://www.bradytone.com/category/overdrive	INVENTORY
EMMERGY FX	Dial-Up Fuzz	Fuzz	Two-stage fuzz that evolves into modem-like tones, with expression control over bandwidth.	https://www.emmergyfx.co.uk/effects-pedals	INVENTORY
EMMERGY FX	Phosphocreatine Overdrive	Overdrive	High-gain overdrive with three clipping options and a versatile tone stack.	https://www.emmergyfx.co.uk/effects-pedals	INVENTORY
