pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3724	front	https://carolineguitar.com/product/wavecannonzero/		Caroline Guitar Company / source image	Caroline Guitar Company	Reference-only		Caroline Guitar Company	pending	2026-09-14	Wave Cannon Zero is a historically meaningful successor to the original Wave Cannon lineage.
DISC-3723	front	https://carolineguitar.com/product/wave-cannon-mkii/		Caroline Guitar Company / source image	Caroline Guitar Company	Reference-only		Caroline Guitar Company	pending	2026-09-14	Wave Cannon MkII specimen/source page for enclosure and control identification.
DISC-3749	front	https://www.chicagomusicexchange.com/products/rainger-fx-razor-fuzz-pedal-2505233		Chicago Music Exchange / source photographer	Chicago Music Exchange	Reference-only		Chicago Music Exchange / photographer to verify	Do not republish pending permission	2026-09-14	Clear Razor Fuzz specimen for front-panel identification.
DISC-3733	front	https://www.raingerfx.com/manuals/		Rainger FX / manufacturer imagery	Rainger FX	Reference-only		Rainger FX	pending	2026-09-14	Manufacturer manual hub contains historical Dr. Freakenstein image references.
DISC-3755	front	https://www.russomusic.com/products/red-panda-bitmap-2-bitcrusher-effect-pedal-with-box-used		Russo Music / source photographer	Russo Music	Reference-only		Russo Music / photographer to verify	Do not republish pending permission	2026-09-14	Bitmap 2 specimen useful for identifying the later dual-switch enclosure.
DISC-3761	front	https://www.redpandalab.com/pedals/		Red Panda / manufacturer imagery	Red Panda	Reference-only		Red Panda	pending	2026-09-14	Current manufacturer catalog provides authoritative visual reference for Particle 2.
DISC-3769	front	https://onethousandpedals.com/brand/pladask-elektrisk		One Thousand Pedals / manufacturer-sourced catalog imagery	One Thousand Pedals	Reference-only		One Thousand Pedals / underlying manufacturer source to verify	pending	2026-09-14	Vrang is the dirt-focused Pladask entry and should receive later product-depth research.
DISC-3773	front	https://onethousandpedals.com/brand/pladask-elektrisk		One Thousand Pedals / manufacturer-sourced catalog imagery	One Thousand Pedals	Reference-only		One Thousand Pedals / underlying manufacturer source to verify	pending	2026-09-14	Fabrikat visual lead for Pladask's experimental multi-effect lineage.
DISC-3778	front	https://gizmo-music.com/?cbid=2841443&csid=10&mode=cate		Gizmo Music / source image	Gizmo Music	Reference-only		Gizmo Music / photographer to verify	Do not republish pending permission	2026-09-14	Lilac Cloud specimen from the current Japanese distribution catalog.
DISC-3784	front	https://drolofx.com/about/		drolo / manufacturer imagery	drolo	Reference-only		drolo	pending	2026-09-14	Stamme[n] image lead; important version-family candidate.
DISC-3790	front	https://www.chicagomusicexchange.com/products/jptr-fx-warlow-fuzz-1794690		Chicago Music Exchange / source photographer	Chicago Music Exchange	Reference-only		Chicago Music Exchange / photographer to verify	Do not republish pending permission	2026-09-14	Warlow specimen with distinctive enclosure and graphics.
DISC-3795	front	https://jptrfx.com/collections/dirt-machines		JPTR FX / manufacturer imagery	JPTR FX	Reference-only		JPTR FX	pending	2026-09-14	Silvermachine is a central JPTR dirt-family reference and should be version-audited later.
