builder_name	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Wampler	USA	2000s-present	Major pedal builder with extensive overdrive/distortion/fuzz catalog	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority current/historical builder; catalog breadth needs separate pass.
ZVEX Effects	USA	1990s-present	Major boutique effects builder with multiple fuzz/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority builder; early production and artwork variants likely significant.
Lone Wolf Audio	USA	2000s-present	Boutique builder with strong distortion/fuzz focus	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Product catalog should be enumerated before variant work.
SolidGoldFX	Canada	2000s-present	Boutique pedal builder with fuzz/overdrive/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Canadian builder requiring country/production history.
J. Rockett Audio Designs	USA	2000s-present	Large boutique pedal manufacturer including overdrive/distortion	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Brand history and renamed product lines need careful chronology.
Malekko Heavy Industry	USA	2000s-present	Boutique effects builder with dirt products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Separate pedal and eurorack histories.
Skreddy Pedals	USA	2000s-present	Boutique builder known for fuzz and vintage-inspired effects	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Likely many limited production variants; catalog breadth first.
Crazy Tube Circuits	Greece	2000s-present	Boutique builder with overdrive/distortion/fuzz products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Greek builder; verify full historical catalog.
Tech 21 NYC	USA	1980s-present	Major analog effects/preamp builder with distortion/overdrive products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Treat SansAmp family and standalone dirt carefully.
Menatone	USA	1990s-present	Boutique amp-style overdrive/distortion builder	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Catalog likely spans multiple enclosure eras.
