name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Carl Martin	Builder	Denmark	1990s-present	Overdrive/fuzz/distortion products including Panama; Purple Moon Fuzz 'n' Vibe	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Major Danish pedal builder; complete catalog census needed.
Emma Electronic	Builder	Denmark	2000s-present	PisdiYAUWot High Gain Distortion; StinkBug Overdrive; Okto-Nøjs Sub-Octave Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Established Danish builder; enumerate full catalog.
Lunastone	Builder	Denmark	2010s-present	TrueOverDrive; Distortion 1; Red Fuzz 1; multiple drive products	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Danish boutique builder.
Nordvang Custom	Builder	Denmark	2010s-present	No. 1 Overdrive and related drive products	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Danish boutique builder.
Reuss Effects	Builder	Denmark	2010s-present	Army Knife drive; fuzz and Klon/Rat-derived products	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Danish boutique builder; full catalog census needed.
T-Rex Effects	Builder	Denmark	1990s-present	Mud Honey Overdrive; Alberta; Replica/other effects	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Long-running Danish effects maker; corporate/ownership history should be separate from brand.
TC Electronic	Builder	Denmark	1970s-present	Dark Matter Distortion; MojoMojo Overdrive; Tube Pilot; Spark Booster	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Major Danish manufacturer; later Music Tribe ownership is corporate lineage, not new physical builder.
Vulcan Mulciber	Builder	Denmark	2010s	Argo Navis Fuzz	DISCOVERED	https://www.guitarpedalx.com/news/best-of-danish-guitar-pedals-and-pedal-builders	Small Danish builder; catalog may be compact.
SoundBrut	Builder	Sweden	2010s	FU Varitone Fuzz; DRVA MKII Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Swedish boutique maker.
Braking Train Pedals	Builder	Sweden	2010s	1458 OpAmp Distortion; Coloursound-style TB Fuzz; Superfuzz; filter overdrive	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Associated with Granatguitar in historical listings; reconcile entity identity later.
Carlin	Builder / brand	Sweden	1970s	Compressor/Fuzz; period effects	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Defunct Swedish historical brand associated with Nils Olof Carlin.
Deaf Audio	Builder	Norway	2000s-2010s	Faceplant Fuzz 2; Little Voodoo Fuzz Mini; Tinnitus Boost	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Discontinued Norwegian fuzz specialist.
Elmwood	Builder / brand	Sweden	1970s	Distortion; PreAmp; Woodpecker FET Overdrive	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Defunct/legacy Swedish brand; complete effects catalog needs verification.
Iskrem Electro	Builder	Norway	2010s	Stapp!Knekk hard gated fuzz; Little Tree Treble Booster	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Norwegian boutique builder.
Locomofon	Builder	Norway	2010s	Calavera germanium fuzz; Fuzztotum; Everscream; Platanito Fuzz; Radiator overdrive	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Norwegian boutique builder; broad fuzz/drive catalog.
Moody Sounds	Builder / retailer / kit maker	Sweden	2000s-present	Fuzz; Drive; Zeygot's Eye Silicon Fuzz; Carlin replicas	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Separate own products, DIY kits and historical replicas in later catalog audit.
Ola Insulander Musik	Builder	Sweden	2010s	Boogie Drive; Stone Face Germanium Fuzz; Magic Boost	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Small Swedish maker.
Olsson Amplification	Builder	Sweden	2010s	D.O.G Drive; Wizard Overdrive; Spell Booster	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Swedish amp builder with pedal line.
Power Pedals	Builder	Sweden	2010s	Dist Code LM308AH; G1/G2 Germanium Fuzz; Super Fuzz; Power Drive	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Swedish mini-pedal specialist.
Reaper Pedals	Builder	Sweden	2010s	Nightstalker Fuzz; Shroomblade Fuzz; Pandemonium Overdrive; Dregen Distortion	DISCOVERED	https://www.guitarpedalx.com/news/best-of-swedish-finnish-and-norwegian-guitar-pedals-and-pedal-builders	Swedish boutique builder.
Bad Pixel Pedals	Builder	Greece	2010s	Bad Face Silicon; Buzzaround Fuzz; Germanium Gold/Pink Face; MKII Professional Gold Bender	DISCOVERED	https://www.guitarpedalx.com/news/best-of-greek-guitar-pedals-and-pedal-builders	Greek fuzz/boost specialist; catalog census needed.
