pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3603	front	https://www.denmarkstreetguitars.co.uk/products/british-pedal-company-tone-bender-mki-rev-80370412		Hanks / Denmark Street Guitars	Denmark Street Guitars	Reference-only		Denmark Street Guitars	Do not republish pending permission	2026-09-14	Clear Compact Series MKI Tone Bender specimen.
DISC-3607	front	https://www.denmarkstreetguitars.co.uk/products/british-pedal-company-buzzaround-fuzz-rev-80371561		Hanks / Denmark Street Guitars	Denmark Street Guitars	Reference-only		Denmark Street Guitars	Do not republish pending permission	2026-09-14	Buzzaround front specimen useful for enclosure and control identification.
DISC-3608	front	https://www.britishpedalcompany.com/view-product/zonk-machine		British Pedal Company	British Pedal Company	Reference-only		British Pedal Company	Permission/license to verify	2026-09-14	Official product page and image lead for Zonk Machine.
DISC-3620	front	https://www.britishpedalcompany.com/view-product/rangemaster-fuzzbug-mki5		British Pedal Company	British Pedal Company	Reference-only		British Pedal Company	Permission/license to verify	2026-09-14	Official Fuzzbug MKI.5 specimen and historical note.
DISC-3635	front	https://reverb.com/item/86183033-jerms-mki-tone-bender-2011-wedge-gold-hammer-tone		Reverb seller / The Four Horsemen	Reverb	Reference-only		Seller/photographer to verify	Do not republish pending permission	2026-09-14	2011 Jerms wedge enclosure specimen.
DISC-3632	front	https://www.effectsdatabase.com/model/jerms/fz1		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	FZ-1 builder/product image lead.
DISC-3637	front	https://therockinn.com/products/anarchy-audio-baa-bzz-fuzz-pedal		The Rock Inn	The Rock Inn	Reference-only		The Rock Inn	Do not republish pending permission	2026-09-14	Baa Bzz specimen with clear control layout and graphics.
DISC-3639	front	https://www.effectsdatabase.com/model/anarchyaudio/deadwoods		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Deadwoods product/media lead.
DISC-3659	front	https://www.effectsdatabase.com/model/ananashead		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Builder-level visual lead for MARK1/2/3 Tone Bender family and wider catalog.
DISC-3676	front	https://reverb.com/item/70803749-1960-s-rare-herald-electronics-am-44a-fuzz-master-melos-fuzzder		Pete's Pedals / Reverb seller	Reverb	Reference-only		Seller/photographer to verify	Do not republish pending permission	2026-09-14	Excellent surviving AM-44A faceplate/enclosure specimen.
DISC-3677	front	https://www.effectsdatabase.com/model/stonefly/grizzlyfuzz		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Grizzly Fuzz page documents limited Buzzaround-derived run with imagery.
DISC-3679	front	https://www.effectsdatabase.com/model/stonefly		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Builder-level visual lead for StoneFly catalog.
