REC-034	Honey	FY-6 Baby Crying Fuzz	Original	1967	Family origin	Shin-ei's historical account identifies the Honey Co. FY-6 Baby Crying Fuzz as released in 1967 and as the first incarnation of the later Super Fuzz family.	VERIFIED	https://www.shin-ei.com/	Treat 1967 as the builder-reported family origin; exact first production quantity and every early enclosure variant remain separate questions.
REC-035	Shin-ei	FY-6 Super Fuzz	Shin-ei branded	1968	Family transition	Shin-ei states that it branded the FY-6 in 1968 after the 1967 Honey Baby Crying version, creating the next clearly named state in the Super Fuzz family.	VERIFIED	https://shin-ei.com/Shin-ei/SHIN-EI-FY6-SUPER-FUZZ	Preserve Honey and Shin-ei as distinct branded production states within the same family.
REC-036	Companion	FY-2 Fuzz	Original	Late 1960s-1970s	Family / branding	The Companion FY-2 is a separate Shin-ei product family from FY-6 and became another major Japanese fuzz identity sold in North America.	RESEARCH	https://www.effectsdatabase.com/model/companion/fy2	Do not merge FY-2 with FY-6 merely because both are associated with Shin-ei.
REC-037	Companion	FY-6 Fuzz Master	Companion branded	c. 1970	Branding / OEM	Companion-branded FY-6 examples belong to the Super Fuzz family and represent a distinct retail-brand state after the earlier Honey and Shin-ei labels.	RESEARCH	https://www.effectsdatabase.com/model/companion/fy6	Exact first Companion-branded production date remains subject to catalog and specimen reconciliation.
REC-038	Univox	U-1095 Super-Fuzz	Stamped-steel early state	1968-1970	Generation / specimen	Early Univox Super-Fuzz examples used a simple stamped steel enclosure with a blue metal badge before the later die-cast format became dominant.	RESEARCH	https://www.coda-effects.com/2018/07/univox-superfuzz-from-70s-history-post.html	External enclosure construction is a high-value specimen clue; avoid assigning an exact cutoff without dated examples.
REC-039	Univox	U-1095 Super-Fuzz	Die-cast state	c. 1970-1970s	Generation / specimen	Later U-1095 Super-Fuzz production shifted to the familiar die-cast enclosure, with multiple documented exterior color combinations.	RESEARCH	https://www.coda-effects.com/2018/07/univox-superfuzz-from-70s-history-post.html	Treat paint/color variants as specimen evidence rather than separate families unless independent product documentation requires it.
REC-040	Univox	U-250 Uni-Fuzz	Original	1970s	Model identity	The U-250 Uni-Fuzz is a distinct Univox fuzz model associated with the broader Japanese/Shin-ei ecosystem and should not be collapsed into U-1095.	RESEARCH	https://www.coda-effects.com/2018/07/univox-superfuzz-from-70s-history-post.html	Preserve U-250 as its own model record even when family lineage is shared or adjacent.
REC-041	Teisco	Wau Wau Fuzz	OEM family	Late 1960s-1970s	OEM / fuzz-wah	Teisco Wau Wau Fuzz belongs to a Japanese OEM fuzz-wah family that appears under multiple regional brand identities.	RESEARCH	https://www.effectsdatabase.com/model/teisco/wauwaufuzz	Model-level identification should emphasize enclosure, control arrangement and branding relationships.
REC-042	Ace Tone	FM-1 Fuzz Master	Original	c. 1967	Chronology / Japanese	Ace Tone's FM-1 predates the FM-2 and belongs to the earliest Ace Tone Fuzz Master sequence.	RESEARCH	https://www.effectsdatabase.com/model/acetone/fm1	Use a broad late-1960s window until period catalog evidence establishes a tighter start date.
REC-043	Ace Tone	FM-2 Fuzz Master	Original	1968-1970s	Chronology / Japanese	Period advertising and catalog research place the FM-2 in market by March 1968 and show the model continuing through Ace Tone catalogs into the 1970s.	VERIFIED	https://www.tonemachinesblog.com/2025/03/ace-tone-fm-2-fuzz-master-deep-dive.html	March 1968 is an unusually strong period-document anchor and should supersede older generic 1969-71 estimates.
