builder	model	category	light_description	photo_source	status
Phantom fx	MOTHER	Fuzz	Revived flagship fuzz introduced in 2020; current-era Phantom fx model with Big Muff-oriented lineage and surviving exterior product photography.	https://www.cult-pedals.com/products/mother-white-limited ; https://xtones.net/en/newpost/	CENTRAL
Phantom fx	SABBATH	Fuzz	Original one-knob Phantom fx fuzz introduced around the brand's early period; historic product identity preserved through dealer and builder-era documentation.	https://www.cult-pedals.com/products/sabbath-black-gaze ; https://lep-international.jp/en/collections/all/%E3%82%AE%E3%82%BF%E3%83%BC%E3%82%A8%E3%83%95%E3%82%A7%E3%82%AF%E3%82%BF%E3%83%BC?page=34	CENTRAL
Phantom fx	SABBATH Russian	Fuzz	Historical Sabbath-family variant documented in the Phantom fx dealer catalog as a distinct Russian-targeted version.	https://lep-international.jp/en/collections/all/%E3%82%AE%E3%82%BF%E3%83%BC%E3%82%A8%E3%83%95%E3%82%A7%E3%82%AF%E3%82%BF%E3%83%BC?page=34	CENTRAL
Phantom fx	SABBATH MK2	Fuzz	Second-generation Sabbath combining original Sabbath and Sabbath Fog voices with expanded controls; hand-made Japanese pedal with surviving product photography.	https://ninevolt.jp/products/sabbathmk2tred ; https://kizainumalastdive.com/phantom-fx-sabbath-mk2/	CENTRAL
Phantom fx	SABBATH Bliss	Fuzz	Phantom fx fuzz following the Sabbath/MOTHER lineage but explicitly developed around Tone Bender/Fuzz Face-oriented character; exterior product photography survives.	https://www.cult-pedals.com/products/sabbath-bliss ; https://kizainumalastdive.com/phantom-fx-sabbath-bliss/	CENTRAL
Phantom fx	SABBATH Black Gaze	Fuzz	Limited Sabbath-family fuzz oriented toward a blackgaze/modern heavy context; current dealer record documents production and discontinuation.	https://www.cult-pedals.com/products/sabbath-black-gaze ; https://kizainumalastdive.com/phantom-fx-sabbath-black-gaze/	CENTRAL
Phantom fx	MTR	Fuzz	Alternative-tuned fuzz derived from the MOTHER concept; introduced as a smaller board-friendly model in the current Phantom fx revival catalog.	https://www.cult-pedals.com/products/m-t-r ; https://xtones.net/en/newpost/	CENTRAL
Phantom fx	RUINS FUZZ	Fuzz/Overdrive	Historical Phantom fx fuzz documented in builder-era video and surviving specimen records; retained as a core historical pedal awaiting stronger first-party chronology.	https://www.youtube.com/watch?v=tlPRFBF_AH4 ; https://equipboard.com/items/phantom-fx-ruins-fuzz	CENTRAL_PENDING
Phantom fx	FLUID DISTORTION	Distortion	Historical Phantom fx distortion model documented in surviving secondary/specimen records; retained pending stronger first-party catalog reconciliation.	https://www.tumgik.com/rakko-effector ; https://jp.mercari.com/s/667907	CENTRAL_PENDING
Phantom fx	SABBATH MK2 : RED	Fuzz	Color/edition record of SABBATH MK2 rather than a separate conceptual family; preserved as a relationship-level product state.	https://ninevolt.jp/products/sabbathmk2tred	RELATIONSHIP_ONLY
Phantom fx	SABBATH ver mustard	Fuzz	Color/version record of the Sabbath family; retained as a searchable variant rather than a separate core model.	https://lep-international.jp/en/collections/all/%E3%82%AE%E3%82%BF%E3%83%BC%E3%82%A8%E3%83%95%E3%82%A7%E3%82%AF%E3%82%BF%E3%83%BC?page=34	RELATIONSHIP_ONLY
Phantom fx	SABBATH 4010	Fuzz	Historical Sabbath-family numbered/edition record preserved from dealer catalog evidence; not promoted to separate conceptual family.	https://lep-international.jp/en/collections/all/%E3%82%AE%E3%82%BF%E3%83%BC%E3%82%AE%E3%82%BF%E3%83%BC%E3%82%A8%E3%83%95%E3%82%A7%E3%82%AF%E3%82%BF%E3%83%BC?page=34	RELATIONSHIP_ONLY
Phantom fx	HACK	Booster	Three-knob booster documented as a Phantom fx product but primarily a clean/boost device, so excluded from central dirt.	https://www.cult-pedals.com/products/tosen-phantom-fx-hack ; https://kizainumalastdive.com/phantom-fx-hack/	RELATIONSHIP_ONLY
Phantom fx	DAY&AGE	Booster	Historical Phantom fx booster record; excluded from central dirt category.	https://jp.mercari.com/s/667907	RELATIONSHIP_ONLY
Phantom fx	BELLs	Overdrive	Phantom fx × Shun Nokina collaboration overdrive with Phantom fx product design/build attribution and Shun Nokina circuit-design attribution; preserved as a collaboration relationship.	https://lep-international.jp/en/products/bells ; https://world-9v.hatenadiary.org/entry/20100313/1268488393	RELATIONSHIP_ONLY
Phantom fx	KOWLOON	Unresolved/Variant	Historical Phantom fx catalog item appearing in the LEP International dealer archive; identity boundary requires further specimen/catalog reconciliation before central promotion.	https://lep-international.jp/en/collections/all/%E3%82%AE%E3%82%BF%E3%83%BC%E3%82%A8%E3%83%95%E3%82%A7%E3%82%AF%E3%82%BF%E3%83%BC?page=34	CENTRAL_PENDING
