builder	model	category	light_description	photo_source	status
JAM Pedals	Double Dreamer	Overdrive	Dual-channel overdrive platform combining two complementary drive voices for stacking, dynamic low-to-medium gain and thicker amp-pushing tones.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Eureka! Fuzz	Fuzz	Fuzz pedal with a saturated, harmonically rich response designed for expressive vintage-style fuzz textures.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Fuzz Phrase	Fuzz	Compact fuzz with a responsive gain range and thick sustained character, emphasizing touch and guitar-volume interaction.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Fuzz Phrase Si	Fuzz	Silicon Fuzz Phrase variant with a tighter, more immediate response and saturated fuzz character.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Octaurus	Octave Fuzz	Dual-voice octave fuzz with selectable clipping options and pronounced upper-harmonic textures.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Octaurus NOS	Octave Fuzz	NOS-transistor Octaurus variant offering dual octave-fuzz voices with a more vintage-oriented transistor character.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Rattler	Distortion	RAT-style distortion covering lower-gain grit through saturated hard-clipping distortion.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Rattler ltd	Distortion	Limited-edition Rattler using an LM308 and point-to-point construction, retaining the core RAT-style distortion character.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Red Muck mk.2	Fuzz / Distortion	Big Muff-style fuzz and distortion with thick sustain and a broad saturated response.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Red Muck Bass	Bass Fuzz / Distortion	Bass-oriented Muff-style fuzz and distortion designed to retain substantial low-end authority under high gain.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	TubeDreamer mk.2	Overdrive	Tube Screamer-style overdrive with a selectable high-gain stage for familiar mid-focused drive through thicker gain.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	LucyDreamer	Overdrive	Overdrive with dry/wet blending and a high-gain stage, balancing direct signal clarity with saturated drive.	https://www.jampedals.com/products/	INVENTORY
JAM Pedals	Double Dreamer NOS	Overdrive	Dual overdrive platform using complementary drive sections for stacking and expanded gain combinations.	https://www.jampedals.com/products/	INVENTORY
Effects Bakery	Japanese Girl Preamp	Boost / Overdrive	Compact preamp and overdrive designed for low-to-medium gain coloration and amplifier pushing.	https://effectsbakery.com/	INVENTORY
Effects Bakery	Bagel OverDrive	Overdrive	Compact low-to-medium gain overdrive with an amp-like breakup character and simple tonal control.	https://effectsbakery.com/	INVENTORY
Effects Bakery	French Bread Delay? 	REVIEW	Candidate excluded from inventory because it is a delay rather than a dirt product; retained only as a scope reminder.		review
Effects Bakery	Cream Pan Booster	Boost	Compact booster designed to raise signal level while adding harmonic drive into an amplifier or pedal chain.	https://effectsbakery.com/	INVENTORY
Effects Bakery	Germanium Muffin	Fuzz	Germanium-voiced Muff-style fuzz built for thick sustain and saturated harmonic texture.	https://effectsbakery.com/	INVENTORY
Effects Bakery	ChocoLate Fuzz	Fuzz	Compact fuzz with a smooth, saturated character and thick sustain.	https://effectsbakery.com/	INVENTORY
Effects Bakery	Melon & Soda Fuzz	Fuzz	Colorful compact fuzz pedal offering thick, compressed saturation and expressive harmonic texture.	https://effectsbakery.com/	INVENTORY
Effects Bakery	Muffin Reverberation? 	REVIEW	Scope-bound candidate excluded because the model is not a dedicated dirt pedal.		review
Effects Bakery	Donut Drive	Overdrive	Compact overdrive providing warm, responsive breakup and amp-pushing gain.	https://effectsbakery.com/	INVENTORY
Effects Bakery	Plain Bread Compressor? 	REVIEW	Excluded from Phase One dirt inventory because the primary effect is compression rather than overdrive, distortion or fuzz.		review
Effects Bakery	Choco Cornet Overdrive	Overdrive	Compact overdrive designed for crunchy amplifier-style breakup and thicker saturated drive.	https://effectsbakery.com/	INVENTORY
Effects Bakery	ChocoLantern	Distortion	Compact distortion voiced for saturated, articulate gain with a broad response.	https://effectsbakery.com/	INVENTORY
Old Blood Noise Endeavors	Fault V2	Overdrive / Distortion	Two-stage gain pedal spanning boost and overdrive through more saturated distortion, with independent gain shaping and three-band EQ.	https://oldbloodnoise.com/pedals/p/fault-v2	INVENTORY
Old Blood Noise Endeavors	Alpha Haunt	Fuzz / Overdrive	Highly adjustable fuzz capable of open overdrive, thick saturation and sputtering or gated high-gain textures.	https://oldbloodnoise.com/pedals/p/alpha-haunt	INVENTORY
Old Blood Noise Endeavors	Haunt	Fuzz	Fuzz with extensive control over gain, tone and compression, covering thick sustaining fuzz through more broken-up textures.	https://www.effectsdatabase.com/model/oldbloodnoise/haunt	INVENTORY
Old Blood Noise Endeavors	Pardner	Fuzz / Filter	Fuzz pedal with interactive filtering and an additional overdrive-style effects-loop section for unusual saturated and synth-like textures.	https://oldbloodnoise.com/pedals/p/pardner	INVENTORY
Old Blood Noise Endeavors	Excess V2	Distortion / Modulation	Distortion combined with delay and chorus-style modulation, allowing saturated gain to be shaped into larger layered textures.	https://oldbloodnoise.com/pedals/p/excess-v2	INVENTORY
Old Blood Noise Endeavors	Black Bobbin Boost	Boost / Overdrive	High-headroom boost designed to add level and harmonic push, with enough gain to move an amplifier into light breakup.	https://www.effectsdatabase.com/model/oldbloodnoise	INVENTORY
Old Blood Noise Endeavors	Beam Splitter	Distortion / Fuzz	Triple-path distortion system that creates parallel saturated voices and recombines them for thick, harmonically complex dirt textures.	https://www.effectsdatabase.com/model/oldbloodnoise	INVENTORY
