Builder,Pedal,Type
"Tone Hungry Effects","Fuzz Cream","Fuzz"
"Tone Hungry Effects","Hunger Bender","Fuzz"
"Tone Hungry Effects","Hot Molasses Mini Overdrive","Overdrive"
"SBGO Effects","Dark Pass Anger","Distortion"
"SBGO Effects","Dark Pass Anger","Overdrive"
"SBGO Effects","Dark Bass Anger","Distortion"
"SBGO Effects","Fat’n Dirty","Distortion"
"SBGO Effects","Black Widow","Overdrive"
"SBGO Effects","Creamy Fuzz","Fuzz"
"Drunk Beaver","XR OD-1 OverDrive","Overdrive"
"Drunk Beaver","XR MD-1 Metal Mind","Distortion"
"Drunk Beaver","Secret Sauce","Fuzz"
"Drunk Beaver","Forest Song High Voltage Overdrive","Overdrive"
"Drunk Beaver","Kavun MOSFET Drive","Overdrive"
"Drunk Beaver","Vatra","Overdrive"
"Drunk Beaver","Kyiv Lead","Overdrive"
"Drunk Beaver","Mykolaiv Soft Blooming","Overdrive"
"Effectrode","Mercury Tube Fuzz","Fuzz"
"Effectrode","Tube Drive","Overdrive"
"Effectrode","Blackbird","Distortion"
"Frank Marino Audio","Dragonfly","Overdrive"
"Frank Marino Audio","Juggernaut","Fuzz"
"Mystic Effects Co","1833 Drive","Overdrive"
"Mystic Effects Co","Bandpass Overdrive","Overdrive"
"Mystic Effects Co","Driven-Parallel Overdrive","Overdrive"
"Mystic Effects Co","Fuzz Button","Fuzz"
"Mystic Effects Co","Octavia Vintage Octave Fuzz","Fuzz"
