REC-081	Honey Co. Ltd.	FY-6 Baby Crying Fuzz	Original / first incarnation	1967	Foundational chronology	Shin-ei's own historical page identifies the Honey Co. Ltd. FY-6 Baby Crying as released in 1967 and as the first incarnation of the Super Fuzz line.	VERIFIED	https://www.shin-ei.com/	Treat Honey as the original branded product state; later Shin-ei and Univox forms remain separate retail objects.
REC-082	Shin-ei	FY-6 Super Fuzz	1968 branded state	1968	Generation / branding	Shin-ei identifies the FY-6 Super Fuzz as the 1968 follow-up to the 1967 Honey Baby Crying Fuzz, with the Shin-ei label distinguishing the branded production state.	VERIFIED	https://shin-ei.com/Shin-ei/SHIN-EI-FY6-SUPER-FUZZ	Use the 1968 label transition as a firm branding clue, not as proof that every FY-6 part changed simultaneously.
REC-083	Univox / Unicord	U-1093 Super-Fuzz	Early grey enclosure	1968-1970	Generation / import branding	The early Univox Super-Fuzz was imported by Unicord and is documented in grey stamped-metal form; the U-1093 designation is associated with the early grey state.	RESEARCH	https://www.thewho.net/whotabs/gear/guitar/univoxsuperfuzz.html	Do not collapse U-1093 and U-1095 into one specimen state; enclosure and U.S. market evidence support a distinction.
REC-084	Univox / Unicord	U-1095 Super-Fuzz	Later die-cast state	1970s	Generation / enclosure	The later Univox Super-Fuzz moved into a die-cast enclosure with the large Super-Fuzz footpad; production continued through the 1970s.	RESEARCH	https://www.thewho.net/whotabs/gear/guitar/univoxsuperfuzz.html	Exact transition date should remain approximate until specimen/date-stamp evidence is reconciled.
REC-085	Companion / Shin-ei	FY-2 Fuzz	Original silicon/general state	Late 1960s-early 1970s	Chronology / model identity	The Companion FY-2 is a separate Shin-ei fuzz model from the FY-6 Super Fuzz family, documented from the late 1960s into the early 1970s.	VERIFIED	https://www.tonemachinesblog.com/2024/12/history-of-companion-fy-2-fuzz.html	Do not identify FY-2 as an FY-6 variant; the two are separate model families sharing the broader Shin-ei/Honey history.
REC-086	Companion / Shin-ei	FY-2 Fuzz	Early germanium state	Late 1960s	Generation / technology transition	Recent specialist research documents an early germanium FY-2 state distinct from later silicon examples; the early version is rarer and warrants specimen-level treatment.	RESEARCH	https://www.tonemachinesblog.com/2024/12/history-of-companion-fy-2-fuzz.html	Keep the germanium/silicon distinction research-level until a broader dated specimen census is assembled.
REC-087	Rose-Morris / Shin-ei	Shaftesbury Duo Fuzz	UK import state	Late 1960s-early 1970s	OEM / import branding	Whotabs documents the Shaftesbury Duo Fuzz as a Shin-ei-made Japanese pedal badged for Rose-Morris for the UK market and essentially a rebranded FY-6 Super Fuzz.	VERIFIED	https://thewho.net/whotabs/gear/guitar/shaftesburyduofuzz.html	Preserve Rose-Morris/Shaftesbury as the UK retail/import layer and Shin-ei as the documented manufacturer.
REC-088	Royal / Japanese OEM	Fuzz Box TF-1 / RF-1	1969 early clone state	1969	OEM / chronology	Tone Machines Blog documents the Royal Fuzz Box TF-1 / RF-1 as a 1969 Japanese FY-6-related product and distinguishes it from straightforward later rebranding.	RESEARCH	https://www.tonemachinesblog.com/2011/11/royal-fuzz-box-tf-1-rf-1-1969.html	Treat Royal as a distinct branded/production state; exact manufacturer attribution remains unresolved.
REC-089	Teisco	TF-1 Fuzz	FY-6 family state	Late 1960s-early 1970s	OEM / family	The Teisco TF-1 is documented as a Japanese FY-6 Super Fuzz family product and should not be confused with Teisco's separately branded Fuzz Machine lineage.	RESEARCH	https://www.effectsdatabase.com/model/teisco/tf1	Use model name, control arrangement and enclosure as identification clues.
REC-090	Teisco	Wau Wau Fuzz	Japanese OEM wah-fuzz state	Early-mid 1970s	OEM / family	Effects Database places the Teisco Wau Wau Fuzz in a Japanese OEM wah-fuzz family alongside the Ibanez Wau Wau Fuzz, Guyatone FS-5 and Elk Wau Fuzz.	RESEARCH	https://www.effectsdatabase.com/model/teisco/wauwaufuzz	Likely Shin-ei/related OEM attribution remains probabilistic; keep the family link separate from definitive manufacturer claims.
