record_id	builder	marketed_identity	model_or_product	country	period	builder_confidence	status	evidence_summary	source_1	source_2
BUILDER-061	Chicago Musical Instruments / Maestro	Maestro	Fuzz-Tone FZ-1	USA	1962-onward	HIGH	RESEARCH_VALIDATED	Maestro was the CMI/Gibson-associated effects brand. The FZ-1 was introduced in 1962. This entry treats Maestro/CMI as the manufacturing organization while preserving later factory changes by model revision.	https://www.maestroelectronics.com/en-US/Page/maestro-timeline	https://www.effectsdatabase.com/model/maestro/fz1
BUILDER-062	Chicago Musical Instruments / Maestro	Maestro	Fuzz-Tone FZ-1A	USA	1965-1968	HIGH	RESEARCH_VALIDATED	Model-level production evidence places FZ-1A manufacturing first in Kalamazoo and later in Lincolnwood, Illinois. This is a manufacturer/product census entry, not a single-factory claim.	https://www.effectsdatabase.com/model/maestro/fz1	https://thewho.net/whotabs/gear/guitar/gibsonmaestrofuzztone.html
BUILDER-063	Chicago Musical Instruments / Maestro	Maestro	Fuzz-Tone FZ-1B	USA	1968-1971	HIGH	RESEARCH_VALIDATED	FZ-1B is a distinct later Maestro product, with period production attributed to Lincolnwood, Illinois. The model is cataloged separately from the earlier germanium FZ-1/FZ-1A family.	https://www.effectsdatabase.com/model/maestro/fz1	https://www.reverb.com/p/maestro-fuzz-tone-fz-1b
BUILDER-064	Chicago Musical Instruments / Maestro	Maestro	FZ-1S Super-Fuzz	USA	1970s	MEDIUM	RESEARCH_ONLY	Maestro historical material identifies FZ-1S as a later 1970s fuzz product. Model-level factory documentation is thinner than for the earlier FZ-1 series, so it remains research-only.	https://assets.ctfassets.net/m8onsx4mm13s/ClOJA1tg4KKLWzowuOboO/29324dedd7930b0ad1aab6773b967ed1/Arcas_Manual-Reader.pdf	https://www.effectsdatabase.com/model/maestro/fz1
BUILDER-065	Baldwin-Burns Ltd	Baldwin-Burns	Buzzaround	UK	1965-1969	HIGH	RESEARCH_VALIDATED	Baldwin-Burns is a distinct manufacturer/brand organization associated with the Buzzaround. The Buzzaround appeared on a Burns price list in 1966 and was produced in meaningful quantities into the late 1960s. The builder is kept separate from Sola Sound despite circuit-family comparisons.	https://fuzzboxes.org/buzzaround	https://www.britishpedalcompany.com/information/buzzaround-history
BUILDER-066	Selmer	Selmer	Buzz Tone	UK	1966-onward	HIGH	RESEARCH_VALIDATED	Selmer developed its own Buzz Tone by August 1966. Fuzzboxes notes Selmer equipment was manufactured at a Holborn, London factory during the period, making Selmer the current best builder attribution for the model.	https://fuzzboxes.org/buzztone	https://fuzzboxes.org/timeline
BUILDER-067	Selmer	Selmer	Fuzz-Wah	UK	1968	MEDIUM	RESEARCH_ONLY	The Buzz Tone circuit was later redesigned into Selmer's more sophisticated Fuzz-Wah, introduced in 1968. The product belongs in the builder census, while exact factory documentation remains thinner than for the Buzz Tone.	https://fuzzboxes.org/buzztone	https://fuzzboxes.org/timeline
BUILDER-068	Arbiter Electronics	Arbiter	Fuzz Face	UK	1966-mid-1970s	HIGH	RESEARCH_VALIDATED	Arbiter had its own factory at 33 Woodthorpe Road, Ashford, Middlesex, and developed the Fuzz Face in 1966. Production continued through the Dallas-Arbiter period before later ownership/manufacturing changes.	https://fuzzboxes.org/fuzzface	https://www.fuzzfaced.net/dallas-fuzz-face.html
BUILDER-069	Wilsic Electronics	John Hornby Skewes	Zonk Machine	UK	1965-1968	HIGH	RESEARCH_VALIDATED	Vintage Guitar reports that John Hornby Skewes commissioned Wilsic Electronics in Doncaster to design and build his early stompboxes. Charlie Ramskir and Wilsic are therefore recorded as the physical builder for the Zonk Machine marketed by Hornby Skewes.	https://www.vintageguitar.com/23068/hornby-skewes-zonk-machines/	https://www.britishpedalcompany.com/information/zonk-machine-history
BUILDER-070	Wilsic Electronics	John Hornby Skewes	Zonk Machine II	UK	1966-1968	MEDIUM	RESEARCH_ONLY	Specialist historical sources identify a less-expensive silicon Zonk II associated with Wilsic Electronics. The product is retained as research-only until a stronger period model-level source is located.
https://sugareelicks.com/pedal/john-hornby-skewes-the-zonk-machine/	https://www.britishpedalcompany.com/information/zonk-machine-history
