pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3912	front	https://www.effectsdatabase.com/model/madprofessor/fireredfuzz		Effects Database / source uploader	Effects Database	Reference-only		Per source page	pending	2026-09-14	Fire Red Fuzz visual lead for Mad Professor historical catalog.
DISC-3922	front	https://www.effectsdatabase.com/model/madprofessor/royalblue		Effects Database / source uploader	Effects Database	Reference-only		Per source page	pending	2026-09-14	Royal Blue Overdrive visual lead.
DISC-3948	front	https://www.musicstorelive.com/bearfoot-honeybee.html		MusicStoreLive / source photographer	MusicStoreLive	Reference-only		MusicStoreLive / photographer to verify	Do not republish pending permission	2026-09-14	Clear Honey Bee enclosure and control specimen.
DISC-3949	front	https://reverb.com/p/bearfoot-fx-honey-beest-od		Reverb / source photographer	Reverb	Reference-only		Seller/photographer to verify	Do not republish pending permission	2026-09-14	Honey Beest specimen for family comparison.
DISC-3965	front	https://www.themusiczoo.com/products/one-control-bjf-series-baltic-blue-fuzz-effect-pedal		The Music Zoo / source photographer	The Music Zoo	Reference-only		The Music Zoo / photographer to verify	Do not republish pending permission	2026-09-14	Baltic Blue Fuzz front specimen.
DISC-3964	front	https://www.effectsdatabase.com/model/onecontrol/babyblueod		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Baby Blue OD image lead.
DISC-4048	front	https://spacemaneffects.com/products/sputnik		Spaceman Effects / manufacturer imagery	Spaceman Effects	Reference-only		Spaceman Effects	pending	2026-09-14	Official Sputnik image is strong for enclosure and control identification.
DISC-4029	front	https://www.effectsdatabase.com/model/spaceman/geminiiii		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Gemini III dual-fuzz visual lead.
DISC-4058	front	https://foxpedal.com/products/defector		Foxpedal / manufacturer imagery	Foxpedal	Reference-only		Foxpedal	pending	2026-09-14	Defector front image shows six-knob/two-switch layout.
DISC-4074	front	https://www.effectsdatabase.com/model/foxpedal		Effects Database / source uploader	Effects Database	Reference-only		Per source page	Research reference only	2026-09-14	Kingdom family visual lead.
