name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Critically Overdriven	Builder	Unknown	2000s-2010s	E.O.D. overdrive	DISCOVERED	https://www.effectsdatabase.com/model/criticallyoverdriven/eod	Effects Database documents a dedicated two-level overdrive with v1/v2 records. Geographic attribution remains unresolved and should be researched before canonicalizing region.
Ilitch Electronics	Builder	USA	2000s-2010s	Classic One Dyna Dist Overdrive; Deep Blues Dyna Dist Overdrive; Heavy Metal Dyna Dist Overdrive	DISCOVERED	https://www.effectsdatabase.com/model/ilitch/classicone ; https://www.effectsdatabase.com/model/ilitch/deepblues ; https://www.effectsdatabase.com/model/ilitch/heavymetal	Effects Database gives explicit designed/assembled/tested in USA evidence and multiple distinct gain products. Strong boutique-era census entry.
JDM Pedals (Joe Doc Music)	Builder	Germany	2010s-present	Elektrika Germanium Tone Bender Mk1/Zonk Machine style fuzz; Elektrika silicon Buzzaround-style fuzz	DISCOVERED	https://www.effectsdatabase.com/model/jdm/elektrika ; https://www.effectsdatabase.com/model/jdm/elektrika/silicon	Pedals are handmade in Berlin. The Elektrika family has materially different germanium and silicon editions, which belong later in variant/electronics research rather than being flattened.
JTK Harmonics	Builder	Unknown	2000s-2010s	Murano overdrive; Alchemy; Aurora; Delirium	DISCOVERED	https://www.effectsdatabase.com/model/jtkharmonics ; https://www.effectsdatabase.com/model/jtkharmonics/murano	Effects Database documents four products and a manufacturer's manual for Murano. Geographic identity needs confirmation.
My Dad Is Iggy	Builder	Italy / UK lineage	1990s-2010s	Big Muffin; Flashback Driver; Pops To Texas Overdrive; Taxi Overdrive; Texas Blues and other gain products	DISCOVERED	https://www.effectsdatabase.com/model/mydadisiggy ; https://www.effectsdatabase.com/interviews/brands/mydadisiggy ; https://www.effectsdatabase.com/model/mydadisiggy/popstotexas	Run by Ivan Marchetti and Gini. Started in London, later based in Milan. Timeline records first pedal/mods in 1997 and first sale in 2002. Preserve geographic relocation and one-person/partner operation history.
NFX Pedals	Builder	Unknown	2000s-2010s	Distort Shi; Distortion+; Fuzz Tool; Octane; Overdrive; Screaming Diodes	DISCOVERED	https://www.effectsdatabase.com/model/nfx ; https://www.effectsdatabase.com/model/nfx/overdrive ; https://www.effectsdatabase.com/model/nfx/distortion	Effects Database documents six products, including multiple dirt pedals, and states the pedals were fully hand made. Region requires follow-up.
Shin's Music	Builder	Japan	2000s-present	Dumbloid; Dumbloid Special; Bulldog Fuzz and other gain products	DISCOVERED	https://www.effectsdatabase.com/model/shinsmusic ; https://www.effectsdatabase.com/model/shinsmusic/dumbloid ; https://www.effectsdatabase.com/model/shinsmusic/dumbloid/special	Tokyo builder associated with Shin Suzuki. Effects Database currently lists 27 products and explicit handmade D-style overdrives and fuzz. Catalog completion should separate signature editions from core products.
Systech	Historical builder	USA	1970s	Systech Overdrive; Harmonic Energizer	DISCOVERED	https://www.effectsdatabase.com/model/systech ; https://www.effectsdatabase.com/model/systech/overdrive	Systems & Technology in Music, Inc. of Kalamazoo. Effects Database documents the Overdrive and Harmonic Energizer lineage and a tiny Overdrive A variant. High-priority historical census entity.
Totally Wycked Audio	Builder	USA	2000s-2010s	Great Divide; Great Divide MkII; Hot Saké; Krytical Mass bass fuzz; Octoverdrive; Chemical Z dual-channel overdrive; Source Code Tamura Overdrive; SH9 distortion; Wahxidizer octave-fuzz	DISCOVERED	https://www.effectsdatabase.com/model/twa ; https://www.effectsdatabase.com/model/twa/sh9 ; https://www.effectsdatabase.com/interviews/brands/twa	Effects Database lists 22 products and a historical builder interview. Multiple gain products justify canonical builder treatment.
VTR Effects	Builder	Brazil	2010s-present	Helios Overdrive; Helios V2/V2.1 and Gold Series	DISCOVERED	https://www.effectsdatabase.com/model/vtr ; https://www.effectsdatabase.com/model/vtr/helios	Brazilian company with explicit current manufacturer presence and Helios overdrive lineage. Only one Effects Database model record is currently indexed, so Queue B should verify whether the broader Gold Series contains additional dirt products.
Vintage Pedal Workshop	Builder	UK	2010s	Fuzz Sound; Supa Fuzz; Tone Bender MkI; Tone Bender Mk1.5; Tone Bender MkII; Zonk Machine; Exel Shatterbox; F.E.T. Guitar Pre-Amplifier	DISCOVERED	https://www.effectsdatabase.com/model/vpw ; https://www.effectsdatabase.com/model/vpw/fuzzsound ; https://www.effectsdatabase.com/model/vpw/zonkmachine	Founded in 2010 by Steve Giles and Richard Henry. Handmade British reproductions/reinterpretations of historic dirt pedals. Keep modern reproduction products distinct from historical originals and OEM lineages.
Garen Electronic Music Instruments MFG.	Historical builder	France	1960s-1970s	Garen Distortion / Chambre De Distorsion	DISCOVERED	https://www.effectsdatabase.com/model/garen/distortion	Paris-based manufacturer better known for amplifiers but documented with a rare domestic French fuzz/distortion introduced around 1966-1970. High-priority historical French census record.
