canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Sola Sound / Colorsound	Tone Bender Mk I	FUZZ	ENUMERATED	Early British fuzz family; exact earliest production states require specimen and documentary reconciliation.	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender
Sola Sound / Colorsound	Tone Bender Mk 1.5	FUZZ	ENUMERATED	Distinct early production state between Mk I and Mk II.	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender
Sola Sound / Colorsound	Tone Bender Professional Mk II	FUZZ	ENUMERATED	Foundational 1966-era model; multiple Vox/Sola/other marketed relationships must remain linked rather than duplicated.	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender
Sola Sound / Colorsound	Tone Bender Mk III	FUZZ	ENUMERATED	1968-era family; variants appeared under additional marketed names.	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
Sola Sound / Colorsound	Tone Bender Mk IV	FUZZ	ENUMERATED	Later smaller enclosure state; production-era graphics and renamed Tone-Bender Fuzz states require separation.	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
Sola Sound / Colorsound	Tone-Bender Fuzz	FUZZ	ENUMERATED	Post-Mk-IV marketing/name state; historically important as a searchable retail identity.	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
Sola Sound / Colorsound	Supa Tone Bender	FUZZ	ENUMERATED	Colorsound-era 1970s fuzz; do not infer circuit identity solely from Tone Bender name.	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
Sola Sound / Colorsound	Jumbo Tone Bender	FUZZ	ENUMERATED	1970s Colorsound family; later reissue states need separate production records.	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
Sola Sound / Colorsound	Power Boost	OVERDRIVE	ENUMERATED	Early Colorsound gain product; original 18V and later 9V states are distinct production corridors.
https://www.kitrae.net/music/Music_mp3_Colorsound_Sound.html
Sola Sound / Colorsound	Overdriver	OVERDRIVE	ENUMERATED	9V successor/related Colorsound gain product; multiple enclosure periods require separation.
https://www.kitrae.net/music/Music_mp3_Colorsound_Sound.html
Sola Sound / Colorsound	Overdriver Plus	OVERDRIVE	CANDIDATE	Variant appears in historical Colorsound references; exact production relationship requires primary-source reconciliation.
https://www.kitrae.net/music/Music_mp3_Colorsound_Sound.html
Sola Sound / Colorsound	Power Boost Bass	OVERDRIVE	CANDIDATE	Bass-marketed variant candidate; retain outside central completed count pending stronger documentary support.
https://www.kitrae.net/music/Music_mp3_Colorsound_Sound.html
Sola Sound / Colorsound	Fuzz Box	FUZZ	CANDIDATE	Generic historical label appears across Colorsound-era references; needs exact model/entity reconciliation before promotion.
https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
