builder	model	category	light_description	photo_source	status
Collision Devices	FZ	Fuzz / Distortion	Gated silicon fuzz and distortion spanning warm low-gain grit through saturated, sputtery and shoegaze-style fuzz textures.	https://www.effectsdatabase.com/model/collision/fz	INVENTORY
Collision Devices	TARS	Fuzz / Distortion	Fuzz and resonant-filter pedal combining grainy low gain with round fuzz/distortion and experimental filtered textures.	https://www.effectsdatabase.com/model/collision/tars	INVENTORY
Collision Devices	TARS DLX	Fuzz / Distortion	Expanded dual-filter fuzz with resonant low-pass and high-pass filtering, capable of low-gain fuzz/distortion through extreme noise textures.	https://www.effectsdatabase.com/model/collision/tars/dlx	INVENTORY
Collision Devices	Snack Fuzz	Fuzz / Distortion	Multi-mode distortion and fuzz pedal offering soft saturation, aggressive gated fuzz, presets and expression-controlled sound shaping.	https://www.effectsdatabase.com/model/collision/snack/fuzz	INVENTORY
Ground Control Audio	Locust	Distortion / Overdrive / Fuzz	Discrete-silicon distortion ranging from warm overdrive to loud, dark and aggressive distortion with extensive mid and tone shaping.	https://www.effectsdatabase.com/model/groundcontrolaudio/locust	INVENTORY
Ground Control Audio	Blood Oath	Distortion / Fuzz	High-gain dirt pedal with a dense, aggressive character that pushes from distortion into fuzz-like saturation.	https://www.effectsdatabase.com/model/groundcontrolaudio	INVENTORY
Ground Control Audio	Bread Oath	Overdrive	Overdrive designed around dynamic amplifier-like breakup with a responsive gain range and strong note definition.	https://www.effectsdatabase.com/model/groundcontrolaudio	INVENTORY
Suhr	Eclipse	Overdrive / Distortion	Dual-channel overdrive/distortion with independent gain, level and three-band EQ, ranging from low-gain amp-like drive to tight high-gain tones.	https://www.effectsdatabase.com/model/suhr/eclipse	INVENTORY
Suhr	Riot	Distortion	High-gain distortion designed to deliver the touch sensitivity and response of a powerful tube amplifier, from authoritative rock tones through saturated gain.	https://www.effectsdatabase.com/model/suhr/riot	INVENTORY
Suhr	Shiba Drive	Overdrive	Low-to-medium gain overdrive with a smooth, dynamic response designed for articulate amplifier-style breakup.	https://www.effectsdatabase.com/model/suhr/shibadrive	INVENTORY
Sonicake	B Factory	Overdrive	Bass preamp with optical compression, three-band EQ and an overdrive channel covering overdrive through distortion.	https://www.effectsdatabase.com/model/sonicake/bigbox/bfactory	INVENTORY
Sonicake	King of Twins	Overdrive / Distortion	Dual-channel analog drive with independent channels and boost, overdrive and distortion modes that can be stacked for higher gain.	https://www.effectsdatabase.com/model/sonicake/bigbox/kingoftwins	INVENTORY
Sonicake	T.N.T	Overdrive	Dual-channel analog overdrive based around two classic late-1970s-style drive voices with extensive stacking and voicing options.	https://www.effectsdatabase.com/model/sonicake/bigbox/tnt	INVENTORY
Sonicake	Cowboy	Distortion	Compact high-gain distortion voiced for aggressive modern metal-style attack and tight response.	https://www.effectsdatabase.com/model/sonicake/mini	INVENTORY
Sonicake	Fazy Cream	Fuzz	Compact Muff-style fuzz delivering thick, saturated sustain with a familiar creamy fuzz character.	https://www.effectsdatabase.com/model/sonicake/mini	INVENTORY
Sonicake	Rude Mouse	Distortion	Compact distortion with an aggressive, tight response and classic hard-clipping character.	https://www.effectsdatabase.com/model/sonicake/mini	INVENTORY
Sonicake	Shark	Distortion	Compact high-gain distortion designed for forceful, saturated guitar tones.	https://www.effectsdatabase.com/model/sonicake/mini	INVENTORY
Sonicake	Trio Rider	Overdrive	Compact Centaur-style overdrive designed for transparent-to-mid-focused drive and amp-pushing applications.	https://www.effectsdatabase.com/model/sonicake/mini	INVENTORY
Sonicake	Blue Skreamer	Overdrive	Compact Screamer-style overdrive providing familiar mid-focused drive, boost and singing sustain.	https://www.effectsdatabase.com/model/sonicake/mini	INVENTORY
Diamond Pedals	BLZ-1 Blaze	Fuzz / Distortion	Germanium fuzz and distortion combining vintage-style fuzz response with modern EQ control, from warm early-fuzz textures to aggressive fuzz rock.	https://www.effectsdatabase.com/model/diamond/blaze	INVENTORY
Fairfield Circuitry	Modèle B	Overdrive	Tiny always-on overdrive based on the Barbershop character, offering a wide flat response or a slightly high-cut voicing.	https://www.effectsdatabase.com/model/fairfield/modeleb	INVENTORY
CMATMODS	Brownie	Overdrive / Distortion	British-voiced overdrive/distortion covering crunchy amplifier breakup through heavier saturated rock gain.	https://www.effectsdatabase.com/model/cmatmods/brownie	INVENTORY
Raygun FX	Soda Drive+	Overdrive / Distortion	Handmade drive pedal ranging from bluesy overdrive to full distortion, with boost and germanium fuzzier-distortion modes.	https://www.effectsdatabase.com/model/raygun/sodadrive	INVENTORY
Coolmusic	C-OV01 Crunchy Overdrive	Overdrive	Compact overdrive designed for smooth, warm classic drive with simple Gain and Tone controls.	https://www.effectsdatabase.com/model/coolmusic/cov01	INVENTORY
Superlunar	SR-01 Analog Saturation Device	Overdrive / Distortion / Fuzz	Transistor-based saturation pedal covering boost, overdrive, distortion and fuzz with adjustable bias and filtering.	https://www.effectsdatabase.com/model/superlunar/sr01	INVENTORY
29 Pedals	FLWR	Overdrive / Distortion / Fuzz	Dynamic gain pedal ranging from clean boost and articulate overdrive through harmonically rich distortion and full fuzz saturation.	https://www.effectsdatabase.com/model/29pedals/flwr	INVENTORY
Malekko Heavy Industry	B:ASSMASTER	Octave Fuzz	Analog octave fuzz/distortion inspired by the classic bass octave-fuzz concept, with extensive control over harmonics and wet/dry blend.	https://www.effectsdatabase.com/model/malekko/bassmaster	INVENTORY
Keeley Electronics	Angry Orange	Fuzz / Distortion	Analog pedal combining Japanese distortion and Soviet fuzz voices with hybrid combinations of clipping and tone sections.	https://www.effectsdatabase.com/model/keeley/4in1/angryorange	INVENTORY
Crazy Tube Circuits	Motherload	Fuzz / Distortion	Dual analog dirt pedal combining distinct Muff-style fuzz and RAT-style distortion circuits, each capable of independent gain and tonal shaping.	https://www.effectsdatabase.com/model/crazytube/motherload	INVENTORY
Crazy Tube Circuits	Black Magic	Distortion / Fuzz	JFET high-gain distortion/fuzz designed to move from clean and crunchy sounds into saturated gain with strong sustain and amp-like response.	https://www.effectsdatabase.com/model/crazytube/blackmagic	INVENTORY
Catalinbread	CB Overdrive	Overdrive	One-knob amp-like overdrive designed to provide refined, gritty cranked-amplifier breakup at controllable volume.	https://www.effectsdatabase.com/model/catalinbread/cb/overdrive	INVENTORY
Catalinbread	Carbide	Distortion	Aggressive distortion designed for heavy, pulverizing gain and strong tonal shaping.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	CB Fuzz	Fuzz	Minimalist fuzz designed to provide straightforward saturated fuzz tones in a compact one-knob format.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	Fuzzrite Germanium	Fuzz	Germanium fuzz based on the classic Fuzzrite sound, emphasizing vintage-style bite, texture and cleanup.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	Karma Suture Germanium	Fuzz	Harmonic fuzz with germanium character, producing compressed, complex and expressive saturation.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	Katzenkönig	Distortion / Fuzz	High-gain hybrid distortion and fuzz drawing on classic British and RAT-family gain characteristics.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	Manx Loaghtan Fuzz	Fuzz	Rich, woolly fuzz with broad sustain and harmonically dense character.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	SFT	Overdrive / Distortion	Amp-inspired overdrive/distortion designed around thick low-end response and flexible gain from gritty breakup to saturated drive.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
Catalinbread	Sabbra Cadabra	Overdrive / Distortion	British-style amplifier preamp/overdrive designed for dense, aggressive gain and classic hard-rock saturation.	https://www.effectsdatabase.com/model/catalinbread	INVENTORY
