name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Schaller Electronic	Builder	West Germany	1960s-1970s	Schaller Fuzz / Tonverzerrer; Universal-Fußpedal	DISCOVERED	https://www.tonehome.de/schaller-electronic/fuzz/ ; https://www.tonehome.de/schaller-electronic/double-pedal/	Major German effects manufacturer; distinct documented fuzz generations and multi-effect treadle products make it a high-priority catalog census target.
Blackfield Orchester-Elektronik	Builder	West Germany	1970s	Flying Sound Fuzz/Wah/Phaser	DISCOVERED	https://www.tonehome.de/blackfield/	Very rare German manufacturer; at least one substantial multi-effect dirt unit documented.
Kent	Brand / manufacturer	Germany / USA distribution	1970s	Model 6406 Angry Fuzz	DISCOVERED	https://www.tonehome.de/kent/	Angry Fuzz documented as made in Germany and released at Musikmesse 1971; manufacturer attribution and complete Kent effects catalog need follow-up.
Höfner	Builder / brand	West Germany	1960s-1970s	Höfner fuzz/wah effects	DISCOVERED	https://www.tonehome.de/höfner-hofner/	Important German instrument maker with a period effects line; enumerate dirt products before deep research.
EF-EL / Calderoni Musica	Builder	Italy	1960s-1970s	Vox EF-EL Distortion; Goldsound/EUR/G.I.S./Cosmosound family	DISCOVERED	https://www.effectsdatabase.com/model/vox/efel/distortion ; https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Key Italian OEM/manufacturer node in early European fuzz production; multiple labels must be separated from factory identity.
JEN Elettronica	Builder	Italy	1960s-1970s	Vox V828/V816 families; JEN-branded fuzz products	DISCOVERED	https://www.voxshowroom.com/us/misc/fuzzwah.html ; https://www.effectsdatabase.com/	Major Italian manufacturer/OEM; complete JEN-branded dirt catalog remains a census priority.
European Musical Electronics (EME)	Builder / corporate lineage	Italy	1960s	Vox effects production	DISCOVERED	https://reverb.com/item/92769183-1960s-jen-elettronica-tone-bender-mkii-fuzz-v828-vintage-guitar-effects-pedal-vox-italy	Predecessor/lineage entity associated with the Italian Vox production network; distinguish corporate history from later JEN manufacturing.
Eko	Builder / manufacturer candidate	Italy	1960s	Early Vox Italian production candidate	CENSUS_ONLY	https://lefty.it/index.php/lefty/191-the-tonebender-file-pt-iv-la-storia-del-tonebender-e-del-fuzz-1966/67-tonebender-e-i-suoi-fratelli	Potential early Italian manufacturing role in Vox effects; evidence remains disputed and should not be canonicalized without stronger primary documentation.
Cosmosound	Brand / OEM label	Italy	1960s-1970s	Distortion, fuzz-wah and related effects	DISCOVERED	https://www.effectsdatabase.com/model/vox/efel/distortion ; https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Reported in EF-EL/Calderoni Musica family; preserve brand separately from manufacturer.
Goldsound	Brand / OEM label	Italy	1960s-1970s	Tone Bender/Vox-related fuzz; fuzz-wah family	DISCOVERED	https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Marketed Italian label within EF-EL/Calderoni Musica network.
G.I.S.	Brand / OEM label	Italy	1960s-1970s	Distortion/fuzz-wah products	DISCOVERED	https://www.effectsdatabase.com/model/vox/efel/distortion ; https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Preserve as marketed identity within Italian OEM family.
Meazzi	Brand / manufacturer	Italy	1960s-1970s	Distortion Whau-Whau and other effects	DISCOVERED	https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Meazzi-branded pedals overlap the same Italian OEM family; manufacturing attribution must be researched separately.
Mac	Brand / OEM label	Italy	1960s-1970s	Distortion Whau-Whau family	DISCOVERED	https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Marketed identity within Italian fuzz-wah network.
EUR	Brand / OEM label	Italy	1960s-1970s	Distortion Whau-Whau	DISCOVERED	https://www.effectsdatabase.com/model/eur/distortionwhauwhau	Marketed Italian label within Calderoni Musica family.
Ricken's	Brand / manufacturer candidate	Italy	1970s	Fuzz FR III	CENSUS_ONLY	https://www.tonehome.de/höfer-hofner/	Rare Italian-branded dirt pedal lead; verify entity and manufacturing attribution before canonical builder inclusion.
Framus	Builder / brand	West Germany	1960s-1970s	Growler and fuzz effects	DISCOVERED	https://www.fuzzboxes.org/gallery	German instrument maker with period dirt effects; complete catalog census needed.
Roger Mayer	Builder / designer	UK	1960s-present	Early fuzz boxes; Octavia family	DISCOVERED	https://fuzzboxes.org/features/sixtiesboutique	Important independent early builder and designer; public evidence documents pre-1966 fuzz work and later Octavia lineage.
Austone Electronics	Builder	Australia	2000s	Fuzz Nutz; Textone Fuzz Nutz	DISCOVERED	https://www.effectsdatabase.com/model/austone/textone	Historical boutique Australian builder candidate; full catalog census required.
Klingen / Klinger Custom Pedals	Builder	Australia	2000s-present	Jimi Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/klinger/jimifuzz	Melbourne builder; already represented in earlier catalog work but retained here as census cross-check.
Vintage Technology	Builder / boutique	Unknown	2000s	Banana Fuzz; Orange Sunshine; Toad Distortion	DISCOVERED	https://www.effectsdatabase.com/model/vintagetech/bananafuzz	Manufacturer identity needs region and complete catalog verification; strong evidence of multiple related products.
Kaden Effects	Builder	Unknown	2000s	Flamingo Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/kaden/flamingo	Boutique-era builder with at least one documented dirt product; verify operating period and full catalog.
Doc Music Station	Builder	Unknown	2000s	Vintage Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/docmusicstation/vintagefuzz	Census candidate requiring region, operating period and catalog verification.
Toetags Electronics	Builder	Unknown	2010s	Supa Fuzz MkII / Model 1975 Sustainer	DISCOVERED	https://www.effectsdatabase.com/model/toetags/supafuzz	Boutique builder with a documented Marshall Supa Fuzz-inspired dirt product; confirm broader catalog later.
AGR Pedals	Builder	Unknown	2020s	FZR912 Muff Fuzz Deluxe	DISCOVERED	https://www.effectsdatabase.com/model/agrpedals/fzr912	Current boutique candidate; manufacturer identity/region and complete catalog should be verified from primary sources.
R.K.I.	Brand / OEM label	UK	1970s	Wah Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/rki/wahfuzz	Documented as Colorsound/Sola Sound manufacture; retain marketed identity separately from physical builder.
JHS Effects	Builder / modern revival specialist	USA	2000s-present	1966 Italy Tone Bender; Shatterbox; Zonk II	DISCOVERED	https://www.fuzzboxes.org/gallery ; https://www.sweetwater.com/store/detail/1966Italy--jhs-1966-italy-tone-bender-pedal	Modern builder with both original designs and historical recreations; census should distinguish those categories.
Veri-Tone	Builder	Italy	2020s-present	Beehive; Fuzz-Arka; Valiant; Mr. Heath	DISCOVERED	https://www.veri-tone.com/	Current Milan builder; multiple vintage-derived dirt products make it a useful modern Italian census target.
