canonical_builder	identity_status	region	era_bucket	dirt_catalog_signal	catalog_status	priority	relationship_notes	source_refs
G. P. Electronics	CANONICAL_CANDIDATE	United Kingdom	1964-1960s	Harmonic Generator	NOT_ENUMERATED	P0	Early Devon fuzz builder; later evidence identifies the Harmonic Generator as the antecedent copied by Baldwin-Burns Buzzaround. No surviving original is currently documented in the strongest source.	https://fuzzboxes.org/timeline; https://fuzzboxes.org/buzzaround
WEM	CANONICAL	United Kingdom	1965-1970s	Rush Pep Box; Project V	PARTIAL	P0	Early major UK effects seller/manufacturer. Rush Pep Box and Project V belong to one WEM entity; do not split by product.	https://fuzzboxes.org/projectv; https://fuzzboxes.org/timeline
Rotosound	MARKETED_BRAND_ENTITY	United Kingdom	1966-1970s	Fuzz Box	INDEXED_BASELINE_MAPPED	P1	String-maker brand that sold Sola Sound-supplied fuzz boxes. Keep Rotosound separate from Sola Sound while preserving the OEM relationship.	https://fuzzboxes.org/rotosoundfuzzbox; https://fuzzboxes.org/timeline
Baldwin-Burns / Burns London	CANONICAL_LINEAGE	United Kingdom	1965-1969	Buzzaround; later Baldwin-branded fuzz specimen	PARTIAL	P0	Burns guitar company/Baldwin-Burns production lineage. Buzzaround is a distinct builder record; do not merge with Sola Sound despite later Tone Bender derivative relationship.	https://fuzzboxes.org/buzzaround
Selmer (UK)	CANONICAL_WITH_DISAMBIGUATION	United Kingdom	1966-1968	Buzz Tone; Fuzz-Wah	PARTIAL	P0	UK Selmer entity only. Buzz Tone was presented in August 1966; later Fuzz-Wah was introduced in 1968. Keep unrelated Selmer identities out.	https://fuzzboxes.org/buzztone
John Hornby Skewes	CANONICAL	United Kingdom	1960s-1970s	Zonk Machine; Zonk II; Shatterbox; Treble Booster combination	PARTIAL	P0	Leeds retail/marketing entity. Zonk II was initially supplied by Sola Sound and later production shifted to Wilsic Sound; preserve both relationships.	https://fuzzboxes.org/zonkmachine; https://fuzzboxes.org/shatterbox; https://fuzzboxes.org/timeline
Wilsic Sound	CANONICAL_CANDIDATE	United Kingdom	Late 1960s-1970s	Zonk II; Wilsic Sound Fuzz	PARTIAL	P1	Separate manufacturer/brand relationship from John Hornby Skewes. Evidence places Zonk II production with Wilsic Sound from around 1969.	https://fuzzboxes.org/zonkmachine; https://fuzzboxes.org/shatterbox
Barnes & Mullins / Exel	MARKETED_BRAND_LINEAGE	United Kingdom	1969-1970s	Exel Shatterbox; Exel Treble Booster; Exel Reverb	INDEXED_BASELINE_MAPPED	P1	B&M marketed the Exel series. Shatterbox was demonstrated at Musikmesse in early 1969; preserve construction attribution separately from branding.	https://fuzzboxes.org/exelshatterbox
Park	MARKETED_BRAND_ENTITY	United Kingdom	Late 1960s-1970s	Park Fuzz Sound	INDEXED_BASELINE_MAPPED	P1	Park was a Marshall-launched brand; surviving Fuzz Sounds were rebranded Sola Sound products. Keep Park as marketed entity and Sola Sound as manufacturer relationship.	https://fuzzboxes.org/parkfuzzsound
Marshall Amplification	CANONICAL	United Kingdom	1966-present	Supa Fuzz; later Marshall dirt pedals	PARTIAL	P0	Supa Fuzz began as Sola Sound supplied/rebadged product before Marshall manufacture later in the 1960s. Do not flatten the manufacturing transition.
https://www.sweetwater.com/insync/marshall-pedals-history/; https://www.marshallamps.jp/live_for_music/tips/history/history-of-pedals-part-1.html
