builder	region_or_market	era_bucket	initial_status	priority	research_lane	discovery_sources	notes
Fieldfare Audio	Germany	2020s-present	DISCOVERY_SEED	P0	modern regional dirt	Effects Database; official site	Current Köln builder with Revolt and Antares overdrives plus Fury/Thrive fuzz and Antiheld bass distortion; capture German-language naming and current variants.
Non-Human Audio	USA	2020s-present	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; official site	Current catalog includes Kimchi textural fuzz drive, Unclean cascading distortion and Water Bear glitch/synth fuzz; separate dirt from atmospheric effects.
Twilight Pulse Audioworks	USA/UK-connected	2020s-present	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; official site	Small builder with Konstante overdrive and Proxima overdrive/fuzz; preserve maker history and collaboration/artist relationships.
Spiral Electric FX	USA	2020s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; official site	Family-run dirt-focused builder; current catalog includes 2026 Ge Fuzz, Starbird Fuzzstortion, Octina, Yellow Spiral, Red Spiral, Demhe, Allora and Black Spiral II.
Klowra	China/US market	2020s-present	DISCOVERY_SEED	P1	modern digital/hybrid dirt	Effects Database; official site	New builder with Gnash distortion and a broader digital/hybrid pedal ecosystem; document digital boundary explicitly rather than excluding it.
Sonicake	China/global	2010s-present	DISCOVERY_SEED	P0	modern mass-market breadth	Effects Database; official site	Large current catalog; dirt universe includes King of Twins, T&T, Thump, Fazy family, Shark, Rude Mouse, Trio Rider, Cowboy and Blue Skreamer among many non-dirt products.
Mile End Effects	Canada	2013-present	DISCOVERY_SEED	P0	modern Canadian micro-builder	Effects Database; official site; dealer archives	Montreal one-person builder; current dirt core includes Kollaps Fuzz/PreAmp and new SOFORT, SI FORT dual-channel fuzz; maintain Pique/PreAmp 150 as dirt-adjacent boundaries.
Crazy Tube Circuits	Greece	2010s-present	DISCOVERY_SEED	P0	modern analog dirt/hybrid	Effects Database; official site	NAMM 2026 Triptychon adds fuzz, octave/boost and drive in one analog unit; enumerate current and discontinued gain products and separate inspired historical voices from original product identity.
Great Eastern FX Co.	United Kingdom	2010s-present	DISCOVERY_SEED	P0	modern boutique fuzz/drive	Effects Database; official site	Current catalog explicitly separates Current/Discontinued/Obsolete Devices; Focus Fuzz family provides a clean target for variant and chronology work.
VFE Pedals	USA	2010s-present	DISCOVERY_SEED	P0	modern boutique drive/distortion/fuzz	Effects Database; official site	Current 2026 catalog includes Tiamat, RUP mkII and Killer Rabbit; preserve assembled-pedal, DIY-file and historical design-lineage boundaries rather than merging them.
Teaching Machines	United Kingdom	2020s-present	DISCOVERY_SEED	P0	modern experimental fuzz/distortion	Effects Database; official site	FuzzBillion is an unusual analog programmable distortion/fuzz platform with collaboration history; document enclosure/product states while keeping design documentation out of the public photo archive.
Tallon Electric	USA	2020s-present	DISCOVERY_SEED	P1	modern signature dirt	Effects Database; official site/social	Current lineup includes The Hog, ABR-OD, The Wolf, Dual Drive and Banshee; useful builder-level sweep for signature and collaboration states.
Spline Laboratories	USA	2020s-present	DISCOVERY_SEED	P1	modern boutique distortion/OD	Effects Database; official site	Archangel surfaced in 2026; add builder to current-product monitoring and look for earlier or sibling gain models before assuming a one-product catalog.
REVV Amplification	Canada/USA market	2010s-present	DISCOVERY_SEED	P1	modern boutique overdrive/distortion	Effects Database; official site	DirtDog appeared in 2026 with a Joey Landreth collaboration; sweep full pedal catalog for gain products, revisions and artist-signature states.
ZVEX Effects	USA	1995-present	INDEXED_BASELINE_MAPPED	P0	1990s-to-modern bridge	Effects Database; official site	Existing census entry remains broad; current site exposes Fuzz Factory, Fat Fuzz Factory, Woolly Mammoth and Box of Rock families plus Vexter/hand-painted production distinctions. Use this pass to complete modern physical-state taxonomy.
Electro-Harmonix	USA	1968-present	INDEXED_BASELINE_MAPPED	P0	modern legacy/current bridge	Effects Database; official site	2026 EHX Percolator is a fresh current-product target; keep legacy Harmonic Percolator references separate from the current Nano product.
Fender Effects	USA	1960s-present	DISCOVERY_SEED	P1	modern mass-market/legacy crossover	Effects Database; official site	2026 Godzilla Distortion is a limited collaboration target; enumerate modern distortion/fuzz families while retaining Fender/brand/OEM relationships.
Beetronics	USA/Europe market	2010s-present	INDEXED_BASELINE_MAPPED	P0	modern boutique fuzz/overdrive	Effects Database; official site	2026 search results show continuing limited editions and custom-shop states; use the existing builder seed but add current-product variant monitoring.
Positive Grid	USA	2010s-present	DISCOVERY_SEED	P1	modern digital/multi-effect boundary	Effects Database; official site	Spark Pedal is a 2026 floor-format digital amp/effects product with dirt among many effects; treat as a boundary record rather than inflating the core dirt catalog.
