REC-097	Companion / Shin-ei	FY-2 Fuzz	Early germanium state	Late 1960s	Generation / technology	Recent specialist research identifies a rare early germanium Companion FY-2 state before the later silicon-heavy production.	RESEARCH	https://www.tonemachinesblog.com/2024/12/history-of-companion-fy-2-fuzz.html	Keep the germanium/silicon distinction as a specimen research axis; do not impose an exact serial boundary.
REC-098	Jax	FY-6 Fuzz Master	1971-1976 production window	1971-1976	OEM / chronology	Tone Machines Blog documents dated Jax FY-6 examples spanning 1971 through 1976, showing that the FY-6 rebrand network remained active well after the earliest 1968 Shin-ei label transition.	RESEARCH	https://www.tonemachinesblog.com/2023/05/super-identity-crisis.html	Use the observed date range as specimen evidence, not a guaranteed factory start/end.
REC-099	Mica-Tone	Fuzz Master	FY-6 OEM state	1969-1970s	OEM / family	Effects Database identifies Mica-Tone Fuzz Master as one of the Japanese OEM-branded FY-6 Super Fuzz variants.	RESEARCH	https://www.effectsdatabase.com/model/micatone/superfuzz	Preserve the Mica-Tone retail identity while treating the exact factory chain as OEM research.
REC-100	Hohner	MF-50 Master Fuzz Control	1973-1974 introduction lead	1973-1974	OEM / chronology	Tone Machines research found a March 1974 Music Trades announcement for the Hohner MF-50 and places the model in the Shin-ei OEM family.	RESEARCH	https://www.tonemachinesblog.com/2023/05/super-identity-crisis.html	The dated trade announcement is stronger than an undated collector estimate; exact production start remains approximate.
REC-101	Rands	FY-6 Fuzz	Late FY-6 production state	1976	OEM / specimen	A dated Rands FY-6 example from October 1976 places this branding toward the later portion of the FY-6 production era.	RESEARCH	https://www.tonemachinesblog.com/2023/05/super-identity-crisis.html	Treat the observed 1976 specimen as evidence of existence, not a full production range.
REC-102	Mayfair	Model 9540 Fuzz Master	Japanese FY-6 state	1970-1972	OEM / branding	The Mayfair 9540 is documented as a Japanese Super Fuzz-family product with Balance, Fuzz and tone-selector controls and is commonly associated with the FY-6 OEM network.	RESEARCH	https://www.effectsdatabase.com/model/mayfair/9540	Do not promote marketplace claims about exact builder identity without stronger period documentation.
REC-103	Teisco	Fuzz Machine	Early-1970s OEM family	Early 1970s	OEM / family	Effects Database documents the Teisco Fuzz Machine as a distinct Japanese fuzz product distributed under multiple labels including Ibanez Standard Fuzz No. 59, Bruno Fuzz Machine, Mica Fuzz, Marlboro Wailer Fuzz, Antoria Fuzz Machine and Aria Diamond Fuzz.	VERIFIED	https://www.effectsdatabase.com/model/teisco/fuzzmachine	Keep this family separate from Teisco TF-1/FY-6 records despite the related Japanese octave-fuzz ecosystem.
REC-104	Ibanez	Standard Fuzz No. 59	Teisco Fuzz Machine retail state	Early 1970s	Branding / OEM	Ibanez Standard Fuzz No. 59 is documented as one of the retail identities attached to the Teisco Fuzz Machine family.	VERIFIED	https://www.effectsdatabase.com/model/teisco/fuzzmachine	Use the exact model number as the primary identification field when encountered on a surviving unit.
REC-105	Teisco	Wau Wau Fuzz	Japanese OEM fuzz-wah state	Early-mid 1970s	OEM / family	The Teisco Wau Wau Fuzz belongs to the Japanese OEM fuzz-wah group that includes Ibanez 58 Standard Wau Fuzz, Guyatone FS-5, Elk WF-1100 and related rebadges.	RESEARCH	https://www.effectsdatabase.com/model/teisco/wauwaufuzz	The family relationship is stronger than any single-brand manufacturer attribution; preserve uncertainty.
REC-106	Guyatone	FS-5 Wah-Fuzz	Maxon-associated state	Early 1970s	OEM / manufacturing lead	Effects Database links the FS-5 to the Japanese OEM wah-fuzz family and notes Maxon-associated production for the related Guyatone wah products.	RESEARCH	https://www.effectsdatabase.com/model/guyatone/fs/5	Treat Maxon as a manufacturing lead until primary period documentation resolves the exact chain.
REC-107	Kent	6400 Distorter	Schaller German production	Late 1960s-early 1970s	European OEM / generation	Effects Database identifies the Kent 6400 Distorter as a Kent-branded Schaller product made in West Germany, with germanium and later silicon production states.	RESEARCH	https://www.effectsdatabase.com/model/kent/schaller/6400	Keep this European branch separate from the Japanese FY-6 network despite superficial fuzz-family overlap.
REC-108	Univox / Unicord	Uni-Fuzz U-250	1969 AC-powered state	1969	Model / production state	Premier Guitar documents the U-250 Uni-Fuzz as the AC-powered brother to the 1968 Super-Fuzz, with a 1969 example showing the separate Univox fuzz family.	RESEARCH	https://www.premierguitar.com/1969-univox-u-250-uni-fuzz	Keep U-250 distinct from U-1093/U-1095 Super-Fuzz records; shared Shin-ei ecosystem does not make them the same model.
REC-109	Shin-ei	FY-6 Super Fuzz	1968 label transition	1968	Branding / chronology	Shin-ei's own history states that its branded FY-6 followed the 1967 Honey Baby Crying FY-6 one year later, providing a strong label-era anchor.	VERIFIED	https://www.shin-ei.com/	Use 1968 as the Shin-ei-branded era anchor while allowing earlier Honey-marked production overlap.
REC-110	Shin-ei	FY-6 Super Fuzz	Late-1970s production evidence	1978-1979	Production / chronology	Tone Machines research reports FY-6-family examples and catalogs continuing into the late 1970s, with Shin-ei appearing in catalogs through the end of 1979.	RESEARCH	https://www.tonemachinesblog.com/2023/05/super-identity-crisis.html	This is an upper-bound production lead, not a precise universal discontinuation date for every rebrand.
