builder	model	category	light_description	photo_source	status
Red Witch Analog Ltd	Fuzz God	Fuzz / Oscillation	Original Germanium Fuzz God documented for the 2005-2007 period, with hand-picked NOS germanium transistors and switchable Wrath oscillation.	https://www.effectsdatabase.com/model/redwitch/fuzzgod	INVENTORY
Red Witch Analog Ltd	Fuzz God II	Fuzz / Oscillation	Silicon successor to the original Fuzz God family; retained as a distinct silicon generation.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	Fuzz God IIC	Fuzz / Oscillation	Limited modified Fuzz God II state with Cream/Woman Tone mode; only 99 hand-modified numbered units.	https://redwitchpedals.com/products/fuzz-god-iic	INVENTORY
Red Witch Analog Ltd	Fuzz God III	Fuzz	Hand-built first run of 100 numbered units; six-way internal DIP network provides 64 gain/tone combinations.	https://redwitchpedals.com/products/fuzz-god-iii	INVENTORY
Red Witch Analog Ltd	Fuzz God IV	Fuzz / Octavia / Oscillation	Fourth Fuzz God generation combining silicon fuzz, germanium-diode Octavia, Wrath oscillation, and an eight-way internal DIP network.	https://redwitchpedals.com/products/fuzz-god-iv	INVENTORY
Red Witch Analog Ltd	Opia Fuzz Engine	Fuzz	Dedicated Red Witch fuzz engine retained in the product archive.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	Euphorium Fuzz	Fuzz	Current Apothecary-family fuzz model in the Red Witch catalog.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	O Fortuna! Polychromatic Fuzz	Fuzz	Limited/archival Red Witch fuzz model with a polychromatic concept.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	Famulus Overdrive	Overdrive	Red Witch overdrive model preserved as a separate catalog state.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	Epiphanous Overdrive	Overdrive	Current Apothecary-family overdrive model.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	Galvinium Headroom Overdrive	Overdrive	Headroom-focused Red Witch overdrive model in the current catalog archive.	https://redwitchpedals.com/collections/all	INVENTORY
Red Witch Analog Ltd	Hypostasia Fuzz Overdrive	Fuzz / Overdrive	Combined fuzz and overdrive design with separate and blended operating modes.	https://redwitchpedals.com/products/hypostasia-fuzz-overdrive	INVENTORY
Red Witch Analog Ltd	Factotum Suboctave Bass Overdrive	Bass Overdrive / Suboctave	Bass-oriented overdrive with suboctave function in the Red Witch catalog.	https://redwitchpedals.com/collections/all/red-witch	INVENTORY
Red Witch Analog Ltd	Xenia Overdrive	Overdrive	Archived Red Witch overdrive model associated with the earlier New Zealand catalog.	https://www.monktonguitars.com/shop/Shop-Effects-by-Brand/Red-Witch-Pedals.htm	INVENTORY
Red Witch Analog Ltd	Omnia Germanium Amplifier	Boost / Preamp	Germanium amplifier-style gain/boost product preserved as a gain-adjacent boundary record.	https://redwitchpedals.com/collections/all/red-witch	INVENTORY
Red Witch Analog Ltd	Omnia Germanium Amplifier - Perfectly Imperfect	Boost / Preamp	Limited or imperfect-state Omnia catalog variant, retained as a commercial state rather than assumed new family.	https://redwitchpedals.com/collections/all	INVENTORY
Deep Trip Pedals	BOG Fuzz	Fuzz / Overdrive	Fuzz Face-derived design with tightened lows, pronounced mids, and enough output/gain range to function as overdrive.	https://deeptrip.lojaintegrada.com.br/bog	INVENTORY
Deep Trip Pedals	BOG "JS Mod" Fuzz	Fuzz	Distinct BOG modification state listed in Deep Trip's historical shop catalog.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	BOG All Black	Fuzz	All-black presentation variant of the BOG fuzz, preserved as a catalog/state record.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Pagebender Fuzz	Fuzz	Current Deep Trip fuzz model in the Brazilian catalog.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Onça-Pintada	Fuzz	Current Brazilian Deep Trip fuzz model with a separate marketed identity.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Sucuri	Fuzz	Current Deep Trip fuzz model in the Brazilian catalog.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Muffasaur Fuzz	Fuzz	Muff-family fuzz product in the Deep Trip line.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Muffasaur Fuzz B-Stock	Fuzz / Commercial State	B-stock commercial state of Muffasaur, tracked separately for archive provenance but not counted as a core model.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Hellbender Fuzz	Fuzz	Tone Bender-oriented Deep Trip fuzz model.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Hellbender Lead Mod Fuzz	Fuzz / Variant	Lead-modified Hellbender state listed separately by Deep Trip.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Hellbender All Black	Fuzz / Commercial State	All-black Hellbender presentation variant in the historical shop catalog.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Kryptone Fuzz	Fuzz	Vox Tonebender Italian-derived fuzz design covering fuzz through booster-like gain.	https://deeptrip.lojaintegrada.com.br/kryptone	INVENTORY
Deep Trip Pedals	Kryptone V3 Fuzz	Fuzz / Generation	Current V3 state of the Kryptone family.	https://deeptrip.lojaintegrada.com.br/kryptone	INVENTORY
Deep Trip Pedals	Stormy Monday Overdrive	Overdrive	Deep Trip overdrive model preserved from the shop catalog.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
Deep Trip Pedals	Capivara	Fuzz	Current Deep Trip fuzz model in the Brazilian catalog.	https://deeptrip.lojaintegrada.com.br/pedais	INVENTORY
