pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-3913	front	https://www.musicstorelive.com/bearfoot-fx-honey-bee-overdrive	https://www.musicstorelive.com/media/catalog/product/b/e/bearfoot-honeybee.jpg	Music Store Live / source photographer	Music Store Live	Reference-only		Music Store Live / photographer to verify	pending	2026-09-14	Honey Bee specimen useful for BJF/BearFoot enclosure and control identification.
DISC-3906	front	https://www.effectsdatabase.com/model/bearfoot/candyapplefuzz		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Candy Apple Fuzz lineage reference.
DISC-3939	front	https://www.effectsdatabase.com/model/madprofessor/fireredfuzz		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Fire Red Fuzz historical product lead.
DISC-3961	front	https://www.effectsdatabase.com/model/madprofessor/sweethoney		Mad Professor / manufacturer imagery	Mad Professor	Reference-only		Mad Professor	pending	2026-09-14	Sweet Honey family reference for later edition comparison.
DISC-3965	front	https://www.one-control.com/	https://cdn.shopify.com/s/files/1/0916/0836/products/31211_One_Control_Baltic_Blue_a_800x800.jpg?v=1571458013	One Control / source image	One Control	Reference-only		One Control	pending	2026-09-14	Baltic Blue Fuzz visual reference.
DISC-3964	front	https://www.effectsdatabase.com/model/onecontrol/babyblueod		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Baby Blue OD BJF-family reference.
DISC-4046	front	https://www.chicagomusicexchange.com/products/spaceman-effects-spacerocket-fuzz		Chicago Music Exchange / source photographer	Chicago Music Exchange	Reference-only		Chicago Music Exchange / photographer to verify	Do not republish pending permission	2026-09-14	Spacerocket specimen useful for intermodulation-octave-fuzz identification.
DISC-4050	front	https://www.effectsdatabase.com/model/spaceman/sputnikii		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Sputnik II generation reference.
DISC-4058	front	https://www.effectsdatabase.com/model/foxpedal/defector		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Defector fuzz/boost lineage reference.
DISC-4072	front	https://www.effectsdatabase.com/model/foxpedal/thecity		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	The City and later V2 lineage reference.
