name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
3rd Power Amplification	Builder	USA	2010s-present	Roosevelt Drive and amp-style gain products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Directory lead; verify dirt catalog and builder identity.
7G FX	Builder	Unknown	2000s-present	OD-1 Over Drive	DISCOVERED	https://www.effectsdatabase.com/type/overdrive/pedal	Effects Database confirms a dirt product; region and full catalog need follow-up.
29 Pedals	Builder	USA	2010s-present	FLWR Overdrive; TOKI Fuzzy Driver	DISCOVERED	https://www.effectsdatabase.com/type/overdrive/pedal	Independent builder candidate with explicit overdrive/fuzz products.
A Sound Of Failure	Builder	Unknown	2000s-present	Death Driver	DISCOVERED	https://www.effectsdatabase.com/type/overdrive/pedal	Effects Database dirt lead; full identity requires primary-source verification.
A&M Custom Effects	Builder	USA?	2000s-present	Twin Pro overdrive	DISCOVERED	https://www.effectsdatabase.com/type/overdrive/pedal	Boutique/custom effects candidate; region and catalog need verification.
A/DA	Builder / historical brand	USA	1970s-1980s	APP-1 Preamp; MP-1 Channel	DISCOVERED	https://www.effectsdatabase.com/type/overdrive/pedal	Historical effects brand with gain products; manufacturer attribution and complete dirt catalog need dedicated census.
ADA Amplification	Builder	USA	1980s-present	MP-1 and related preamp/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	High-value historical manufacturer; verify pedal/effects scope separately from rack preamps.
Acoustic Amplification	Brand / manufacturer	USA	1970s-1980s	Gain/boost/distortion-related effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Large amplifier/effects company; needs dirt-specific verification.
Aguilar	Builder	USA	1990s-present	Bass overdrive/distortion/fuzz products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Important bass-effects creator; include where products fit project scope.
Aleks K Production	Builder	Canada	2010s-present	Guitar/bass effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Directory candidate; verify dirt products.
Alesis	Brand / manufacturer	USA	1980s-present	Effects processors and gain-capable effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Mass-market effects company; only include individual dirt pedals if they fall within stompbox scope.
Analog Alien	Builder	USA	2010s-present	Guitar/bass gain effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Current boutique candidate; verify dirt-specific catalog.
ARC Effects	Builder	USA	2010s-present	Gain/fuzz effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique candidate; primary catalog required.
Area 51	Builder	USA	2000s-present	Fuzz/drive and wah-related effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique effects candidate; verify products and dates.
Audio Sprockets	Builder	USA	2000s-present	Guitar effects including dirt	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Directory lead; dirt relevance requires confirmation.
Authentic Hendrix	Brand / licensed entity	USA	2010s-present	Jimi Hendrix fuzz/overdrive licensed products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Keep licensed-brand role separate from actual manufacturing.
BBE Sound	Builder / manufacturer	USA	1980s-present	Green Screamer; G Screamer; Soul Vibe-era effects	DISCOVERED	https://bbesound.com/products/stomp-boxes/G-Screamer_OG-1.aspx	Primary manufacturer evidence confirms current/historical gain pedals; catalog completion needed.
