builder	model	category	light_description	photo_source	status
Moollon	Strange Fuzz	Fuzz	Seoul-made Moollon signature fuzz associated with Crispian Mills and the company's boutique fuzz lineage.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	Distortion+Overdrive	Distortion / Overdrive	Moollon dual-purpose distortion/overdrive from the Seoul boutique catalog.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	Distortion with Extended Headroom	Distortion	Moollon distortion emphasizing expanded headroom, documented in the long-running Seoul catalog.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	Fuzz Thirty-Two	Fuzz	Moollon fuzz product documented alongside the company's other boutique gain devices.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	SLO-101 Super Lead Overdrive	Overdrive	Seoul boutique overdrive with a Super Lead-oriented voicing, documented in Moollon's catalog.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Moollon	SLO-201 Super Lead Overdrive	Overdrive	Later Moollon Super Lead-style overdrive model from the Seoul catalog.	https://www.effectsdatabase.com/model/moollon	INVENTORY
Blackberry JAM	Lemongrass	Overdrive / Boost	Handmade Japanese overdrive/boost with a TS-derived starting point and a dedicated boost stage; documented by Kikutani and Effects Database.	https://www.kikutani.co.jp/brands/blackberry-jam/	INVENTORY
Blackberry JAM	Blueberry	Distortion	Japanese boutique distortion model documented in the Blackberry JAM catalog and boutique-brand survey.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	INVENTORY
Blackberry JAM	Raspberry	Distortion	Japanese boutique distortion model associated with the Blackberry JAM gain catalog.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	INVENTORY
Blackberry JAM	Blackcurrant	Overdrive / Fuzz	Japanese boutique gain pedal retained from Blackberry JAM catalog coverage; exact family classification to be refined.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CANDIDATE
Flying Teapot	088 Over Drive	Overdrive	Japanese boutique overdrive documented in the builder interview with Vintage/Fat/Bright modes and true-bypass implementation.	https://www.flyingteapot.jp/special/interview/	INVENTORY
Flying Teapot	080 Over Drive Pro	Overdrive	Current Flying Teapot TS-derived overdrive with 808 and 080 operating modes, designed as more than a straight clone.	https://www.flyingteapot.jp/switchaudio/080/	INVENTORY
Flying Teapot	monolith fuzz	Fuzz	Current Japanese boutique fuzz in the Flying Teapot product lineup.	https://www.flyingteapot.jp/products/	INVENTORY
Flying Teapot	FOG BOX Silicon Fuzz	Fuzz	One-knob Japanese silicon fuzz from the Switch Audio line developed by Flying Teapot; straightforward vintage-style fuzz circuit.	https://www.flyingteapot.jp/switchaudio/fogbox/	INVENTORY
Flying Teapot	Gold Axe	Overdrive	Japanese boutique overdrive explicitly described by the builder as a substantially developed design rather than a simple clone, with three clipping options.	https://www.flyingteapot.jp/products/gold-axe/	INVENTORY
Sobbat	DB-1 Drive Breaker	Overdrive / Distortion	Handmade Kyoto drive pedal from the Drive Breaker family, aimed at high-gain distortion and sustain.	https://sobbat.com/index.html	INVENTORY
Sobbat	DB-2 Drive Breaker II	Overdrive	Kyoto handmade overdrive with a lower-gain, rougher response than DB-1.	https://www.sobbat.com/db2.html	INVENTORY
Sobbat	DB-3 Drive Breaker	Overdrive / Boost	Kyoto handmade boost-equipped overdrive with sustained lead and riff applications.	https://www.sobbat.com/db3.html	INVENTORY
