name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Animal Factory Amplification	Builder	India	2010s-present	Godeater+ Dynamic Bass Distortion; Ozymandias Dual Overdrive/Distortion; Dirty Mirror Dual Parallel Fuzz	VERIFIED	https://animalfactoryamps.com/ ; https://animalfactoryamps.com/collections/effect-pedals	Primary manufacturer source states the company has operated since 2013 in Bombay/Mumbai and currently lists original dirt pedals. Complete historical/current catalog census remains later work.
Craig Amps	Builder	South Africa	2000s-present	Overdrive; Fuzz; Distortion pedal range	VERIFIED	https://www.craigamps.co.za/	Primary manufacturer source says started in 2001 in Pietermaritzburg and describes hand-built production effects. Full pedal catalog should be enumerated later.
68 Pedals	Small builder / clone-focused candidate	China	2010s-2020s	BJFE; Zendrive; King of Tone and other boutique-style clones	CENSUS_ONLY	https://www.thefretboard.co.uk/discussion/268984/a-list-review-of-boutique-chinese-pedal-cloners-not-mooer-joyo-demon	Community discovery candidate. Preserve as a separate small builder/clone entity only after independent manufacturer attribution is established.
Ly Rock	Small builder / clone-focused candidate	China	2010s-2020s	Boutique pedal clones and 1:1-style branded alternatives	CENSUS_ONLY	https://www.thefretboard.co.uk/discussion/268984/a-list-review-of-boutique-chinese-pedal-cloners-not-mooer-joyo-demon	Community discovery candidate. Do not treat as canonical manufacturer until production identity is independently verified.
Joyo	Builder / manufacturer	China	2000s-present	Large overdrive/distortion/fuzz catalog	DISCOVERED	https://www.joyoaudio.com/	Major Chinese manufacturer. Distinguish proprietary products from clone/recreation lines during later catalog audit.
Mooer	Builder / manufacturer	China	2010s-present	Large micro pedal overdrive/distortion/fuzz catalog	DISCOVERED	https://www.mooeraudio.com/	Major Chinese manufacturer. Complete historical dirt catalog later; preserve product families and OEM relationships.
Mosky Audio	Builder / manufacturer	China	2010s-present	Large compact overdrive/distortion/fuzz catalog	DISCOVERED	https://www.moskyaudio.com/	Chinese manufacturer/brand with extensive small-format dirt products. Later audit should distinguish in-house products from recreations.
DemonFX	Builder / manufacturer candidate	China	2020s	Overdrive/distortion/fuzz products, many vintage-inspired	DISCOVERED	https://www.demonfx.com/	Chinese pedal brand/manufacturer candidate. High cloning/recreation overlap means manufacturer attribution and product taxonomy need careful later treatment.
NuX	Builder / manufacturer	China	2000s-present	Distortion/overdrive/fuzz products and multi-effects	DISCOVERED	https://www.nuxaudio.com/	Major Chinese manufacturer. Broader product catalog extends beyond dirt, so later pass should filter carefully to relevant products.
Caline	Builder / manufacturer	China	2010s-present	Broad low-cost overdrive/distortion/fuzz range	DISCOVERED	https://www.calineaudio.com/	Chinese manufacturer/brand. Distinguish proprietary designs, collaborations and recreation products later.
Hotone	Builder / manufacturer	China	2010s-present	Soul Press/Ampero-adjacent gain products and broad effects catalog	DISCOVERED	https://www.hotoneaudio.com/	Major Chinese manufacturer; dirt catalog should be enumerated systematically later.
M-VAVE	Brand / manufacturer candidate	China	2020s	Compact drive/distortion/fuzz products	DISCOVERED	https://www.m-vave.com/	Current Chinese brand/manufacturer candidate. Verify physical manufacturing role before canonical builder status.
Flamma	Builder / manufacturer candidate	China	2010s-present	Overdrive, distortion, fuzz and multi-effects	DISCOVERED	https://www.flammainnovation.com/	Chinese manufacturer candidate with broad effects line; later catalog census needed.
