name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Frantone Electronics	Builder	USA	1990s-present	Mellow Yellow; Cream Puff; Peach Fuzz; Vibutron and other fuzz/drive products	DISCOVERED	https://en.wikipedia.org/wiki/Frantone_Electronics	American boutique pioneer founded by Fran Blanche in 1994; full dirt catalog census needed.
Diamond Pedals	Builder	Canada	2000s-2020s	Fireburst fuzz/distortion; Blaze fuzz/distortion; other gain products	DISCOVERED	https://www.effectsdatabase.com/model/diamond/fireburst ; https://www.effectsdatabase.com/reviews/diamond/fireburst	Halifax-region Canadian manufacturer; verify complete historical catalog and corporate timeline.
EXAR Electronix	Builder	Poland	1990s-present	DS-1 Distortion, multiple later overdrive/distortion/fuzz products	DISCOVERED	https://www.effectsdatabase.com/model/exar	Important Polish effects manufacturer with several catalog generations; complete dirt inventory should be enumerated later.
Drunk Beaver Pedals	Builder	Poland	2010s-present	Distortion, Trainer TS-15 MK2, Ivan Mazepa 2, Disambiguation 2, Kavun MOS Drive and other gain products	DISCOVERED	https://drunk-beaver.rocks/collections/pedals	Current Polish builder with a broad original and vintage-informed gain catalog.
Onerr Brasil Musical	Builder	Brazil	1980s-present	DST-1 Distortion; CX-1 Carbon-X Overdrive; other effects	DISCOVERED	https://www.effectsdatabase.com/interviews/brands/onerr	Brazilian manufacturer founded in 1986; began effects manufacturing in 1994-95 and remained a significant domestic/OEM producer.
Dedalo FX	Builder	Argentina	2000s-present	Kamikaze distortion/booster; Revolver overdrive/booster; current and historical gain products	DISCOVERED	https://www.dedalofx.com.ar/ar/pedals	Argentine manufacturer with factory-direct sales and an established effects catalog; complete dirt catalog census needed.
Umbrella Company	Builder	Japan	2010s-present	Hitchhike Drive; #24 distortion; Mayonaise Fuzz and other effects	DISCOVERED	https://audioreview.frieve.com/companies/en/umbrella-company/	Tokyo boutique manufacturer; also distributes overseas brands, so preserve manufacturing and distributor roles separately.
320design	Builder	Japan	2010s-present	K-ON Azusa Driver; K-ON Yui Driver; Landmighty multi-overdrive	DISCOVERED	https://equipboard.com/brands/320design	Tokyo boutique effects maker with documented overdrive/distortion products; complete catalog census later.
Fjord Fuzz	Builder	Norway	2010s-present	Thor gated fuzz and other fuzz products	DISCOVERED	https://www.effectsdatabase.com/model/fjordfuzz/thor	Norwegian boutique builder; Thor is a confirmed hand-built limited fuzz, with broader catalog requiring enumeration.
VS Audio	Builder	Greece	2010s-present	Janglemaster; Royal Flush; BlackBird; Alchemy; other distortion/overdrive products	DISCOVERED	https://www.vsaudio.com/	Greek builder with an established current gain catalog; verify complete historical line.
Tsakalis AudioWorks	Builder	Greece	2000s-present	Experience fuzz/octave and other gain products	DISCOVERED	https://tsakalisaudioworks.com/product/experience/	Greek manufacturer with documented fuzz/distortion design; full catalog census needed.
Blue Pedals	Builder	Greece	2000s-2010s	Treble booster and gain products; pedal-building operation	DISCOVERED	https://www.effectsdatabase.com/interviews/brands/bluepedals	Workshop-based Greek builder; historical catalog should be checked before completion status is assigned.
Jamés Pedals	Builder	Sweden	2000s-2010s	Ass Kickin Overdrive; Fuzzy Pie; Blender; treble boosters	DISCOVERED	https://www.effectsdatabase.com/model/james	Swedish one-person builder with documented 2004 start and seven known products; later catalog/status needs verification.
JAM Pedals	Builder	Greece	2000s-present	Fuzz Phrase Si; Eureka! Fuzz; Rattler distortion; TubeDreamer overdrive; Octaurus fuzz	DISCOVERED	https://www.effectsdatabase.com/model/jampedals ; https://www.thomann.gr/jam_pedals.html	Athens builder established in 2005; broad catalog makes it a high-priority future builder-completion target.
SolidGoldFX	Builder	Canada	2000s-present	Formula 76/76 MkII; Sasori fuzz; 76 Plus and other fuzz/drive products	DISCOVERED	https://www.effectsdatabase.com/model/solidgold/76 ; https://www.effectsdatabase.com/model/solidgold/sasori	Canadian boutique builder; already known in earlier census, retained here only as cross-check candidate.
Empress Effects	Builder	Canada	2000s-present	Broad pedal catalog including gain products	DISCOVERED	https://www.effectsdatabase.com/model/empress	Ottawa builder founded in 2005; construction and design roles are explicitly documented.
