name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
John Hornby Skewes	Brand / distributor	UK	1960s-1970s	Zonk Machine, Zonk II, Shatterbox	DISCOVERED	https://fuzzboxes.org/zonkmachine ; https://fuzzboxes.org/zonkii	Do not automatically treat as the physical builder; manufacturing was outsourced in documented cases.
Wilsic Sound	Builder / OEM	UK	1960s-1970s	Fuzz products and Hornby Skewes OEM production	DISCOVERED	https://fuzzboxes.org/zonkii	Strong candidate for canonical builder record; investigate full in-house catalog.
West Wood Accessories	Brand / private label	UK	1970s	West Wood Fuzz Unit	DISCOVERED	https://www.effectsdatabase.com/model/westwood/fuzzunit	Database attributes the West Wood Fuzz Unit to Colorsound/Sola Sound manufacture; preserve brand separately from builder.
B&M Champion	Brand / private label	UK	1970s	Champion Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/manhattan/fuzzunit	Treat as private-label/OEM brand pending primary documentation.
CMI	Brand / private label	UK	1970s	CMI Fuzz Unit	DISCOVERED	https://www.effectsdatabase.com/model/manhattan/fuzzunit	Treat as private-label/OEM brand pending primary documentation.
G.B. Fuzz Unit	Brand / private label	UK	1970s	G.B. Fuzz Unit	DISCOVERED	https://www.effectsdatabase.com/model/manhattan/fuzzunit	Treat as private-label/OEM brand pending primary documentation.
Manhattan	Brand / private label	UK	1970s	Manhattan Fuzz Unit	DISCOVERED	https://www.effectsdatabase.com/model/manhattan/fuzzunit	Likely label for Sola Sound-built OEM family; avoid treating as independent builder without evidence.
Carlsbro	Brand / distributor / amplifier maker	UK	1970s	Carlsbro Fuzz-Wah and related Sola Sound products	DISCOVERED	https://www.effectsdatabase.com/model/carlsbro/colorsound/fuzzwah	Manufacturer attribution must remain separate from branding.
Vox by Sola Sound	OEM / branded branch	UK	1970s	Fuzz-Wah and other Sola Sound-built Vox effects	DISCOVERED	https://www.effectsdatabase.com/model/vox/colorsound/fuzzwah	Use Sola Sound as builder where evidence supports it; Vox remains product brand/OEM identity.
Jennings Electronic Developments	Builder	UK	1960s-1970s	Rotary and treadle fuzz pedals	DISCOVERED	https://fuzzboxes.org/jenningsfuzz	Continue complete catalog enumeration.
WEM	Builder	UK	1960s-1970s	Rush Pep Box and Project V	DISCOVERED	https://fuzzboxes.org/projectv	Continue complete catalog enumeration.
Selmer UK	Builder / brand	UK	1960s-1970s	Buzz Tone, Fuzz-Wah	DISCOVERED	https://fuzzboxes.org/buzztone	Clarify exact in-house manufacturing and full effects range.
Great Eastern FX Co.	Builder	UK	2020s-present	Focus Fuzz, Focus Fuzz Deluxe and other gain/fuzz products	DISCOVERED	https://www.effectsdatabase.com/model/greateastern/focusfuzz/deluxe	Current UK builder; catalog census needed.
Pedal Pawn	Builder	UK	2010s-present	Germanium Fuzz, Freaky Fuzz and other dirt products	DISCOVERED	https://www.effectsdatabase.com/model/pedalpawn/fuzz/ac128 ; https://www.effectsdatabase.com/model/pedalpawn/freakyfuzz	Current UK builder; recent products confirm active dirt production as of 2026.
Squirrel Audio	Builder	UK	2000s	Fuzzy Squirrel fuzz	DISCOVERED	https://www.effectsdatabase.com/model/squirrel/fuzzy	Obscure UK builder requiring full historical catalog search.
D*A.M.	Builder / revival specialist	UK	2000s-2010s	Sola Sound/Tone Bender reissues	DISCOVERED	https://www.effectsdatabase.com/ 	Already indirectly represented; confirm complete production record separately from Sola Sound historical catalog.
Gary Hurst	Designer / builder lineage	UK	1960s-present	Tone Bender and later fuzz/effects work	CENSUS_ONLY	https://www.effectsdatabase.com/ 	May need a designer/brand entity distinct from companies that manufactured his designs.
Moreschi	Builder / brand	Italy	1970s	Octave Fuzz linked to Gary Hurst design family	CENSUS_ONLY	https://www.effectsdatabase.com/model/arbiter/cbs/doubler	Needs independent primary-source verification before canonical builder inclusion.
Electronic Sounds	Brand / manufacturer candidate	UK/Italy	1970s	UFO Octa-Fuzz linked to CBS-Arbiter Doubler family	CENSUS_ONLY	https://www.effectsdatabase.com/model/arbiter/cbs/doubler	Attribution needs primary evidence; maintain as candidate entity.
CBS-Arbiter	Brand / manufacturer	UK	1970s	Doubler octave fuzz and broader effects	CENSUS_ONLY	https://www.effectsdatabase.com/model/arbiter/cbs/doubler	Requires company chronology and physical manufacturing attribution.
Walt Byrd	Boutique / historical builder	USA	1960s-1970s	Tone Distorter MKI appears in historical relation lists	CENSUS_ONLY	https://www.effectsdatabase.com/model/westwood/fuzzunit	Needs dedicated verification; do not infer products solely from derivative relationships.
Acid Fuzz	Builder / revival specialist	UK	2000s-present	Vintage-inspired fuzz products	CENSUS_ONLY	https://www.effectsdatabase.com/ ; https://www.youtube.com/watch?v=ClgnLnYzQyQ	Catalog census candidate; distinguish original designs from recreations.
Benson Amps	Builder	USA	2010s-present	Stonk Box Fuzz and Storkn B0ks Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/westwood/fuzzunit	Existing catalog lead; complete builder census later.
Great Eastern FX Co.	Builder	UK	2020s-present	Focus Fuzz family	DISCOVERED	https://www.effectsdatabase.com/model/greateastern/focusfuzz/deluxe	Duplicate entity lead for reconciliation.
Wampler	Builder	USA	2000s-present	Large overdrive/fuzz/distortion catalog	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority current builder.
ZVEX Effects	Builder	USA	1990s-present	Multiple fuzz/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority boutique builder.
Death By Audio	Builder	USA	2000s-present	Fuzz/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority boutique builder.
Fuzzrocious Pedals	Builder	USA	2000s-present	Fuzz/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority boutique builder.
Wren and Cuff	Builder	USA	2000s-present	Fuzz products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority boutique builder.
Black Arts Toneworks	Builder	USA	2000s-present	Fuzz/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority boutique builder.
Vemuram	Builder	Japan	2000s-present	Overdrive products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Japanese boutique builder.
Crazy Tube Circuits	Builder	Greece	2000s-present	Overdrive/fuzz/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Greek boutique builder.
