builder	region_or_market	era_bucket	initial_status	priority	research_lane	discovery_sources	notes
Breña FX	USA	2020s-present	DISCOVERY_SEED	P0	modern micro-builder fuzz	official site; Effects Database	Very small current builder with a dense fuzz catalog; current site exposes BZ-1, Pinky Tuscadero MKI Hybrid, One Knob Fuzz, Double Driver, MkTwo Pro, MK1.5 Tonebender, plus prototypes and limited numbered builds.
Argenziano Effetti	Poland / Italy lineage	2017-present	DISCOVERY_SEED	P0	modern regional boutique	official site; Effects Database	Small family business; current catalog includes Voodoo 67, MKF, The End Of Time Fuzz, Parthenope Fuzz and multiple explicitly separated limited/versioned states.
Cachalote Audio	Brazil	2017-present	DISCOVERY_SEED	P0	modern Brazilian boutique	official site; designer archive	Brasilia-origin handmade builder; current catalog includes 214 Fuzz MKII, Ushuaia Drive, Formiga Drive and special editions; preserve Brazilian-language names and edition states.
Artifact Pedals	Sweden	2020-present	DISCOVERY_SEED	P1	modern Scandinavian micro-builder	official site; Pedal Index	Sörmland builder emphasizing individually varied pedals; current featured dirt-related products include Treble Tower, Gem Face and Ritual Stone MKII, with individual visual variation treated as a product characteristic.
Kink Guitar Pedals	Australia	2010s-present	DISCOVERY_SEED	P0	modern Australian boutique dirt	Official site; Australian dealers	Melbourne-made builder; current catalog exposes a broad dirt set including Charlie Fuzz, Jackalope Fuzz, Retribution, Russian Plague, Oath of the Goat, Stab Zone and Straya Drive; preserve collaborations and discontinued predecessor relationships.
Animal Factory Amplification	India/Germany market	2010s-present	DISCOVERY_SEED	P0	modern experimental dirt	Official site; specialist dealers	Founded as a tiny team in Bombay in 2013; current catalog includes Godeater+ bass distortion and experimental pedal work; map dirt/hybrid boundaries and current European activity without importing internal technical material.
Sutton Instruments	United Kingdom	2010s-present	DISCOVERY_SEED	P1	modern East Yorkshire boutique dirt	Official site	Resurrected the Sutton Instruments name after earlier instrumentation work; current hand-built effects include Del Fuego Fuzz & Boost and Igneus Distortion & Boost; preserve the modern revival as a distinct era.
TONECAT	Australia	2020s-present	DISCOVERY_SEED	P1	modern Melbourne small-batch dirt	Official site	Current small-batch Melbourne builder with Lola Drive, Hugo Overdrive and Luna Overdrive plus fuzz/synth products; track short-run enclosure states and current catalog changes.
Brady Tone Electronics	USA	2020s-present	DISCOVERY_SEED	P1	modern Northeast Ohio boutique dirt	Official site	Small-batch handcrafted builder with explicit Fuzz/Distortion and Overdrive categories; enumerate current products and preserve custom-shop/limited records separately.
StonegateFx	Canada	2020s-present	DISCOVERY_SEED	P0	modern Toronto boutique fuzz/dirt	Official site; Pedal Index	Toronto hand-built builder; current catalog includes Figure Filter Fuzz, Divination Silicon Tonebender and Transistor Fuzz Face; strong target for model-level photo and variant work.
Drunk Beaver Pedals	Poland	2010s-present	DISCOVERY_SEED	P0	modern Polish micro-builder	Official site; show reports; Pedal Index	Large irregular dirt catalog with current and prototype states; 2026 show report documents Hoverla, Taras Bulba MK2, Secret Sauce, Seattle Driver, Fat Bat, XR OD-1, Inglorious Bastard and other gain products; track revisions and prototypes separately.
Mystic Effects Co	USA	2020s-present	DISCOVERY_SEED	P1	modern Connecticut boutique	Pedal Index; official channels	Current indexed builder with fuzz and effects records; enumerate drive/fuzz/distortion products and document builder-verified product states.
