builder	model	category	light_description	photo_source	status
Build Your Own Clone	250+ Distortion	Distortion	Build-it-yourself dirt platform covering DOD 250 and MXR Distortion+ style gain ranges with selectable clipping options.	https://www.effectsdatabase.com/model/byoc/250	INVENTORY
Build Your Own Clone	Classic Fuzz	Fuzz	DIY fuzz project for builders seeking a classic saturated, sustain-heavy fuzz character.	https://www.effectsdatabase.com/model/byoc	INVENTORY
Dreadbox	Disorder	Fuzz	Analog fuzz and filter hybrid that ranges from gritty drive to massive fuzz, with resonant filtering and gated textures.	https://www.effectsdatabase.com/model/dreadbox/disorder	INVENTORY
Dreadbox	Black Murf	Fuzz / Distortion	Aggressive analog dirt processor combining saturated fuzz with pronounced filtering and synth-like harmonic textures.	https://www.effectsdatabase.com/model/dreadbox	INVENTORY
Deep Trip	BOG	Fuzz / Overdrive / Distortion	Silicon fuzz designed for dynamic response, ranging from clean boost and overdrive through saturated fuzz with pronounced low mids.	https://www.effectsdatabase.com/model/deeptrip/bog	INVENTORY
Electronic Audio Experiments	Halberd	Overdrive	Discrete-transistor medium-gain overdrive emphasizing dynamic range, note clarity and harmonic fullness, with a response that can become fuzzy at higher settings.	https://www.effectsdatabase.com/model/electronicaudioexperiments/halberd	INVENTORY
Electronic Audio Experiments	Dagger	Overdrive	Compact overdrive designed for articulate medium-gain drive with adjustable low-frequency response and a focused, amplifier-like character.	https://www.effectsdatabase.com/model/electronicaudioexperiments/dagger	INVENTORY
Electronic Audio Experiments	Model feT	Overdrive / Preamp	FET-based amplifier-style overdrive and preamp with a broad clean-to-driven range and strong touch sensitivity.	https://www.effectsdatabase.com/model/electronicaudioexperiments/modelfet	INVENTORY
Electronic Audio Experiments	Longsword	Overdrive / Distortion	High-gain overdrive/distortion with active tone shaping, designed to move from focused drive into saturated, aggressive distortion.	https://www.effectsdatabase.com/model/electronicaudioexperiments/longsword	INVENTORY
Electronic Audio Experiments	Surveyor	Overdrive	Low-to-medium gain overdrive with a full-range response and flexible low-frequency shaping for clear, dynamic breakup.	https://www.effectsdatabase.com/model/electronicaudioexperiments/surveyor	INVENTORY
JHS Pedals	Morning Glory	Overdrive	Open, touch-sensitive low-gain overdrive built to preserve the character of the guitar and amplifier while adding articulate breakup.	https://www.effectsdatabase.com/model/jhspedals/morningglory	INVENTORY
JHS Pedals	PackRat	Distortion	Multi-mode RAT-family distortion recreation offering numerous historically inspired clipping and filtering voices.	https://www.effectsdatabase.com/model/jhspedals/packrat	INVENTORY
JHS Pedals	Muffuletta	Fuzz	Multi-mode fuzz pedal containing several classic Big Muff-style voices, from vintage mid-scooped fuzz to more aggressive variants.	https://www.effectsdatabase.com/model/jhspedals/muffuletta	INVENTORY
JHS Pedals	3 Series Fuzz	Fuzz	Straightforward fuzz with a broad gain range from gritty breakup to thick saturated fuzz, built around simple controls.	https://www.effectsdatabase.com/model/jhspedals/3seriesfuzz	INVENTORY
JHS Pedals	Smiley	Fuzz	Vintage-style fuzz voiced around an early silicon fuzz character with strong saturation, bite and responsive volume cleanup.	https://www.effectsdatabase.com/model/jhspedals/smiley	INVENTORY
JHS Pedals	Bonsai	Overdrive	Nine-mode overdrive combining multiple classic screamer-style voices in one pedal, from lower-gain boost to stronger mid-focused drive.	https://www.effectsdatabase.com/model/jhspedals/bonsai	INVENTORY
Keeley Electronics	Angry Orange	Fuzz / Distortion	Analog combination of classic Japanese distortion and Soviet-style fuzz voices, with hybrid modes that blend clipping and tone sections.	https://www.effectsdatabase.com/model/keeley/4in1/angryorange	INVENTORY
Keeley Electronics	Mini Katana	Boost / Overdrive	Compact high-headroom boost that can add clean level or push an amplifier into overdrive.	https://www.effectsdatabase.com/model/keeley/minikatana	INVENTORY
Keeley Electronics	Dark Side	Fuzz / Overdrive	Multi-voice dirt pedal combining a fuzz section with overdrive and modulation-oriented features for thick, sustaining gain.	https://www.effectsdatabase.com/model/keeley/darkside	INVENTORY
KMA Machines	Chief Disruptor	Fuzz / Distortion	Highly adjustable fuzz/distortion platform with extensive filtering and clipping control for thick, modern and experimental gain textures.	https://www.effectsdatabase.com/model/kma/chiefdisruptor	INVENTORY
KMA Machines	Wurm	Distortion	Tight high-gain distortion with deep EQ shaping and a forceful response aimed at aggressive modern guitar tones.	https://www.effectsdatabase.com/model/kma/wurm	INVENTORY
KMA Machines	Guardian of the Wurm	Distortion	Expanded Wurm-family high-gain distortion with additional control over frequency shaping and saturated attack.	https://www.effectsdatabase.com/model/kma/guardian-of-the-wurm	INVENTORY
KMA Machines	Logan	Fuzz / Distortion	Hybrid dirt pedal blending fuzz saturation and distortion attack with adjustable filtering for broad gain textures.	https://www.effectsdatabase.com/model/kma/logan	INVENTORY
Limetone Audio	JCB-4SM	Overdrive	Japanese boutique overdrive voiced for smooth, articulate amp-like breakup with responsive dynamics and harmonic detail.	https://www.effectsdatabase.com/model/limetoneaudio/jcb4sm	INVENTORY
Limetone Audio	Focus-NX	Overdrive	Flexible modern drive designed for clarity and focus, with shaping controls that preserve note definition as gain increases.	https://www.effectsdatabase.com/model/limetoneaudio/focusnx	INVENTORY
Lovepedal	Zendrive	Overdrive	Low-to-medium gain overdrive built around a smooth, singing response with adjustable gain, tone, voice and output characteristics.	https://www.lovepedal.com/zendrive-2/	INVENTORY
Lovepedal	Super Six	Overdrive	Amplifier-style overdrive designed to provide open, dynamic breakup with useful response from low gain through stronger drive.	https://www.effectsdatabase.com/model/lovepedal/supersix	INVENTORY
Lovepedal	Eternity	Overdrive	Responsive overdrive with a wide gain range, allowing clean boost, light breakup and thicker saturated drive.	https://www.effectsdatabase.com/model/lovepedal/eternity	INVENTORY
Lovepedal	COT 50	Boost / Overdrive	Simple one-knob gain stage that adds volume and increasingly gritty amplifier-like breakup as it is turned up.	https://www.effectsdatabase.com/model/lovepedal/cot50	INVENTORY
Martian Sound	Gamma Ray Fuzz	Fuzz	Modern fuzz with a thick, saturated voice and strong harmonic character, surfaced in the September 2026 Effects Database new-brand index.	https://www.effectsdatabase.com/	INVENTORY
Myrtle Pedals	Die Mutant	Distortion	Flexible distortion with selectable clipping that ranges from open crunch to hard, saturated distortion and fuzz-like textures.	https://www.effectsdatabase.com/model/myrtle/diemutant	INVENTORY
REDesign	Percolator	Fuzz / Overdrive	Harmonic Percolator interpretation using germanium and silicon clipping options to move between rough overdrive and fuzz.	https://www.effectsdatabase.com/model/redesign/percolator	INVENTORY
Red Panda	Houdini	Fuzz / Distortion	Experimental dirt processor with gated and unstable clipping textures, moving from broken-up distortion into sputtery fuzz.	https://www.effectsdatabase.com/model/redpanda/houdini	INVENTORY
Red Panda	Tensor Dirt Variant	Boundary / Review	Boundary placeholder; verify exact dirt model identity before public promotion.	https://www.effectsdatabase.com/model/redpanda	REVIEW
Skreddy Pedals	Lunar Module	Fuzz / Overdrive	Smooth, expressive fuzz/overdrive combining sustain, upper-mid character and responsive cleanup for vintage-style lead tones.	https://www.effectsdatabase.com/model/skreddy/lunarmodule	INVENTORY
Skreddy Pedals	RocZoc	Fuzz	Saturated fuzz with a thick, sustaining response and strong harmonic density, designed for aggressive but controllable lead sounds.	https://www.effectsdatabase.com/model/skreddy/roczoc	INVENTORY
Skreddy Pedals	Pig Mine	Fuzz	Modern fuzz with deep saturation, strong low end and a singing sustained response.	https://www.effectsdatabase.com/model/skreddy/pigmine	INVENTORY
Sola Sound / Colorsound	Overdriver	Overdrive	Classic British overdrive with substantial output and a broad gain range from boost-like push into gritty saturation.	https://www.effectsdatabase.com/model/solasound/overdriver	INVENTORY
