name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Earth Sound Research	Historical builder / manufacturer	USA	1970s-1980s	Graphic Fuzz	DISCOVERED	https://www.effectsdatabase.com/model/earth ; https://www.effectsdatabase.com/model/earthsound/graphicfuzz	American amplifier/effects company founded in Farmingdale, NY in 1971. Rare Graphic Fuzz makes it a significant historical dirt-pedal maker despite a tiny effects catalog.
EarthTone	Builder	Italy	2010s	Apple Fuzz; Fuzz Mix; Pepper Fuzz; Pepper Fuzz White; Orange Drive; Voice Drive	DISCOVERED	https://www.effectsdatabase.com/model/earthtone	Effects Database indexes 14 products, including multiple fuzz/drive models. Pepper Fuzz examples are explicitly documented as made in Italy.
Chicago Stompworks	Builder	USA	2000s-2010s	Black Fudge; Blooze Maker; Fat Bald Guy; Gray Speck; Legitimate Beef; Mister Vermin; Mööse Pie; Octave Up; Redd Fox; The Blue Fox; The Green Thing; Pyramid Principle; Viola!	DISCOVERED	https://www.effectsdatabase.com/model/chicagostompworks	Mike Po's Chicago builder. Effects Database says he also previously made pedals as Podals and custom pedals as Van Houten Custom Shop. Preserve those aliases/roles for reconciliation.
Pepper Electronics / Pepper Pedals	Builder	USA	2010s	Amigo Fuzz; Ancho IC Muff; Chimayo Overdrive 250; Chipotle Distortion; Habanero Fuzz; Jalapeño Overdrive; Pimiento; Serrano; Verduras	DISCOVERED	https://www.effectsdatabase.com/model/pepper ; https://www.effectsdatabase.com/model/pepper/jalapeno	Atlanta-area handmade builder. Effects Database indexes 11 products covering fuzz, overdrive, distortion and boosts.
RGW Electronics	Builder	USA	2000s-2010s	Bad Bob Booster; Dirty Dan; Lightnin' Luke; Mojo Face; Pistol Pete; Smokin Sam	DISCOVERED	https://www.effectsdatabase.com/model/rgw	Six-product historical Effects Database catalog with multiple dirt-oriented models. Full builder history and production dates require Queue B research.
MadeByMike	Builder	UK	2000s-2010s	Dist2 distortion	DISCOVERED	https://www.effectsdatabase.com/model/madebymike/dist2	Small British builder captured in Effects Database's Distortion+ related-model tree. Preserve as a micro-builder rather than losing it among one-product pages.
On Off Effects	Micro-builder	Unknown	2000s-2010s	Coolness distortion	DISCOVERED	https://www.effectsdatabase.com/model/onoff/coolness	Effects Database documents a dedicated distortion pedal. Geography and broader catalog remain to be established.
Big Knob Pedals	Builder	USA	2010s	D OverDrive 250	DISCOVERED	https://www.effectsdatabase.com/model/bigknob/dod250	Hand-wired DOD 250-derived overdrive. Effects Database places it in the DOD 250 lineage tree, giving it strong dirt relevance.
Wiz Pedal	Builder	USA	2010s	Model A; Model D; Mini-D; other D-style overdrive products	DISCOVERED	https://www.effectsdatabase.com/model/wizpedal/model/a ; https://www.effectsdatabase.com/model/wizpedal/model/d	Hand-made US overdrive builder with multiple D-style models and compact variants. Product-level generation mapping can wait for Queue B.
Cause & Effect Pedals	Builder	Canada	2000s	FET Dream overdrive/distortion	DISCOVERED	https://www.effectsdatabase.com/model/cepedals	Ontario boutique builder, previously captured here for its 2009 FET Dream. Retained in this tranche only as a lineage cross-check, not a new entity.
General Guitar Gadgets	DIY manufacturer / kit provider	USA	2000s-present	Distortion Plus/DOD 250/Ross Distortion project; many dirt kits	DISCOVERED	https://www.effectsdatabase.com/model/ggg/dod250	Important DIY kit ecosystem rather than a conventional pedal factory. Keep separate from assembled commercial builders and preserve its role in historical DIY access.
