DISC-3501	BLD-DISC-35-01	Fuzz	Arcane Analog BMP-73
DISC-3502	BLD-DISC-35-01	Fuzz	Arcane Analog Buzzsaw - Buzzaround
DISC-3503	BLD-DISC-35-01	Fuzz	Arcane Analog FaceBender - Rangemaster + Fuzz Face
DISC-3504	BLD-DISC-35-01	Fuzz	Arcane Analog FF-00 Si/Ge Hybrid Fuzz Face
DISC-3505	BLD-DISC-35-01	Fuzz	Arcane Analog FF-66 OC42 Fuzz Face
DISC-3506	BLD-DISC-35-01	Fuzz	Arcane Analog FF-77 Four Knob Germanium Fuzz Face
DISC-3507	BLD-DISC-35-01	Fuzz	Arcane Analog KGB Killer Green Big Muff
DISC-3508	BLD-DISC-35-01	Fuzz	Arcane Analog MkI Tonebender
DISC-3509	BLD-DISC-35-01	Fuzz	Arcane Analog NKT213 Buzzaround
DISC-3510	BLD-DISC-35-01	Fuzz	Arcane Analog VTB-66 - Vox Tonebender
DISC-3511	BLD-DISC-35-02	Fuzz	Creepy Fingers Blacklight Fuzz
DISC-3512	BLD-DISC-35-02	Fuzz	Creepy Fingers Blue Mood
DISC-3513	BLD-DISC-35-02	Fuzz	Creepy Fingers Brummie
DISC-3514	BLD-DISC-35-02	Fuzz	Creepy Fingers Buzzaround
DISC-3515	BLD-DISC-35-02	Fuzz	Creepy Fingers Creepy Face
DISC-3516	BLD-DISC-35-02	Overdrive	Creepy Fingers Doomi Drive
DISC-3517	BLD-DISC-35-02	Fuzz	Creepy Fingers Ed Mundell's Infinity Fuzz
DISC-3518	BLD-DISC-35-02	Fuzz	Creepy Fingers Fuzz Fight
DISC-3519	BLD-DISC-35-02	Fuzz	Creepy Fingers Fuzz Nugget
DISC-3520	BLD-DISC-35-02	Fuzz	Creepy Fingers Fuzzbud
DISC-3521	BLD-DISC-35-02	Fuzz	Creepy Fingers Harakiri Fuzz
DISC-3522	BLD-DISC-35-02	Boost	Creepy Fingers Hold Tight
DISC-3523	BLD-DISC-35-02	Fuzz	Creepy Fingers Hornskewer
DISC-3524	BLD-DISC-35-02	Fuzz	Creepy Fingers Lonely Heart - Fuzz
DISC-3525	BLD-DISC-35-02	Fuzz	Creepy Fingers Magna Bender
DISC-3526	BLD-DISC-35-02	Fuzz	Creepy Fingers Mostratono
DISC-3527	BLD-DISC-35-02	Fuzz	Creepy Fingers Os Mutantes Fuzz
DISC-3528	BLD-DISC-35-02	Octaver	Creepy Fingers Pink Elephant
DISC-3529	BLD-DISC-35-02	Fuzz	Creepy Fingers Ramalama
DISC-3530	BLD-DISC-35-02	Fuzz	Creepy Fingers Regulus 8
DISC-3531	BLD-DISC-35-02	Fuzz	Creepy Fingers Sound Distorter
DISC-3532	BLD-DISC-35-02	Boost	Creepy Fingers Sugar Boost
DISC-3533	BLD-DISC-35-02	Fuzz	Creepy Fingers The Balch - Fu Manchu's Bob Balch signature Fuzz
DISC-3534	BLD-DISC-35-03	Overdrive	Sabbadius 80's Overdrive Tone
DISC-3535	BLD-DISC-35-03	Distortion	Sabbadius Black Distortion
DISC-3536	BLD-DISC-35-03	Distortion	Sabbadius Black Distortion Bass
DISC-3537	BLD-DISC-35-03	Compressor	Sabbadius Funkastic Compressor
DISC-3538	BLD-DISC-35-03	Distortion	Sabbadius Funky Distortion
DISC-3539	BLD-DISC-35-03	Filter	Sabbadius Funky Filter Tone
DISC-3540	BLD-DISC-35-03	Modulation	Sabbadius Funky Vibe
DISC-3541	BLD-DISC-35-03	Boost	Sabbadius Hot Tube Simulator Booster
DISC-3542	BLD-DISC-35-03	Boost	Sabbadius Mr. White - Hot Tube Simulator Booster
DISC-3543	BLD-DISC-35-03	Fuzz	Sabbadius Oct-Up Fuzz Tone
DISC-3544	BLD-DISC-35-03	Other	Sabbadius Sarpadius Duo
DISC-3545	BLD-DISC-35-03	Other	Sabbadius Sarpadius Trio
DISC-3546	BLD-DISC-35-03	Wah	Sabbadius Soul Wah Kit
DISC-3547	BLD-DISC-35-03	Other	Sabbadius SRV Clean Sound
DISC-3548	BLD-DISC-35-03	Fuzz	Sabbadius Texas Red Fuzz
DISC-3549	BLD-DISC-35-03	Boost	Sabbadius Tremolius Booster
DISC-3550	BLD-DISC-35-04	Utility	Stone Deaf FX EP-1 Expression Pedal
DISC-3551	BLD-DISC-35-04	Fuzz	Stone Deaf FX Fig Fumb - Paracentric Fuzz Filter
DISC-3552	BLD-DISC-35-04	Fuzz	Stone Deaf FX Kliptonite
DISC-3553	BLD-DISC-35-04	Utility	Stone Deaf FX Noise Reaper
DISC-3554	BLD-DISC-35-04	Distortion	Stone Deaf FX PDF-1 Parametric Distortion Filter
DISC-3555	BLD-DISC-35-04	Boost	Stone Deaf FX PDF-1X Parametric Distortion Filter with Expression
DISC-3556	BLD-DISC-35-04	Distortion	Stone Deaf FX PDF-2 Parametric Distortion Filter
DISC-3557	BLD-DISC-35-04	Boost	Stone Deaf FX Q Boost - Frequency Boost / Fuzz
DISC-3558	BLD-DISC-35-04	Fuzz	Stone Deaf FX Rise & Shine - Octave Fuzz & Tremolo/Vibrato
DISC-3559	BLD-DISC-35-04	Delay	Stone Deaf FX Syncopy - Analog Delay
DISC-3560	BLD-DISC-35-04	Distortion	Stone Deaf FX Trashy Blonde - Paracentric Distortion Filter
DISC-3561	BLD-DISC-35-04	Modulation	Stone Deaf FX Tremotron
DISC-3562	BLD-DISC-35-04	Overdrive	Stone Deaf FX Warp Drive
