builder	model	category	light_description	photo_source	status
Indian FX	JUMA Drive	Overdrive	Brazilian handmade low-to-medium-gain overdrive based on the Zen Drive concept and voiced for Dumble-style response.	https://www.indianfx.com.br/product-page/juma-drive	INVENTORY
Indian FX	SABUIÁ Distortion	Distortion	Brazilian handmade distortion inspired by the RAT family, with selectable clipping and frequency shaping.	https://www.indianfx.com.br/product-page/sabui%C3%A1-distortion	INVENTORY
Indian FX	KAMPA Drive	Overdrive	Current Indian FX low-to-medium-gain drive in the builder's Brazilian catalog.	https://www.indianfx.com.br/	INVENTORY
Indian FX	ARUAK Fuzz v2	Fuzz	Handwired Brazilian silicon fuzz based on the Fuzz Face family; version 2 retains the core tone and artwork.	https://www.indianfx.com.br/product-page/aruak-fuzz	INVENTORY
RAD Custom Shop	312 Lightning	Overdrive	Brazilian overdrive based on the Lightspeed concept, with 9/18V operation and dynamic clean-drive behavior.	https://radcustomshop.com.br/produtos/312-lightning/	INVENTORY
RAD Custom Shop	Green Channel	Overdrive	Current Brazilian overdrive model in RAD's channel-style drive range.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Blue Channel	Overdrive	Current Brazilian overdrive model in RAD's channel-style drive range.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Charlie Overdrive	Overdrive	Brazilian boutique overdrive model in the RAD catalog.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Maximus	Overdrive / Distortion	Higher-gain RAD drive model in the current catalog.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Valkirie	Overdrive	Transparent dynamic Brazilian overdrive with gain, level, bass, treble and shine controls.	https://radcustomshop.com.br/produtos/valkirie/	INVENTORY
RAD Custom Shop	Soul Overdrive	Overdrive	Brazilian boutique overdrive listed in RAD's current catalog.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Experience Z	Overdrive	RAD boutique drive model associated with the Experience Z catalog name.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Spartacus	Overdrive / Distortion	Higher-gain RAD drive/distortion model in the current catalog.	https://radcustomshop.com.br/produtos/	INVENTORY
RAD Custom Shop	Haze	Fuzz	Octave-fuzz model documented in RAD's broader Brazilian catalog.	https://equipboard.com/brands/rad-custom-shop	INVENTORY
Cachalote Audio	Ushuaia Drive	Overdrive	Brazilian dual-stage overdrive combining MOSFET and transistor gain stages.	https://cachaloteaudio.com.br/pedais1/	INVENTORY
Cachalote Audio	Formiga B. Drive	Bass Overdrive	Parallel clean/gain bass overdrive from Cachalote's compact pedal range.	https://cachaloteaudio.com.br/pedais1/	INVENTORY
Cachalote Audio	Formiga Drive - Special Edition	Overdrive	Parallel clean/gain overdrive special edition with multiple clipping approaches.	https://cachaloteaudio.com.br/pedais1/	INVENTORY
Cachalote Audio	214 Fuzz MKII	Fuzz	Extended-range analog silicon fuzz evolved from the Sam Ash Fuzz Stainer, with bias, octave, EQ/filter and expression/CV controls.	https://www.cachaloteaudio.com.br/pedais1/	INVENTORY
Ed's Mod Shop	Sick Machine Fuzz	Fuzz	Brazilian boutique fuzz model documented in the Ed's Mod Shop catalog.	https://equipboard.com/brands/ed-s-mod-shop	INVENTORY
Ed's Mod Shop	Pookie Fuzz II	Fuzz	Later Pookie fuzz state from Ed's Mod Shop's catalog.	https://equipboard.com/brands/ed-s-mod-shop	INVENTORY
Ed's Mod Shop	Ed's Fuzz	Fuzz	Silicon Fuzz Face-derived Brazilian fuzz with expanded controls.	https://equipboard.com/brands/ed-s-mod-shop	INVENTORY
Ed's Mod Shop	Pink Ringer Fuzz	Fuzz	Brazilian boutique fuzz model documented in the builder's surviving catalog.	https://equipboard.com/brands/ed-s-mod-shop	INVENTORY
Ed's Mod Shop	Double Fuzz Face BC109/NKT275	Fuzz	Dual-transistor-family fuzz build documented by Ed's Mod Shop with BC109/NKT275 variants.	https://equipboard.com/brands/ed-s-mod-shop	INVENTORY
Ed's Mod Shop	Moby Dick Bass Fuzz	Bass Fuzz	Bass-oriented fuzz model from Ed's Mod Shop.	https://equipboard.com/brands/ed-s-mod-shop	INVENTORY
MG Music	Creamy	Overdrive / Fuzz	Historical Brazilian MG Music gain product documented in the builder's catalog and shootout archive.	https://www.effectsdatabase.com/model/mg	INVENTORY
MG Music	Crunsh	Overdrive / Fuzz	Historical Brazilian MG Music overdrive/fuzz product documented in period catalog and demo material.	https://www.effectsdatabase.com/model/mg	INVENTORY
MG Music	Fuzzyland	Fuzz	Historical Brazilian boutique fuzz product from MG Music's catalog.	https://www.effectsdatabase.com/model/mg	INVENTORY
MG Music	Lexotone	Fuzz	Octave-up fuzzy box from the historical Brazilian MG Music line.	https://www.effectsdatabase.com/model/mg	INVENTORY
MG Music	MgMuffFeliz	Fuzz	Brazilian MG Music fuzz using the builder's McDonald's-inspired artwork naming.	https://www.effectsdatabase.com/model/mg	INVENTORY
