pedal_id	image_role	source_page_url	direct_image_url	creator_or_photographer	source_site	rights_status	license_or_permission_reference	required_credit	public_use_decision	research_date	notes
DISC-4170	front	https://reverb.com/item/74819787-ace-tone-fm-3-fuzz-master-1960-s		Reverb / seller photography	Reverb	Reference-only		Reverb seller / photographer to verify	reference-only	2026-09-14	FM-3 cabinet and control layout are useful historical identification references.
DISC-4183	front	https://www.dazatronyx.com/		Dazatronyx / manufacturer imagery	Dazatronyx	Reference-only		Dazatronyx	pending	2026-09-14	THD Metal Distortion & Hybrid Germanium Fuzz lineage reference.
DISC-4185	front	https://www.dazatronyx.com/		Dazatronyx / manufacturer imagery	Dazatronyx	Reference-only		Dazatronyx	pending	2026-09-14	TSX Overdrive reference.
DISC-4199	front	https://fr.audiofanzine.com/delay-guitare/lastgasp-art-laboratories/misty-cave/		Audiofanzine / source photographer	Audiofanzine	Reference-only		Audiofanzine / photographer to verify	reference-only	2026-09-14	Misty Cave front/angle view, especially useful for identifying the blue enclosure and artwork.
DISC-4199	front	https://lep-international.jp/products/lastgasp-art-laboratories-lalfx-mc		LEP International / manufacturer-distributor imagery	LEP International	Reference-only		LEP International / photographer to verify	pending	2026-09-14	Current reintroduction-era Misty Cave image lead; useful as a manufacturer/distributor provenance source.
DISC-4201	front	https://www.effectsdatabase.com/model/lastgasp		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Octavella catalog image lead.
DISC-4214	front	https://www.effectsdatabase.com/model/aya/bmfuzz70		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	BM-Fuzz 70 visual reference for the Japanese boutique lineage.
DISC-4216	front	https://www.effectsdatabase.com/model/aya/drivesta		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Drivesta visual reference.
DISC-4221	front	https://www.effectsdatabase.com/model/kink/charliefuzz		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Charlie Fuzz image lead; page documents the Colorsound one-knob fuzz relationship.
DISC-4224	front	https://www.effectsdatabase.com/model/kink/oathofthegoat		Effects Database / source uploader	Effects Database	Reference-only		Per source page	reference-only	2026-09-14	Oath of the Goat image lead; page documents HM-2-derived lineage.
